Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.281          86.299        1609.546   10000   30000
2.110          38.974         138.542   10000   30000
2.120          64.983         903.554   10000   30000
2.327          89.713         647.371   10001   30001
3.804          47.656        1648.828   10000   30000
4.877          99.376        4500.047   10002   30002
5.522          15.924         784.391   10000   30000
5.530          61.450        1998.623   10001   30001
5.829          72.036         167.588   10003   30003
6.063          31.696         315.887   10001   30001
6.471          56.300        1228.000   10002   30002
6.578          41.029          60.802   10001   30001
6.670          90.924         699.160   10002   30002
6.683           8.028        1689.248   10003   30003
6.862          10.596         108.926   10004   30004
7.504          46.802         436.636   10004   30004
7.929          94.210         477.111   10001   30001
8.131          86.206         924.891   10005   30005
9.051          20.627         963.388   10003   30003
9.104          30.241         755.228   10002   30002
9.162          42.638         295.242   10004   30004
9.243          81.347         532.404   10006   30006
9.805          86.339         197.502   10005   30005
9.895          43.785         435.370   10003   30003
10.084          67.161          15.669   10006   30006
10.804          25.774         836.560   10007   30007
11.279          18.003         112.947   10005   30005
12.122           7.000         123.713   10008   30008
12.454          54.723        3207.585   10009   30009
13.420          94.464         595.456   10002   30002
13.647          97.054         440.330   10010   30010
14.049          17.025        2528.273   10006   30006
14.321          94.388         401.619   10007   30007
14.667          46.206         114.687   10004   30004
14.801          84.356        1102.522   10003   30003
14.915          74.652         395.638   10004   30004
14.975          25.261        1255.313   10007   30007
15.188          41.281        2195.981   10008   30008
15.219          81.595         348.029   10008   30008
15.573          73.340         898.707   10009   30009
16.006          98.219         598.911   10009   30009
16.767          92.053         334.943   10010   30010
17.498          16.864         202.735   10005   30005
17.936          79.268        1124.828   10011   30011
18.317          84.173         540.092   10005   30005
19.064          15.322        3414.280   10012   30012
19.939          78.752        1058.127   10006   30006
21.453          75.293         164.682   10006   30006
21.801          11.155         196.648   10007   30007
21.993          68.326         344.789   10008   30008
22.102          82.857         194.245   10009   30009
22.258          10.087         797.746   10007   30007
22.334          62.357         672.896   10011   30011
22.487           7.704         550.117   10008   30008
22.533          40.841          35.950   10012   30012
22.685          80.920         570.559   10009   30009
23.335          20.792          23.591   10010   30010
23.374          10.241        1394.158   10010   30010
23.447          35.971        1134.220   10011   30011
23.451          87.749        3391.458   10013   30013
23.492          77.662        2982.930   10010   30010
23.538          26.324          19.108   10011   30011
23.598          97.523        1756.900   10012   30012
25.018          37.637         353.748   10011   30011
25.039          94.235         523.208   10012   30012
25.488          53.735          23.964   10014   30014
26.063           7.938         488.285   10012   30012
26.070          23.946          71.495   10013   30013
26.608          17.529          10.780   10013   30013
26.689          38.717         480.942   10014   30014
26.937          90.090        1489.206   10013   30013
27.096          24.082        1141.913   10013   30013
27.839          44.077         667.199   10014   30014
28.963          27.723           0.851   10015   30015
29.205          93.850         152.674   10015   30015
31.164          42.777         134.723   10016   30016
31.804          29.544         149.919   10014   30014
31.825          88.166         169.316   10017   30017
31.902          91.390         775.453   10015   30015
32.239          26.023        3412.816   10016   30016
32.294          79.629         630.967   10015   30015
32.396          35.497        4618.480   10018   30018
32.579          73.924         515.228   10014   30014
32.685          71.444         576.690   10016   30016
33.185          72.254        1134.488   10019   30019
33.261          49.698        2671.722   10015   30015
33.582          24.844         127.309   10016   30016
33.755          73.390         763.628   10016   30016
33.922          86.698         559.645   10017   30017
34.018          25.166        1653.948   10017   30017
35.110          62.108         311.437   10018   30018
35.516          34.686        4153.636   10019   30019
36.960          69.794          12.281   10017   30017
37.035          54.148        2781.987   10017   30017
37.423          63.437         854.098   10020   30020
37.896          43.078        1703.247   10018   30018
38.590          46.376         475.933   10019   30019
38.691          40.320         585.648   10020   30020
38.898          66.160         279.240   10018   30018
39.354          24.172         103.211   10020   30020
40.440          92.131         531.844   10019   30019
41.081          77.186         299.043   10018   30018
41.677          47.901        1164.323   10021   30021
42.502          64.811        2099.189   10020   30020
42.598          73.348         659.869   10021   30021
42.963          52.713        1403.833   10021   30021
43.531          74.564         394.652   10022   30022
43.675          10.197        1571.816   10021   30021
43.756          56.878           4.146   10019   30019
43.983          41.145         145.995   10022   30022
44.095          91.090         330.638   10022   30022
44.133          21.012        1043.309   10023   30023
44.645          52.827         456.372   10022   30022
44.767          61.007        1131.908   10020   30020
44.820          15.167        2698.669   10023   30023
