Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.007          98.282         119.565   10000   30000
1.015          55.625         337.588   10000   30000
1.032          49.210         421.374   10000   30000
1.087          58.175        1867.049   10000   30000
1.103          86.735        1534.487   10000   30000
1.133          98.472        1620.930   10000   30000
1.185          55.820        8340.125   10000   30000
1.197          28.503        1121.847   10000   30000
1.246          19.526        2727.734   10000   30000
1.251          61.684         190.313   10000   30000
1.284          94.110         649.181   10000   30000
1.295          98.907        1883.314   10000   30000
1.313          55.309        5143.994   10000   30000
1.340          30.953        2009.021   10000   30000
1.344          73.485        2619.327   10000   30000
1.379          11.987         151.773   10000   30000
1.388          32.668         678.937   10001   30001
1.396          26.328         353.440   10000   30000
1.408          74.742         301.366   10002   30002
1.476          47.655        1179.233   10000   30000
1.476          81.305         998.220   10000   30000
1.493          16.741         373.082   10000   30000
1.493          72.622        1280.404   10000   30000
1.506          95.436         791.382   10000   30000
1.530          35.586        2197.006   10000   30000
1.532          77.940         964.487   10001   30001
1.597          28.825         174.849   10000   30000
1.616          64.083         271.688   10000   30000
1.632          10.508         406.988   10000   30000
1.701          22.416         430.831   10000   30000
1.730          18.230        1647.779   10000   30000
1.739           9.652         431.133   10001   30001
1.782          80.214         650.588   10001   30001
1.792           7.614        1473.519   10000   30000
1.798          75.150         693.871   10000   30000
1.828          26.997        1570.720   10000   30000
1.840          22.600         172.469   10001   30001
1.861          46.355         663.793   10000   30000
1.866          22.786        1291.957   10000   30000
1.873          88.754         126.110   10000   30000
1.881          42.831         223.313   10001   30001
1.899          31.481         992.147   10000   30000
1.951          78.721         843.013   10000   30000
1.956          37.017          19.285   10000   30000
1.956          37.886        2769.564   10001   30001
1.975          50.887         921.678   10000   30000
1.976          96.473        1340.870   10000   30000
1.998          14.220        1079.047   10001   30001
2.023          88.438        1666.253   10000   30000
2.061          42.140        1952.052   10000   30000
2.079          58.090        2525.993   10002   30002
2.107          24.109         192.690   10003   30003
2.149          54.867         797.070   10000   30000
2.193          38.763          85.642   10004   30004
2.257          90.159        2082.482   10001   30001
2.306           6.308        2136.002   10000   30000
2.322          96.507         691.052   10000   30000
2.332          71.721         175.423   10001   30001
2.345          20.407        1575.734   10000   30000
2.362          48.761          77.752   10000   30000
2.380          93.065         167.718   10000   30000
2.399          45.333        2983.662   10003   30003
