    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x04e04d2713753311       10.0.0.78       10.0.0.77    10003    30003    17        1           true    false     false    2                5.365         0.000         0        9919214
  10.000       SW       HW 0x0060052711753111       10.0.0.6       10.0.0.5    10001    30001    17        1           true    false     false    1                3.514         0.000         0        5011087
  10.000       SW       HW 0x01e01d2710753011       10.0.0.30       10.0.0.29    10000    30000    17        1           true    false     false    1                3.531         0.000         0        4570569
  10.000       SW       HW 0x01c01b2711753111       10.0.0.28       10.0.0.27    10001    30001    17        1           true    false     false    1                4.321         0.000         0        4534074
  10.000       SW       HW 0x01c01b2710753011       10.0.0.28       10.0.0.27    10000    30000    17        1           true    false     false    1                1.365         0.000         0        4358317
  10.000       SW       HW 0x0580572711753111       10.0.0.88       10.0.0.87    10001    30001    17        1           true    false     false    2                5.825         0.000         0        4331199
  10.000       SW       HW 0x00a0092711753111       10.0.0.10       10.0.0.9    10001    30001    17        1           true    false     false    1                4.261         0.000         0        4281111
  10.000       SW       HW 0x0840832715753511       10.0.0.132       10.0.0.131    10005    30005    17        1           true    false     false    2                9.785         0.000         0        4120159
  10.000       SW       HW 0x0980972717753711       10.0.0.152       10.0.0.151    10007    30007    17        1           true    false     false    2                7.808         0.000         0        4111515
  10.000       SW       HW 0x00c00b2713753311       10.0.0.12       10.0.0.11    10003    30003    17        1           true    false     false    1                5.769         0.000         0        4078513
  10.000       SW       HW 0x0360352712753211       10.0.0.54       10.0.0.53    10002    30002    17        1           true    false     false    1                5.082         0.000         0        3970691
  10.000       SW       HW 0x0640632712753211       10.0.0.100       10.0.0.99    10002    30002    17        1           true    false     false    2                9.728         0.000         0        3885082
  10.000       SW       HW 0x0480472710753011       10.0.0.72       10.0.0.71    10000    30000    17        1           true    false     false    1                5.485         0.000         0        3642648
  10.000       SW       HW 0x01a0192711753111       10.0.0.26       10.0.0.25    10001    30001    17        1           true    false     false    1                7.832         0.000         0        3468471
  10.000       SW       HW 0x02c02b2710753011       10.0.0.44       10.0.0.43    10000    30000    17        1           true    false     false    1                3.994         0.000         0        3446714
  10.000       SW       HW 0x0680672711753111       10.0.0.104       10.0.0.103    10001    30001    17        1           true    false     false    2                7.934         0.000         0        3340802
  10.000       SW       HW 0x0220212710753011       10.0.0.34       10.0.0.33    10000    30000    17        1           true    false     false    1                2.608         0.000         0        3317655
  10.000       SW       HW 0x0980972715753511       10.0.0.152       10.0.0.151    10005    30005    17        1           true    false     false    2                6.374         0.000         0        3281007
  10.000       SW       HW 0x01a0192713753311       10.0.0.26       10.0.0.25    10003    30003    17        1           true    false     false    1                8.918         0.000         0        3161328
  10.000       SW       HW 0x0440432710753011       10.0.0.68       10.0.0.67    10000    30000    17        1           true    false     false    1                4.933         0.000         0        3070732
  10.000       SW       HW 0x0240232711753111       10.0.0.36       10.0.0.35    10001    30001    17        1           true    false     false    1                9.809         0.000         0        3053036
  10.000       SW       HW 0x0460452715753511       10.0.0.70       10.0.0.69    10005    30005    17        1           true    false     false    1                6.784         0.000         0        2967579
  10.000       SW       HW 0x0960952717753711       10.0.0.150       10.0.0.149    10007    30007    17        1           true    false     false    2                9.828         0.000         0        2956646
  10.000       SW       HW 0x0880872710753011       10.0.0.136       10.0.0.135    10000    30000    17        1           true    false     false    2                1.967         0.000         0        2824804
  10.000       SW       HW 0x02c02b2712753211       10.0.0.44       10.0.0.43    10002    30002    17        1           true    false     false    1                7.519         0.000         0        2717764
  10.000       SW       HW 0x0120112710753011       10.0.0.18       10.0.0.17    10000    30000    17        1           true    false     false    1                4.313         0.000         0        2706347
  10.000       SW       HW 0x0460452710753011       10.0.0.70       10.0.0.69    10000    30000    17        1           true    false     false    1                1.120         0.000         0        2663353
  10.000       SW       HW 0x07c07b2715753511       10.0.0.124       10.0.0.123    10005    30005    17        1           true    false     false    2                9.541         0.000         0        2563632
  10.000       SW       HW 0x00c00b2710753011       10.0.0.12       10.0.0.11    10000    30000    17        1           true    false     false    1                4.753         0.000         0        2561024
  10.000       SW       HW 0x00e00d2710753011       10.0.0.14       10.0.0.13    10000    30000    17        1           true    false     false    1                2.319         0.000         0        2546833
  10.000       SW       HW 0x0520512714753411       10.0.0.82       10.0.0.81    10004    30004    17        1           true    false     false    2                8.161         0.000         0        2532298
  10.000       SW       HW 0x09008f2711753111       10.0.0.144       10.0.0.143    10001    30001    17        1           true    false     false    2                3.317         0.000         0        2500811
  10.000       SW       HW 0x0320312710753011       10.0.0.50       10.0.0.49    10000    30000    17        1           true    false     false    1                2.500         0.000         0        2283181
  10.000       SW       HW 0x01000f2714753411       10.0.0.16       10.0.0.15    10004    30004    17        1           true    false     false    1                7.726         0.000         0        2250818
  10.000       SW       HW 0x0320312711753111       10.0.0.50       10.0.0.49    10001    30001    17        1           true    false     false    1                5.164         0.000         0        2249486
  10.000       SW       HW 0x0420412711753111       10.0.0.66       10.0.0.65    10001    30001    17        1           true    false     false    1                3.749         0.000         0        2227356
  10.000       SW       HW 0x06e06d2710753011       10.0.0.110       10.0.0.109    10000    30000    17        1           true    false     false    2                1.081         0.000         0        2209678
  10.000       SW       HW 0x0440432712753211       10.0.0.68       10.0.0.67    10002    30002    17        1           true    false     false    1                5.866         0.000         0        2205971
  10.000       SW       HW 0x0540532710753011       10.0.0.84       10.0.0.83    10000    30000    17        1           true    false     false    2                7.188         0.000         0        2178048
  10.000       SW       HW 0x0720712715753511       10.0.0.114       10.0.0.113    10005    30005    17        1           true    false     false    2                8.589         0.000         0        2165838
  10.000       SW       HW 0x08a0892714753411       10.0.0.138       10.0.0.137    10004    30004    17        1           true    false     false    2                8.431         0.000         0        2140586
  10.000       SW       HW 0x0980972711753111       10.0.0.152       10.0.0.151    10001    30001    17        1           true    false     false    2                1.988         0.000         0        2128268
  10.000       SW       HW 0x08c08b2710753011       10.0.0.140       10.0.0.139    10000    30000    17        1           true    false     false    2                2.485         0.000         0        2118942
  10.000       SW       HW 0x09008f2713753311       10.0.0.144       10.0.0.143    10003    30003    17        1           true    false     false    2                5.217         0.000         0        2104710
  10.000       SW       HW 0x07c07b2714753411       10.0.0.124       10.0.0.123    10004    30004    17        1           true    false     false    2                8.766         0.000         0        2053596
  10.000       SW       HW 0x0960952715753511       10.0.0.150       10.0.0.149    10005    30005    17        1           true    false     false    2                8.432         0.000         0        2041501
  10.000       SW       HW 0x0660652712753211       10.0.0.102       10.0.0.101    10002    30002    17        1           true    false     false    2                8.567         0.000         0        1946026
  10.000       SW       HW 0x0660652710753011       10.0.0.102       10.0.0.101    10000    30000    17        1           true    false     false    2                1.077         0.000         0        1929999
