Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.293          71.511         345.802   10000   30000
1.306          31.481         992.147   10000   30000
1.402          85.132        1384.636   10000   30000
1.500          35.096         753.840   10000   30000
1.505          78.016         173.297   10000   30000
1.667          52.064        1374.871   10000   30000
1.690          62.407        1437.403   10000   30000
1.796          49.210         421.374   10000   30000
1.935          95.436         791.382   10000   30000
2.179          91.505         204.339   10000   30000
2.190           5.061         257.684   10001   30001
2.271          32.496        1666.697   10000   30000
2.399          76.954         711.698   10002   30002
2.485          72.610         812.866   10001   30001
2.595          66.229        2210.891   10000   30000
2.606          43.515         943.667   10001   30001
2.661          34.705         461.044   10003   30003
2.674          39.819         421.851   10002   30002
2.675          69.200         536.732   10000   30000
2.919          82.880         324.151   10001   30001
2.947          94.110         649.181   10000   30000
3.042          22.416         430.831   10000   30000
3.159          64.266         243.311   10000   30000
3.490          10.508         406.988   10000   30000
3.495          58.019         487.247   10001   30001
3.496          75.440        2133.458   10001   30001
3.528          76.676         223.345   10001   30001
3.586          51.902          16.657   10001   30001
3.791          97.302         382.453   10003   30003
3.803          86.158        2313.681   10001   30001
3.845          71.202         161.177   10000   30000
3.940          26.328         353.440   10000   30000
3.998          19.005         211.390   10001   30001
4.143          13.677         413.860   10002   30002
4.399          21.739         966.069   10001   30001
4.505          46.561         253.365   10000   30000
4.577          83.665         846.999   10002   30002
4.808          15.731          65.167   10003   30003
4.882          40.369         988.737   10001   30001
5.041          58.225         272.958   10002   30002
5.258          83.261        1239.304   10001   30001
5.283          81.312         636.704   10001   30001
5.303          43.289         665.538   10001   30001
5.322          42.831         223.313   10001   30001
5.353          86.778         951.979   10002   30002
5.719          40.727         653.588   10003   30003
5.748          90.120         778.715   10002   30002
5.833          32.217         108.613   10000   30000
6.028          60.197        1994.172   10001   30001
6.246          11.987         151.773   10000   30000
6.332          15.645          91.596   10002   30002
6.353          54.149        1544.394   10004   30004
6.356          12.392         481.041   10004   30004
6.412          23.508         850.307   10001   30001
6.485          46.188        1007.940   10003   30003
6.618          68.133        3350.819   10002   30002
6.673          54.867         797.070   10000   30000
6.718          78.633        1216.159   10001   30001
6.768          71.721         175.423   10001   30001
6.810          71.280        2757.660   10002   30002
6.900          92.579         236.194   10004   30004
6.971          46.244         189.220   10004   30004
6.984          36.358         141.386   10002   30002
7.161          67.908         126.183   10005   30005
7.444           9.617         198.933   10003   30003
7.519          56.107         444.500   10002   30002
7.608          49.581         629.531   10005   30005
7.694          48.987         715.218   10002   30002
7.795          52.518         605.128   10003   30003
7.856          18.241        2331.392   10002   30002
7.868          35.743         659.561   10002   30002
7.874          66.448         594.816   10003   30003
7.921          59.449         905.348   10005   30005
7.948           6.372         621.088   10002   30002
7.980           8.675        2203.544   10003   30003
8.055          75.139         249.275   10006   30006
8.191          28.006           4.973   10003   30003
8.385          35.971          49.757   10002   30002
8.471          47.093         590.945   10004   30004
8.477          64.249        1090.593   10002   30002
8.490          19.776        2162.155   10007   30007
8.509          76.060        2238.348   10002   30002
8.636          83.537        1655.879   10008   30008
8.643          55.309        5143.994   10000   30000
8.644          44.710         590.057   10003   30003
8.664          58.701          90.801   10003   30003
8.666          20.291         117.730   10005   30005
8.668          33.674         726.384   10004   30004
8.716          37.010         317.760   10001   30001
8.777          94.547         585.087   10003   30003
9.089          91.671         130.910   10006   30006
9.132          55.888         341.466   10005   30005
9.192          53.226         246.977   10001   30001
9.237           9.331        4411.146   10003   30003
9.239          69.330        1110.293   10003   30003
9.371          94.885         506.759   10006   30006
9.413          22.346         183.333   10009   30009
9.467          21.463         380.126   10003   30003
9.521          86.729        2802.080   10003   30003
9.553          31.926        1490.260   10002   30002
9.758          70.898        2100.457   10010   30010
9.886          11.025        1138.256   10004   30004
9.943          56.950        1679.466   10004   30004
9.955          38.237         917.316   10004   30004
9.984           8.280        2841.132   10004   30004
10.009          78.526        1545.697   10004   30004
10.010          69.553        1480.940   10011   30011
10.034          68.141         817.179   10002   30002
10.206          35.871         160.397   10004   30004
10.249          61.824         441.209   10000   30000
10.399          80.811        1612.300   10002   30002
10.472          23.999        1314.159   10004   30004
10.594          44.885        3164.734   10006   30006
10.734          36.749        1055.553   10003   30003
11.002          41.239        2211.232   10005   30005
11.125           7.844        1165.319   10004   30004
11.129          42.074          68.715   10006   30006
11.298          77.084         734.972   10005   30005
11.447          86.374        1321.953   10004   30004
11.601          92.026         322.839   10007   30007
11.641          53.896        1141.008   10005   30005
11.654          94.004         388.535   10005   30005
11.672          28.157        1490.171   10006   30006
11.751          97.854        1604.292   10004   30004
11.785          25.209          16.299   10012   30012
11.837          38.042        1500.033   10005   30005
11.881          20.791         352.686   10004   30004
11.935          22.600         172.469   10001   30001
12.008          56.209        1262.719   10001   30001
12.063          57.003         446.503   10005   30005
12.090          35.301         679.524   10002   30002
12.290          89.694         136.077   10003   30003
12.336           6.051        1323.339   10003   30003
12.383          62.071        1457.563   10007   30007
12.546          19.931        1930.061   10004   30004
