Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.028          48.148        1657.944   10000   30000
1.038          33.148         277.347   10000   30000
1.065           5.510         588.695   10000   30000
1.152          21.699        1829.824   10000   30000
1.156          41.491        1197.532   10000   30000
1.161          28.185         205.763   10000   30000
1.179          49.525        2460.808   10000   30000
1.182          43.608        1966.763   10000   30000
1.221          14.560        3364.974   10000   30000
1.272          96.137        1588.722   10000   30000
1.275          23.991         758.934   10001   30001
1.321          59.543         369.300   10000   30000
1.333          43.935         293.250   10000   30000
1.355          46.157         551.937   10000   30000
1.410          42.622         694.695   10000   30000
1.420          68.663         685.468   10000   30000
1.452          14.057        1292.364   10000   30000
1.470          65.025        2114.631   10000   30000
1.556          25.705        1483.192   10000   30000
1.599          31.914        2786.899   10000   30000
1.606          13.896         843.992   10000   30000
1.632          87.410          73.704   10001   30001
1.636          37.021         515.289   10001   30001
1.655          20.501         795.048   10001   30001
1.666          81.931         243.877   10000   30000
1.680          35.489        1181.895   10000   30000
1.681          64.542        1746.655   10000   30000
1.685          62.787         231.371   10001   30001
1.686          52.281        1085.263   10000   30000
1.697           6.769        1490.700   10000   30000
1.706          61.433        1119.085   10000   30000
1.714          10.871        5268.159   10000   30000
1.718          38.610         182.855   10002   30002
1.738          79.534        1235.390   10000   30000
1.778          81.513         929.101   10001   30001
1.780          31.491        3877.393   10000   30000
1.804          74.972         917.564   10000   30000
1.831          53.809         963.479   10000   30000
1.944          77.779         181.732   10000   30000
1.983          93.762        1077.353   10000   30000
2.024          72.970         743.244   10000   30000
2.039          27.493         314.217   10001   30001
2.059          30.020        1245.477   10000   30000
2.065          67.470        2041.821   10001   30001
2.071          28.875         724.649   10000   30000
2.072          47.466        2346.635   10001   30001
2.080          14.793          31.094   10000   30000
2.082          94.728         603.280   10000   30000
2.142          18.167        2285.534   10000   30000
2.157          65.414        1729.174   10001   30001
2.214          36.647        2408.678   10000   30000
2.254          75.125         173.213   10001   30001
2.273          78.268         432.120   10000   30000
2.312           6.186         421.262   10000   30000
2.357          79.207          56.907   10001   30001
2.358          24.674         708.466   10000   30000
2.373          33.314         219.430   10002   30002
2.399          23.730        1131.149   10000   30000
2.431          63.089         408.295   10000   30000
2.443          54.519         202.593   10000   30000
2.470          66.209         688.904   10000   30000
2.470          17.599         735.253   10000   30000
2.528          89.147         395.919   10000   30000
2.533          68.577        2396.480   10000   30000
2.611          62.084        1320.774   10000   30000
2.679           5.360          61.198   10001   30001
2.682          84.388         910.180   10003   30003
2.705           8.280         254.479   10001   30001
2.708          34.907          78.356   10001   30001
2.755          92.777        1906.920   10001   30001
2.768          75.304        1145.395   10001   30001
2.772          26.493          14.685   10000   30000
2.788           6.865         559.479   10001   30001
2.803          52.281         186.508   10002   30002
2.813          34.984         322.074   10000   30000
2.820          76.664         703.304   10000   30000
2.824          69.288         187.012   10002   30002
2.835          60.306         452.400   10000   30000
2.851          66.866          84.650   10000   30000
2.879          94.875         297.065   10000   30000
2.905          96.449        1148.417   10000   30000
2.936          38.149         749.527   10001   30001
2.940          90.091         208.937   10003   30003
2.975          17.626        4038.596   10000   30000
2.991           8.885         149.397   10001   30001
3.003          46.749         596.056   10001   30001
3.008          64.589        1432.875   10001   30001
3.019          70.979         138.529   10002   30002
3.039          93.631          94.694   10001   30001
3.054          34.876         164.629   10001   30001
3.059          71.043         150.557   10000   30000
3.072           8.044         403.377   10001   30001
3.093          68.517        1148.659   10000   30000
3.111          66.812          31.062   10000   30000
3.151          38.006        1377.945   10000   30000
3.179          97.882        1128.754   10000   30000
3.194          56.376         225.632   10002   30002
3.238          58.400         838.663   10002   30002
3.256          68.567        2044.939   10001   30001
3.268          13.879         759.330   10000   30000
3.282          17.050         615.705   10001   30001
3.301          78.282         541.230   10001   30001
3.325          12.577        2929.650   10002   30002
3.339          98.730        1455.807   10000   30000
3.370          10.529        1446.158   10000   30000
3.384          95.655        1086.376   10000   30000
3.405          42.996        2410.311   10000   30000
3.431          61.874          67.576   10000   30000
3.517          68.678         567.570   10001   30001
3.517          79.293        1463.014   10001   30001
3.529          44.128          53.503   10000   30000
3.536          47.632         871.956   10001   30001
3.536          47.432          86.698   10000   30000
3.551          97.712         793.702   10002   30002
3.563          28.597        1131.240   10001   30001
3.567          99.820         155.476   10000   30000
3.575          95.933         266.048   10001   30001
3.603          85.599         591.185   10001   30001
3.624          17.585         784.315   10001   30001
3.656          10.924        1203.337   10001   30001
3.705          85.124        2280.628   10002   30002
3.719          57.295          21.133   10001   30001
3.719          69.703        3759.208   10000   30000
3.734          88.594          62.820   10002   30002
3.808          48.629        1955.747   10001   30001
3.812          60.380         178.524   10001   30001
3.824          64.989          70.878   10002   30002
3.857          66.228        1916.661   10003   30003
3.880          40.031          64.187   10001   30001
3.881          52.109          69.216   10001   30001
3.884          66.820         784.816   10001   30001
3.892          29.115        1138.992   10001   30001
3.900          46.832          14.879   10001   30001
3.904          80.399          90.582   10000   30000
3.947          56.918         468.578   10000   30000
3.963          54.141        1618.457   10002   30002
3.976          69.157          75.908   10004   30004
3.989          81.589         708.466   10000   30000
4.001          68.067        2444.131   10003   30003
4.002          84.526          94.283   10002   30002
4.010          46.008         426.285   10000   30000
4.034          65.250        1250.897   10003   30003
4.037          42.981          75.874   10001   30001
4.045          55.402         986.231   10001   30001
4.048          96.882         327.833   10001   30001
4.058          61.757         269.324   10003   30003
4.062          66.677         117.690   10000   30000
4.063          20.400        1579.229   10002   30002
4.076          35.192        3825.460   10000   30000
4.096          45.938         113.206   10001   30001
4.135          36.720        2284.514   10002   30002
4.154          18.182        1258.790   10000   30000
4.210          81.091         309.217   10001   30001
4.226          73.071         974.142   10000   30000
4.276          98.821         154.360   10001   30001
4.356          45.223         747.903   10003   30003
4.366          47.064        1082.599   10000   30000
4.388          33.063         452.093   10001   30001
4.394           9.516         242.221   10004   30004
4.504          48.894          49.356   10002   30002
4.508          79.409         168.333   10000   30000
4.509          20.049        1284.251   10001   30001
4.733          77.476         309.892   10004   30004
4.733          13.939         457.642   10002   30002
4.736          53.639         226.458   10001   30001
4.738          72.769          37.069   10003   30003
4.743          87.725        2909.039   10001   30001
4.758          92.269         607.736   10001   30001
4.815          55.537         719.542   10003   30003
4.828          69.630         887.328   10001   30001
4.845          65.213         692.212   10003   30003
4.857          42.963        1148.118   10002   30002
4.858          19.103         599.229   10000   30000
4.862          73.121         995.597   10001   30001
4.878          78.397         367.042   10002   30002
4.891          41.940        1186.322   10002   30002
4.894          88.793        1012.967   10001   30001
4.910          78.808         147.618   10004   30004
4.938          58.843        1916.180   10002   30002
4.969          96.644        2010.149   10001   30001
4.976          56.694        2343.576   10000   30000
4.984          21.436        2829.758   10002   30002
5.007          13.333        1419.235   10003   30003
5.029          25.936        2032.076   10002   30002
5.046          59.077         527.058   10000   30000
5.062          86.693        2249.359   10002   30002
5.094          97.070         917.224   10002   30002
5.171          78.832         337.888   10001   30001
5.184          35.496          46.286   10002   30002
5.213          45.313         534.017   10002   30002
5.230          34.481         476.351   10001   30001
5.231          90.800         229.560   10001   30001
5.257          26.392        1849.839   10001   30001
5.286          83.090         897.958   10000   30000
5.353          54.760         308.083   10001   30001
5.360          55.393        1908.530   10001   30001
5.361          25.204          88.941   10002   30002
5.366          19.766         834.402   10002   30002
5.368          10.709        2200.303   10000   30000
5.416           9.906         147.396   10003   30003
5.431          90.448         357.059   10002   30002
5.460          19.543         811.108   10002   30002
5.464          73.513         791.066   10002   30002
5.471          67.784         146.939   10003   30003
5.478          68.193        2391.580   10003   30003
5.484          30.215        1207.903   10003   30003
5.487          65.942        1727.649   10001   30001
5.554          64.405        1164.936   10003   30003
5.571           9.982        1420.904   10001   30001
5.573          62.576        1659.095   10002   30002
5.586          33.423         746.926   10004   30004
5.592          95.726         800.462   10003   30003
5.595          44.484        3398.734   10002   30002
5.601          51.271        2068.361   10000   30000
5.723          59.231         194.268   10002   30002
5.739          13.429          42.728   10004   30004
5.740          56.161        2627.422   10001   30001
5.745          50.353         648.901   10002   30002
5.783          36.296         455.853   10001   30001
5.790          48.633        1681.440   10002   30002
5.837          44.090        1765.579   10002   30002
5.877          49.969         290.753   10005   30005
5.880          28.852        1659.667   10003   30003
5.883          29.005        1499.880   10003   30003
5.902          42.000        2698.030   10002   30002
5.911          50.055         650.884   10002   30002
5.928          52.329         874.008   10002   30002
5.941          63.614         186.005   10002   30002
5.977          52.113        1580.941   10001   30001
6.029          18.363        1482.371   10002   30002
6.104          55.588          87.387   10003   30003
6.114          88.443        3772.178   10001   30001
6.116          61.816        2071.025   10002   30002
6.128          27.553         785.862   10002   30002
6.155          64.964        1146.941   10002   30002
6.162          92.242         484.983   10005   30005
6.197          83.361         439.785   10004   30004
6.211          12.270        1743.346   10002   30002
6.219          58.592         795.737   10003   30003
6.233          75.516         357.100   10003   30003
6.255          35.274          30.960   10003   30003
6.260          78.764         336.689   10003   30003
6.279          37.368        1359.524   10003   30003
6.292          86.130        1028.145   10002   30002
6.307          67.380         388.565   10003   30003
6.318          46.877         173.556   10002   30002
6.321          79.311        1786.576   10003   30003
6.352          81.632        2093.054   10003   30003
6.357          28.460        1390.211   10002   30002
6.388          21.628        1157.582   10004   30004
