   Time:s                Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
    8.221  0x0a20a12711753111 VoipCall  Ulink    5.377   1.122   0.001     166     165   0.602   242550   360.886
   10.343  0x05a0592711753111 VoipCall  Ulink    5.584   1.200   0.000     160     159   0.625   233730   334.869
   10.668  0x02a0292710753011 VoipCall  Ulink    7.175   1.178   0.000     201     200   0.498   294000   327.809
   11.120  0x00c00b2710753011 VoipCall  Ulink    6.588   1.188   0.026    1226    1225   0.082  1800750  2186.763
   11.525  0x08a0892710753011 VoipCall  Ulink    8.491   1.151   0.010     663     662   0.151   973140   916.912
   12.463  0x0340332712753211 VoipCall  Ulink    5.479   1.070   0.021      76      75   1.316   110250   160.969
   12.644  0x0040032710753011 VoipCall  Ulink    9.467   1.075   0.001     394     393   0.254   577710   488.192
   12.756  0x0820812713753311 VoipCall  Ulink    8.407   1.095   0.000     735     734   0.136  1078980  1026.725
   13.684  0x0360352710753011 VoipCall  Ulink    8.981   1.031   0.029      56      55   1.786    80850    72.019
   13.948  0x01c01b2713753311 VoipCall  Ulink    6.551   0.961   0.000     957     956   0.104  1405320  1716.153
   14.894  0x00a0092711753111 VoipCall  Ulink   10.386   0.983   0.000    2041    2040   0.049  2998800  2309.917
   14.998  0x0760752713753311 VoipCall  Ulink    5.370   0.807   0.000     681     680   0.147   999600  1489.136
   15.228  0x0440432713753311 VoipCall  Ulink    6.830   0.857   0.000    1045    1044   0.096  1534680  1797.653
   15.347  0x06005f2711753111 VoipCall  Ulink   10.692   0.967   0.000     315     314   0.317   461580   345.358
   15.591  0x0640632715753511 VoipCall  Ulink    6.740   0.818   0.000     903     902   0.111  1325940  1573.913
   15.594  0x0b00af2711753111 VoipCall  Ulink   11.990   0.980   0.000     693     692   0.144  1017240   678.722
   15.650  0x0780772713753311 VoipCall  Ulink   11.560   0.975   0.000     977     976   0.102  1434720   992.905
   15.670  0x07006f2714753411 VoipCall  Ulink    8.084   0.900   0.020      37      36   2.703    52920    52.367
   15.866  0x0c80c72712753211 VoipCall  Ulink    8.562   0.908   0.000    1096    1095   0.091  1609650  1503.988
   15.999  0x03a0392710753011 VoipCall  Ulink   11.701   0.950   0.000    1088    1087   0.092  1597890  1092.489
   16.126  0x03c03b2712753211 VoipCall  Ulink    5.560   0.669   0.000     228     227   0.439   333690   480.157
   16.413  0x0940932711753111 VoipCall  Ulink    7.498   0.817   0.000     215     214   0.465   314580   335.654
   16.579  0x0540532711753111 VoipCall  Ulink   11.573   0.924   0.000    1165    1164   0.086  1711080  1182.779
   16.651  0x0720712712753211 VoipCall  Ulink   12.432   0.946   0.000    1312    1311   0.076  1927170  1240.180
   16.665  0x0180172713753311 VoipCall  Ulink    5.790   0.631   0.004      57      56   1.754    82320   113.748
   16.925  0x0660652711753111 VoipCall  Ulink   13.307   0.932   0.000     796     795   0.126  1168650   702.593
   16.931  0x04a0492711753111 VoipCall  Ulink   13.605   0.934   0.000    1372    1371   0.073  2015370  1185.118
   17.401  0x0060052712753211 VoipCall  Ulink    9.117   0.806   0.000    1053    1052   0.095  1546440  1357.035
   18.040  0x03e03d2713753311 VoipCall  Ulink   12.885   0.887   0.000    1273    1272   0.079  1869840  1160.938
   18.195  0x0c60c52712753211 VoipCall  Ulink   13.251   0.888   0.000    2461    2460   0.041  3616200  2183.244
   18.562  0x0be0bd2712753211 VoipCall  Ulink   11.643   0.848   0.000     245     244   0.408   358680   246.445
   18.574  0x0180172712753211 VoipCall  Ulink   11.815   0.840   0.000    3868    3867   0.026  5684490  3848.957
   18.638  0x0be0bd2711753111 VoipCall  Ulink   15.407   0.911   0.000    1647    1646   0.061  2419620  1256.401
   18.731  0x0580572711753111 VoipCall  Ulink   11.869   0.835   0.000    3966    3965   0.025  5828550  3928.459
   18.826  0x0060052713753311 VoipCall  Ulink    6.695   1.438   0.001      72      71   1.389   104370   124.720
   18.965  0x0960952713753311 VoipCall  Ulink    7.174   1.434   0.000     274     273   0.365   401310   447.528
   18.972  0x09c09b2713753311 VoipCall  Ulink    5.036   1.445   0.000     176     175   0.568   257250   408.695
   19.184  0x0c00bf2710753011 VoipCall  Ulink   16.379   0.902   0.000     670     669   0.149   983430   480.334
   19.186  0x09008f2711753111 VoipCall  Ulink   11.885   0.829   0.000    1095    1094   0.091  1608180  1082.477
   19.460  0x0160152711753111 VoipCall  Ulink    7.632   1.435   0.000     210     209   0.476   307230   322.030
   19.759  0x06e06d2712753211 VoipCall  Ulink   11.113   0.768   0.000     568     567   0.176   833490   600.013
   19.977  0x0ae0ad2710753011 VoipCall  Ulink   17.865   0.886   0.000     889     888   0.112  1305360   584.532
   20.008  0x0bc0bb2711753111 VoipCall  Ulink   16.218   0.882   0.000     457     456   0.219   670320   330.649
   20.096  0x0980972710753011 VoipCall  Ulink   15.116   0.854   0.000    2982    2981   0.034  4382070  2319.223
   20.253  0x0120112713753311 VoipCall  Ulink   13.062   0.803   0.000     409     408   0.244   599760   367.338
   20.279  0x0880872710753011 VoipCall  Ulink   17.932   0.875   0.000    8496    8495   0.012 12487650  5571.227
   20.303  0x0240232713753311 VoipCall  Ulink    9.708   0.655   0.003      62      61   1.613    89670    73.891
   20.473  0x0ae0ad2712753211 VoipCall  Ulink   14.314   0.835   0.000     403     402   0.248   590940   330.281
   20.766  0x0aa0a92713753311 VoipCall  Ulink    6.243   1.445   0.000    2123    2122   0.047  3119340  3997.480
   20.815  0x01c01b2717753711 VoipCall  Ulink    6.430   1.445   0.000     511     510   0.196   749700   932.813
   21.092  0x0740732717753711 VoipCall  Ulink    7.485   1.437   0.048     199     198   0.503   291060   311.093
   21.198  0x0040032711753111 VoipCall  Ulink   15.027   0.815   0.003     838     837   0.119  1230390   655.020
   21.362  0x0840832710753011 VoipCall  Ulink   12.103   0.713   0.000    5990    5989   0.017  8803830  5819.119
   21.374  0x0360352717753711 VoipCall  Ulink    5.147   1.388   0.044      69      68   1.449    99960   155.376
   21.720  0x086085271a753a11 VoipCall  Ulink    5.797   1.349   0.000     812     811   0.123  1192170  1645.293
   21.748  0x0b00af2715753511 VoipCall  Ulink    9.054   1.381   0.001     886     885   0.113  1300950  1149.450
   22.114  0x07006f2716753611 VoipCall  Ulink   12.745   0.719   0.000    1350    1349   0.074  1983030  1244.785
   22.577  0x08c08b2711753111 VoipCall  Ulink   15.344   0.791   0.000     761     760   0.131  1117200   582.466
   22.668  0x0340332710753011 VoipCall  Ulink   19.245   0.846   0.000     492     491   0.203   721770   300.039
   22.685  0x0b60b52711753111 VoipCall  Ulink   13.284   0.717   0.000     771     770   0.130  1131900   681.671
   22.724  0x0c60c52714753411 VoipCall  Ulink   10.918   1.316   0.001     383     382   0.261   561540   411.451
   22.899  0x04c04b2710753011 VoipCall  Ulink   17.204   0.811   0.000    3668    3667   0.027  5390490  2506.654
   22.921  0x09a0992712753211 VoipCall  Ulink   15.939   0.794   0.000     790     789   0.127  1159830   582.145
   22.932  0x0260252711753111 VoipCall  Ulink   13.585   0.707   0.000     662     661   0.151   971670   572.212
   22.966  0x04c04b2714753411 VoipCall  Ulink    5.877   1.189   0.000     975     974   0.103  1431780  1948.955
   23.287  0x02a0292714753411 VoipCall  Ulink   13.668   0.695   0.000     505     504   0.198   740880   433.636
   23.365  0x0460452710753011 VoipCall  Ulink   20.921   0.845   0.000    5261    5260   0.019  7732200  2956.785
   23.425  0x09a0992713753311 VoipCall  Ulink   15.935   0.768   0.011      47      46   2.128    67620    33.947
   23.488  0x0360352716753611 VoipCall  Ulink    9.473   1.245   0.000    1074    1073   0.093  1577310  1332.000
   23.544  0x01000f2712753211 VoipCall  Ulink   16.772   0.785   0.000    2225    2224   0.045  3269280  1559.373
