 TimeSec      SRC      DST   Cookie                   SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0160152712753211         10.0.0.22       10.0.0.21    10002    30002    17        5           true     false    false    1                5.286         0.000         0        6769388
  10.000       SW       HW 0x0060052712753211         10.0.0.6       10.0.0.5    10002    30002    17        5           true     false    false    1                8.712         0.000         0        5308797
  10.000       SW       HW 0x0480472713753311         10.0.0.72       10.0.0.71    10003    30003    17        5           true     false    false    2                2.445         0.000         0        5071248
  10.000       SW       HW 0x0260252712753211         10.0.0.38       10.0.0.37    10002    30002    17        5           true     false    false    1                4.705         0.000         0        3982889
  10.000       SW       HW 0x02c02b2715753511         10.0.0.44       10.0.0.43    10005    30005    17        5           true     false    false    1                5.968         0.000         0        3919250
  10.000       SW       HW 0x0520512710753011         10.0.0.82       10.0.0.81    10000    30000    17        5           true     false    false    2                5.143         0.000         0        3591021
  10.000       SW       HW 0x0460452712753211         10.0.0.70       10.0.0.69    10002    30002    17        5           true     false    false    2                9.724         0.000         0        3558367
  10.000       SW       HW 0x01e01d2718753811         10.0.0.30       10.0.0.29    10008    30008    17        5           true     false    false    1                8.609         0.000         0        3497104
  10.000       SW       HW 0x0080072710753011         10.0.0.8       10.0.0.7    10000    30000    17        5           true     false    false    1                7.215         0.000         0        3444243
  10.000       SW       HW 0x06005f2713753311         10.0.0.96       10.0.0.95    10003    30003    17        5           true     false    false    2                6.626         0.000         0        3328387
  10.000       SW       HW 0x0140132712753211         10.0.0.20       10.0.0.19    10002    30002    17        5           true     false    false    1                9.332         0.000         0        3321668
  10.000       SW       HW 0x0580572712753211         10.0.0.88       10.0.0.87    10002    30002    17        5           true     false    false    2                4.710         0.000         0        3305982
  10.000       SW       HW 0x0620612712753211         10.0.0.98       10.0.0.97    10002    30002    17        5           true     false    false    2                5.705         0.000         0        3264327
  10.000       SW       HW 0x05c05b2710753011         10.0.0.92       10.0.0.91    10000    30000    17        5           true     false    false    2                1.599         0.000         0        3147074
  10.000       SW       HW 0x0580572710753011         10.0.0.88       10.0.0.87    10000    30000    17        5           true     false    false    2                2.280         0.000         0        3049379
  10.000       SW       HW 0x03c03b2712753211         10.0.0.60       10.0.0.59    10002    30002    17        5           true     false    false    2                3.619         0.000         0        2894537
  10.000       SW       HW 0x03002f2710753011         10.0.0.48       10.0.0.47    10000    30000    17        5           true     false    false    1                2.233         0.000         0        2873073
  10.000       SW       HW 0x04e04d2711753111         10.0.0.78       10.0.0.77    10001    30001    17        5           true     false    false    2                3.059         0.000         0        2867410
  10.000       SW       HW 0x00a0092711753111         10.0.0.10       10.0.0.9    10001    30001    17        5           true     false    false    1                5.174         0.000         0        2862233
  10.000       SW       HW 0x0180172712753211         10.0.0.24       10.0.0.23    10002    30002    17        5           true     false    false    1                6.510         0.000         0        2853298
  10.000       SW       HW 0x03e03d2719753911         10.0.0.62       10.0.0.61    10009    30009    17        5           true     false    false    2                8.722         0.000         0        2694238
