  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        1        0        1          4.30894              59.3        103088          18049
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        1        0        1          4.69537             125.1      10270900         712609
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        1        0        1          9.68918              85.1         62156           7072
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        1        0        1           9.5354              51.3       1253732         247867
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        1        0        1          10.6809             101.1      30694452        2749194
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        1        0        1          11.0274              98.8       9841872         996991
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        1        0        1          12.3508              52.5       1596348         339204
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        1        0        1          14.4652              72.7      11209304        1614743
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        1        0        1          14.5317             135.2      13618228         943513
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        1        0        1          14.8731              71.7       2143624         311081
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        1        0        1          16.0675             106.5       1914708         182499
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        1        0        1          18.4572             130.5        283492          20332
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        1        0        1          18.6967              66.4        215272          41695
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        1        0        1          18.6696              66.2       3997692         773801
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        1        0        1           19.008              82.1       1801008         236228
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        1        0        1          19.2193             131.6       5055860         365107
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        1        0        1            21.55              60.1        309264          64346
