    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0140132710753011       10.0.0.20       10.0.0.19    10000    30000    17        1           true    false     false    1                8.646         0.000         0        5348140
  10.000       SW       HW 0x0160152713753311       10.0.0.22       10.0.0.21    10003    30003    17        1           true    false     false    1                9.241         0.000         0        4585217
  10.000       SW       HW 0x02e02d2712753211       10.0.0.46       10.0.0.45    10002    30002    17        1           true    false     false    2                6.622         0.000         0        3482923
  10.000       SW       HW 0x02001f2713753311       10.0.0.32       10.0.0.31    10003    30003    17        1           true    false     false    2                9.526         0.000         0        2891697
  10.000       SW       HW 0x0220212712753211       10.0.0.34       10.0.0.33    10002    30002    17        1           true    false     false    2                6.815         0.000         0        2867190
  10.000       SW       HW 0x0260252712753211       10.0.0.38       10.0.0.37    10002    30002    17        1           true    false     false    2                7.862         0.000         0        2422118
  10.000       SW       HW 0x01c01b2711753111       10.0.0.28       10.0.0.27    10001    30001    17        1           true    false     false    2                3.808         0.000         0        2405373
  10.000       SW       HW 0x01000f2712753211       10.0.0.16       10.0.0.15    10002    30002    17        1           true    false     false    1                8.515         0.000         0        2320133
  10.000       SW       HW 0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        1           true    false     false    1                2.601         0.000         0        2298205
  10.000       SW       HW 0x02e02d2713753311       10.0.0.46       10.0.0.45    10003    30003    17        1           true    false     false    2                7.986         0.000         0        2288723
  10.000       SW       HW 0x01e01d2717753711       10.0.0.30       10.0.0.29    10007    30007    17        1           true    false     false    2                8.496         0.000         0        2241670
  10.000       SW       HW 0x02c02b2711753111       10.0.0.44       10.0.0.43    10001    30001    17        1           true    false     false    2                3.502         0.000         0        2217388
  10.000       SW       HW 0x0160152714753411       10.0.0.22       10.0.0.21    10004    30004    17        1           true    false     false    1                9.989         0.000         0        2169902
  10.000       SW       HW 0x01e01d271a753a11       10.0.0.30       10.0.0.29    10010    30010    17        1           true    false     false    2                9.764         0.000         0        2158101
  10.000       SW       HW 0x00c00b2711753111       10.0.0.12       10.0.0.11    10001    30001    17        1           true    false     false    1                6.035         0.000         0        2070778
  10.000       SW       HW 0x02e02d2710753011       10.0.0.46       10.0.0.45    10000    30000    17        1           true    false     false    2                2.278         0.000         0        1732414
  10.000       SW       HW 0x0320312714753411       10.0.0.50       10.0.0.49    10004    30004    17        1           true    false     false    2                9.951         0.000         0        1724663
  10.000       SW       HW 0x01e01d2718753811       10.0.0.30       10.0.0.29    10008    30008    17        1           true    false     false    2                8.644         0.000         0        1717427
  10.000       SW       HW 0x01a0192714753411       10.0.0.26       10.0.0.25    10004    30004    17        1           true    false     false    1                6.361         0.000         0        1603208
  10.000       SW       HW 0x0280272712753211       10.0.0.40       10.0.0.39    10002    30002    17        1           true    false     false    2                9.561         0.000         0        1548150
  10.000       SW       HW 0x0060052710753011       10.0.0.6       10.0.0.5    10000    30000    17        1           true    false     false    1                1.699         0.000         0        1493105
  10.000       SW       HW 0x0160152710753011       10.0.0.22       10.0.0.21    10000    30000    17        1           true    false     false    1                1.411         0.000         0        1438845
  10.000       SW       HW 0x0120112710753011       10.0.0.18       10.0.0.17    10000    30000    17        1           true    false     false    1                1.676         0.000         0        1429270
  10.000       SW       HW 0x0240232711753111       10.0.0.36       10.0.0.35    10001    30001    17        1           true    false     false    2                5.268         0.000         0        1286716
  10.000       SW       HW 0x02a0292711753111       10.0.0.42       10.0.0.41    10001    30001    17        1           true    false     false    2                6.728         0.000         0        1264043
  10.000       SW       HW 0x00c00b2713753311       10.0.0.12       10.0.0.11    10003    30003    17        1           true    false     false    1                9.251         0.000         0        1149364
  10.000       SW       HW 0x00c00b2712753211       10.0.0.12       10.0.0.11    10002    30002    17        1           true    false     false    1                8.488         0.000         0        1131321
  10.000       SW       HW 0x02e02d2714753411       10.0.0.46       10.0.0.45    10004    30004    17        1           true    false     false    2                9.898         0.000         0        1065420
  10.000       SW       HW 0x0080072713753311       10.0.0.8       10.0.0.7    10003    30003    17        1           true    false     false    1                6.498         0.000         0        1045794
  10.000       SW       HW 0x00c00b2710753011       10.0.0.12       10.0.0.11    10000    30000    17        1           true    false     false    1                1.318         0.000         0        1030949
  10.000       SW       HW 0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        1           true    false     false    1                4.895         0.000         0        1026276
  10.000       SW       HW 0x01e01d2711753111       10.0.0.30       10.0.0.29    10001    30001    17        1           true    false     false    2                4.412         0.000         0        1002683
  10.000       SW       HW 0x0160152712753211       10.0.0.22       10.0.0.21    10002    30002    17        1           true    false     false    1                5.366         0.000         0         989286
  10.000       SW       HW 0x03002f2711753111       10.0.0.48       10.0.0.47    10001    30001    17        1           true    false     false    2                2.619         0.000         0         980905
  10.000       SW       HW 0x0080072715753511       10.0.0.8       10.0.0.7    10005    30005    17        1           true    false     false    1                7.935         0.000         0         939492
  10.000       SW       HW 0x02e02d2711753111       10.0.0.46       10.0.0.45    10001    30001    17        1           true    false     false    2                6.426         0.000         0         882385
  10.000       SW       HW 0x01e01d2712753211       10.0.0.30       10.0.0.29    10002    30002    17        1           true    false     false    2                4.591         0.000         0         878999
  10.000       SW       HW 0x0180172711753111       10.0.0.24       10.0.0.23    10001    30001    17        1           true    false     false    1                2.500         0.000         0         844108
  10.000       SW       HW 0x02a0292710753011       10.0.0.42       10.0.0.41    10000    30000    17        1           true    false     false    2                6.688         0.000         0         827577
  10.000       SW       HW 0x0180172710753011       10.0.0.24       10.0.0.23    10000    30000    17        1           true    false     false    1                1.950         0.000         0         822628
  10.000       SW       HW 0x0240232712753211       10.0.0.36       10.0.0.35    10002    30002    17        1           true    false     false    2                5.764         0.000         0         807337
  10.000       SW       HW 0x01a0192710753011       10.0.0.26       10.0.0.25    10000    30000    17        1           true    false     false    1                1.516         0.000         0         783349
  10.000       SW       HW 0x0240232714753411       10.0.0.36       10.0.0.35    10004    30004    17        1           true    false     false    2                9.968         0.000         0         764969
