  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        0        0        1          2.60142              98.9      19028832        1741797
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        0        0        1          4.89485              75.3       5186236         637275
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        0        0        1          5.08458              93.3       2063276         194384
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        0        0        1          5.73787              76.5       3457996         430486
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        0        0        1          11.9147              62.7        950532         158141
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        0        0        1          18.1814             101.3       2845532         278228
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        0        0        1          19.8941             145.1      16954944        1129332
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        0        0        1          20.7704             145.1      12041588         807959
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        0        0        1          22.3399             145.1      36208144        2461880
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        0        0        1           24.979              78.1       2035988         361784
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        0        0        1          26.0527             145.1       9047488         635205
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        0        0        1          29.1557             145.1      22221528        1603801
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        0        0        1           34.981              99.5       5530368         804139
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        0        0        1          35.5634             145.1       3127508         239571
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        0        0        1          38.2525             145.1        500280          39335
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        0        0        1          40.8186              93.3       1003592         163247
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        0        0        1          41.6062             110.7       5478824         640855
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        0        0        1          41.7235             145.1       2590844         210902
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        0        0        1          43.6099             145.1      39898088        3311383
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        0        0        1          45.5122             103.3       2148172         315398
