Ping 10.0.0.1 via ports 65534->7000
Reply from 10.0.0.1 seq=0 time=0.429248 ms
Reply from 10.0.0.1 seq=1 time=0.789248 ms
Reply from 10.0.0.1 seq=2 time=0.789248 ms
Reply from 10.0.0.1 seq=3 time=0.789248 ms
Reply from 10.0.0.1 seq=4 time=0.909248 ms
Reply from 10.0.0.1 seq=5 time=0.909248 ms
Reply from 10.0.0.1 seq=6 time=0.909248 ms
Reply from 10.0.0.1 seq=7 time=1.03882 ms
Reply from 10.0.0.1 seq=8 time=1.02925 ms
Reply from 10.0.0.1 seq=9 time=1.02925 ms
Reply from 10.0.0.1 seq=10 time=1.02934 ms
Reply from 10.0.0.1 seq=11 time=1.02925 ms
Reply from 10.0.0.1 seq=12 time=1.02925 ms
Reply from 10.0.0.1 seq=13 time=1.15641 ms
Reply from 10.0.0.1 seq=14 time=1.14925 ms
Reply from 10.0.0.1 seq=15 time=1.14925 ms
Reply from 10.0.0.1 seq=16 time=1.15918 ms
Reply from 10.0.0.1 seq=17 time=1.14925 ms
Reply from 10.0.0.1 seq=18 time=1.14925 ms
Reply from 10.0.0.1 seq=19 time=1.16912 ms
Reply from 10.0.0.1 seq=20 time=1.17116 ms
Reply from 10.0.0.1 seq=21 time=1.14925 ms
Reply from 10.0.0.1 seq=22 time=1.16701 ms
Reply from 10.0.0.1 seq=23 time=1.14925 ms
Reply from 10.0.0.1 seq=24 time=1.14925 ms
Reply from 10.0.0.1 seq=25 time=1.14925 ms
Reply from 10.0.0.1 seq=26 time=1.1946 ms
Reply from 10.0.0.1 seq=27 time=1.20194 ms
Reply from 10.0.0.1 seq=28 time=1.18925 ms
Reply from 10.0.0.1 seq=29 time=1.19712 ms
Reply from 10.0.0.1 seq=30 time=1.1993 ms
Reply from 10.0.0.1 seq=31 time=1.21123 ms
Reply from 10.0.0.1 seq=32 time=1.18925 ms
Reply from 10.0.0.1 seq=33 time=1.19748 ms
Reply from 10.0.0.1 seq=34 time=1.18925 ms
Reply from 10.0.0.1 seq=35 time=1.19014 ms
Reply from 10.0.0.1 seq=36 time=1.18925 ms
Reply from 10.0.0.1 seq=37 time=1.18925 ms
Reply from 10.0.0.1 seq=38 time=1.18925 ms
Reply from 10.0.0.1 seq=39 time=1.19213 ms
Reply from 10.0.0.1 seq=40 time=1.18958 ms
Reply from 10.0.0.1 seq=41 time=1.18925 ms
Reply from 10.0.0.1 seq=42 time=1.18925 ms
Reply from 10.0.0.1 seq=43 time=1.19617 ms
Reply from 10.0.0.1 seq=44 time=1.18925 ms
Reply from 10.0.0.1 seq=45 time=1.19144 ms
Reply from 10.0.0.1 seq=46 time=1.18925 ms
Reply from 10.0.0.1 seq=47 time=1.18925 ms
Reply from 10.0.0.1 seq=48 time=1.18925 ms
Reply from 10.0.0.1 seq=49 time=1.22046 ms
Reply from 10.0.0.1 seq=50 time=1.18925 ms
Reply from 10.0.0.1 seq=51 time=1.19974 ms
Reply from 10.0.0.1 seq=52 time=1.20647 ms
Reply from 10.0.0.1 seq=53 time=1.18925 ms
Reply from 10.0.0.1 seq=54 time=1.18985 ms
Reply from 10.0.0.1 seq=55 time=1.18925 ms
Reply from 10.0.0.1 seq=56 time=1.20642 ms
Reply from 10.0.0.1 seq=57 time=1.19299 ms
Reply from 10.0.0.1 seq=58 time=1.18925 ms
Reply from 10.0.0.1 seq=59 time=1.23889 ms
Reply from 10.0.0.1 seq=60 time=1.23511 ms
Reply from 10.0.0.1 seq=61 time=1.23324 ms
Reply from 10.0.0.1 seq=62 time=1.22925 ms
Reply from 10.0.0.1 seq=63 time=1.23164 ms
Reply from 10.0.0.1 seq=64 time=1.25595 ms
Reply from 10.0.0.1 seq=65 time=1.22925 ms
Reply from 10.0.0.1 seq=66 time=1.26927 ms
Reply from 10.0.0.1 seq=67 time=1.26197 ms
Reply from 10.0.0.1 seq=68 time=1.24684 ms
Reply from 10.0.0.1 seq=69 time=1.28448 ms
Reply from 10.0.0.1 seq=70 time=1.24426 ms
Reply from 10.0.0.1 seq=71 time=1.23392 ms
Reply from 10.0.0.1 seq=72 time=1.24001 ms
Reply from 10.0.0.1 seq=73 time=1.22925 ms
Reply from 10.0.0.1 seq=74 time=1.27116 ms
Reply from 10.0.0.1 seq=75 time=1.23626 ms
Reply from 10.0.0.1 seq=76 time=1.25296 ms
Reply from 10.0.0.1 seq=77 time=1.24531 ms
Reply from 10.0.0.1 seq=78 time=1.24055 ms
Reply from 10.0.0.1 seq=79 time=1.29325 ms
Reply from 10.0.0.1 seq=80 time=1.23475 ms
Reply from 10.0.0.1 seq=81 time=1.238 ms
Reply from 10.0.0.1 seq=82 time=1.23944 ms
Reply from 10.0.0.1 seq=83 time=1.27477 ms
Reply from 10.0.0.1 seq=84 time=1.29159 ms
Reply from 10.0.0.1 seq=85 time=1.28008 ms
Reply from 10.0.0.1 seq=86 time=1.276 ms
Reply from 10.0.0.1 seq=87 time=1.27185 ms
Reply from 10.0.0.1 seq=88 time=1.29734 ms
Reply from 10.0.0.1 seq=89 time=1.24835 ms
Reply from 10.0.0.1 seq=90 time=1.28274 ms
Reply from 10.0.0.1 seq=91 time=1.26925 ms
Reply from 10.0.0.1 seq=92 time=1.27224 ms
Reply from 10.0.0.1 seq=93 time=1.28068 ms
Reply from 10.0.0.1 seq=94 time=1.2871 ms
Reply from 10.0.0.1 seq=95 time=1.30223 ms
Reply from 10.0.0.1 seq=96 time=1.27571 ms
Reply from 10.0.0.1 seq=97 time=1.28565 ms
Reply from 10.0.0.1 seq=98 time=1.27429 ms
Reply from 10.0.0.1 seq=99 time=1.29416 ms
Reply from 10.0.0.1 seq=100 time=1.26925 ms
Reply from 10.0.0.1 seq=101 time=1.26925 ms
Reply from 10.0.0.1 seq=102 time=1.30876 ms
Reply from 10.0.0.1 seq=103 time=1.28813 ms
Reply from 10.0.0.1 seq=104 time=1.31119 ms
Reply from 10.0.0.1 seq=105 time=1.31473 ms
Reply from 10.0.0.1 seq=106 time=1.27472 ms
Reply from 10.0.0.1 seq=107 time=1.30067 ms
Reply from 10.0.0.1 seq=108 time=1.26925 ms
Reply from 10.0.0.1 seq=109 time=1.3041 ms
Reply from 10.0.0.1 seq=110 time=1.26925 ms
Reply from 10.0.0.1 seq=111 time=1.30399 ms
Reply from 10.0.0.1 seq=112 time=1.27543 ms
Reply from 10.0.0.1 seq=113 time=1.31882 ms
Reply from 10.0.0.1 seq=114 time=1.28729 ms
Reply from 10.0.0.1 seq=115 time=1.28727 ms
Reply from 10.0.0.1 seq=116 time=1.28161 ms
Reply from 10.0.0.1 seq=117 time=1.2821 ms
Reply from 10.0.0.1 seq=118 time=1.26925 ms
Reply from 10.0.0.1 seq=119 time=1.30261 ms
Reply from 10.0.0.1 seq=120 time=1.26925 ms
Reply from 10.0.0.1 seq=121 time=1.29524 ms
Reply from 10.0.0.1 seq=122 time=1.28399 ms
Reply from 10.0.0.1 seq=123 time=1.26925 ms
Reply from 10.0.0.1 seq=124 time=1.30237 ms
Reply from 10.0.0.1 seq=125 time=1.29187 ms
Reply from 10.0.0.1 seq=126 time=1.30721 ms
Reply from 10.0.0.1 seq=127 time=1.27462 ms
Reply from 10.0.0.1 seq=128 time=1.29868 ms
Reply from 10.0.0.1 seq=129 time=1.29478 ms
Reply from 10.0.0.1 seq=130 time=1.29038 ms
Reply from 10.0.0.1 seq=131 time=1.28958 ms
Reply from 10.0.0.1 seq=132 time=1.29005 ms
Reply from 10.0.0.1 seq=133 time=1.27479 ms
Reply from 10.0.0.1 seq=134 time=1.34692 ms
Reply from 10.0.0.1 seq=135 time=1.28257 ms
Reply from 10.0.0.1 seq=136 time=1.29474 ms
Reply from 10.0.0.1 seq=137 time=1.26925 ms
Reply from 10.0.0.1 seq=138 time=1.2807 ms
Reply from 10.0.0.1 seq=139 time=1.32185 ms
Reply from 10.0.0.1 seq=140 time=1.28537 ms
Reply from 10.0.0.1 seq=141 time=1.28407 ms
Reply from 10.0.0.1 seq=142 time=1.27259 ms
Reply from 10.0.0.1 seq=143 time=1.30446 ms
Reply from 10.0.0.1 seq=144 time=1.30895 ms
Reply from 10.0.0.1 seq=145 time=1.26925 ms
Reply from 10.0.0.1 seq=146 time=1.26925 ms
