   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   11.929  0x00000019 VoipCall  Ulink    7.658   0.970   0.000    1972    1972   0.000  2898840  3028.334
   11.929  0x00000019 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   15.122  0x00000020 VoipCall  Ulink    7.977   1.026   0.002     351     351   0.000   515970   517.464
   15.122  0x00000020 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   15.263  0x00000016 VoipCall  Ulink   11.438   0.992   0.000    2705    2705   0.000  3976350  2781.044
   15.263  0x00000016 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   18.877  0x00000010 VoipCall  Ulink   15.216   0.929   0.019     102     102   0.000   149940    78.832
   18.877  0x00000010 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   18.938  0x0000000f VoipCall  Ulink   15.840   0.926   0.000    2298    2298   0.000  3378060  1706.100
   18.938  0x0000000f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   24.470  0x0000002d VoipCall  Ulink   14.686   0.788   0.000    1228    1228   0.000  1805160   983.339
   24.470  0x0000002d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   24.960  0x00000030 VoipCall  Ulink   14.165   0.761   0.002    1533    1533   0.000  2253510  1272.709
   24.960  0x00000030 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   25.329  0x0000000d VoipCall  Ulink   22.255   0.817   0.003     160     160   0.000   235200    84.548
   25.329  0x0000000d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   25.828  0x0000002e VoipCall  Ulink   13.520   0.763   0.072      10      10   0.000    14700     8.698
   25.828  0x0000002e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   26.685  0x00000014 VoipCall  Ulink   22.960   0.803   0.002    7079    7079   0.000 10406130  3625.750
   26.685  0x00000014 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   29.680  0x00000059 VoipCall  Ulink    9.682   1.085   0.003    2037    2037   0.000  2994390  2474.255
   29.680  0x00000059 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   29.882  0x0000001a VoipCall  Ulink   24.390   0.765   0.001    3503    3503   0.000  5149410  1688.994
   29.882  0x0000001a VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.120  0x0000007e VoipCall  Ulink    6.556   1.163   0.003     183     183   0.000   269010   328.274
   32.120  0x0000007e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.657  0x0000004d VoipCall  Ulink   15.578   1.069   0.004     827     827   0.000  1215690   624.320
   32.657  0x0000004d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.994  0x0000005d VoipCall  Ulink   12.645   1.045   0.002    2451    2451   0.000  3602970  2279.517
   32.994  0x0000005d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   35.339  0x0000008c VoipCall  Ulink    5.974   0.799   0.002     823     823   0.000  1209810  1620.038
   35.339  0x0000008c VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   36.280  0x00000027 VoipCall  Ulink   27.440   0.701   0.001     203     203   0.000   298410    87.000
   36.280  0x00000027 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   38.050  0x00000057 VoipCall  Ulink   18.510   0.913   0.003    6025    6025   0.000  8856750  3827.882
   38.050  0x00000057 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   38.888  0x0000005a VoipCall  Ulink   18.890   0.896   0.003    4639    4639   0.000  6819330  2888.008
   38.888  0x0000005a VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   39.174  0x0000002f VoipCall  Ulink   28.671   0.667   0.002    1211    1211   0.000  1780170   496.712
   39.174  0x0000002f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   40.365  0x00000098 VoipCall  Ulink    7.899   1.116   0.045      10      10   0.000    14700    14.888
   40.365  0x00000098 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   41.164  0x00000078 VoipCall  Ulink   16.563   0.807   0.004    1411    1411   0.000  2074170  1001.838
   41.164  0x00000078 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   41.802  0x0000005f VoipCall  Ulink   21.214   0.844   0.004    8934    8934   0.000 13132980  4952.514
   41.802  0x0000005f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   42.113  0x00000012 VoipCall  Ulink   38.495   0.707   0.004    3618    3618   0.000  5318460  1105.288
   42.113  0x00000012 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   42.432  0x0000002b VoipCall  Ulink   33.226   0.669   0.003    6259    6259   0.000  9200730  2215.281
   42.432  0x0000002b VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   43.041  0x00000013 VoipCall  Ulink   39.402   0.703   0.002    4596    4596   0.000  6756120  1371.734
   43.041  0x00000013 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   43.045  0x00000067 VoipCall  Ulink   20.772   0.814   0.004    1412    1412   0.000  2075640   799.414
   43.045  0x00000067 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
