Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.063          51.668        1592.058   10008   30008
1.084          66.438        2595.642   10009   30009
1.138          77.914         777.885   10010   30010
1.784          99.405          61.038   10011   30011
1.851          84.741        1773.245   10012   30012
1.867          22.462          83.336   10013   30013
1.958          68.653        3444.290   10014   30014
2.090          15.848        1691.495   10015   30015
2.416          15.461          77.425   10016   30016
2.428          93.923         755.097   10017   30017
2.608          38.505        1095.978   10018   30018
2.629          39.413        1360.260   10019   30019
2.721          22.964        3595.730   10020   30020
2.802          66.271          69.850   10021   30021
2.820          11.443        2757.585   10022   30022
2.867          40.347        1086.868   10023   30023
3.199          98.826         369.167   10024   30024
3.267           7.662        3002.501   10025   30025
4.484          24.398        1674.768   10026   30026
4.539          94.004          91.639   10027   30027
4.598          95.881         862.464   10028   30028
5.483          64.346        1344.877   10029   30029
5.695          66.673         352.183   10030   30030
6.102          86.882         971.587   10031   30031
6.117           8.005         511.848   10032   30032
6.157          61.530          14.697   10033   30033
6.224          95.312         246.740   10034   30034
7.049          43.808         898.175   10035   30035
7.101          90.900         183.373   10036   30036
7.415          44.657         564.297   10037   30037
7.566          46.731         205.705   10038   30038
7.684          27.595          85.867   10039   30039
7.807          50.911        2632.028   10040   30040
8.095          51.673        1165.518   10041   30041
8.098          75.946         256.819   10042   30042
8.196          33.236        2196.881   10043   30043
8.335          59.234        2806.529   10044   30044
8.767          14.703         974.554   10045   30045
9.050          15.779           7.765   10046   30046
9.474          28.700         492.261   10047   30047
9.777          14.183        1261.545   10048   30048
9.925          93.070         251.153   10049   30049
10.061          34.362         306.385   10050   30050
10.187          95.280         450.115   10051   30051
10.304          58.326         260.046   10052   30052
10.620          58.840         166.840   10053   30053
10.653          89.435        3083.527   10054   30054
11.149          58.051         320.450   10055   30055
11.249          96.874        3535.109   10056   30056
11.519          68.181         666.031   10057   30057
11.625          72.752         876.438   10058   30058
12.011          62.128          35.692   10059   30059
12.198          39.733         284.992   10060   30060
12.241          36.332         450.213   10061   30061
12.595          34.298        1403.445   10062   30062
12.828          50.144         335.682   10063   30063
12.913          32.459          93.471   10064   30064
13.210          48.764          36.272   10065   30065
13.467          57.598           7.023   10066   30066
13.551          31.266         628.449   10067   30067
13.706          58.025         201.201   10068   30068
13.721          93.521        1424.655   10069   30069
13.887          48.005        2349.773   10070   30070
14.640          63.887        4703.876   10071   30071
14.679          83.318          38.385   10072   30072
15.020          76.780         134.102   10073   30073
15.138          44.634         706.249   10074   30074
15.214          73.898         735.403   10075   30075
15.690          74.856          75.385   10076   30076
16.048          15.609         618.519   10077   30077
17.027          28.417        2117.667   10078   30078
17.132          38.488          46.092   10079   30079
17.339          29.012        1097.809   10080   30080
17.540          66.330         493.880   10081   30081
17.634          84.170         247.215   10082   30082
17.756          94.696         258.195   10083   30083
17.810          99.382         489.099   10084   30084
17.837          95.309        1423.714   10085   30085
17.983          39.829         388.186   10086   30086
18.537          18.514        3796.120   10087   30087
18.880          49.466         209.320   10088   30088
18.991           9.689        2453.159   10089   30089
18.993          18.895        2863.901   10090   30090
19.001          37.071        1132.179   10091   30091
19.032          78.569         492.728   10092   30092
19.344          12.650        2260.088   10093   30093
19.497          53.737         272.491   10094   30094
19.586          21.217        4911.657   10095   30095
20.031          63.150          34.992   10096   30096
20.320          83.277        4126.931   10097   30097
20.417          35.264        1288.114   10098   30098
20.424          79.423        1008.726   10099   30099
20.594          95.392         209.676   10100   30100
20.800          38.681         835.608   10101   30101
21.222          79.425         345.496   10102   30102
21.250          20.795         792.348   10103   30103
21.311          72.075         328.061   10104   30104
21.366          77.456         555.294   10105   30105
21.471          87.390         158.360   10106   30106
21.519          75.887         167.620   10107   30107
21.547          62.382         598.463   10108   30108
21.761          33.726         388.756   10109   30109
21.799          26.983         691.288   10110   30110
22.376          38.732        1545.480   10111   30111
22.395          40.116        1097.508   10112   30112
22.467          85.724         478.764   10113   30113
22.924          99.982         111.082   10114   30114
23.110          66.832         436.840   10115   30115
23.144          30.270        1544.725   10116   30116
23.144          48.205        2333.680   10117   30117
23.323          50.613        1056.785   10118   30118
23.552          61.468        3789.161   10119   30119
23.588          16.576         992.989   10120   30120
23.608          67.178         505.396   10121   30121
23.647          82.313         170.852   10122   30122
23.744          98.235         488.826   10123   30123
23.845          29.680         226.823   10124   30124
24.217          86.397         955.153   10125   30125
24.507           6.613         323.876   10126   30126
25.045          21.001          25.279   10127   30127
25.213          35.458         964.090   10128   30128
25.589          62.360        1660.132   10129   30129
25.655          92.732        1016.086   10130   30130
25.950          94.457          65.853   10131   30131
26.250          86.565        2572.186   10132   30132
26.544          21.621        1997.654   10133   30133
27.182          79.078         687.522   10134   30134
27.313          21.704          36.233   10135   30135
27.549          27.012        1715.208   10136   30136
27.590          61.060         720.304   10137   30137
27.945          74.462         891.616   10138   30138
28.095          72.230          20.858   10139   30139
28.353           5.986        1605.014   10140   30140
28.548          85.514         611.869   10141   30141
28.720          73.478         311.797   10142   30142
28.809          13.409        2604.701   10143   30143
29.184          54.839         100.253   10144   30144
29.466          26.729        3889.568   10145   30145
29.469          98.113          77.470   10146   30146
29.471          36.004         488.918   10147   30147
29.655          49.643        1264.174   10148   30148
30.408          74.940        2654.261   10149   30149
30.440          66.001         752.289   10150   30150
30.520          81.280         574.937   10151   30151
30.531           8.834          13.292   10152   30152
30.689          51.902         148.096   10153   30153
31.273          70.514          53.701   10154   30154
32.669          13.412         897.473   10155   30155
32.698          37.461        2199.573   10156   30156
32.967          23.640        1148.640   10157   30157
33.243          59.574        1368.525   10158   30158
33.435          20.004         113.658   10159   30159
33.584          13.684         449.799   10160   30160
33.652          77.771         326.901   10161   30161
33.912          40.727         653.588   10162   30162
34.100          87.668        1837.479   10163   30163
35.602          27.709         217.546   10164   30164
35.625          85.795        1080.115   10165   30165
35.941          71.721         162.193   10166   30166
35.950          46.959         249.468   10167   30167
35.952          83.544        2046.608   10168   30168
36.020          68.586        1198.831   10169   30169
36.684          94.309        1333.454   10170   30170
36.900          22.473         344.186   10171   30171
37.067          33.911        1050.078   10172   30172
37.288           5.489        2469.157   10173   30173
37.445          27.733         596.723   10174   30174
37.700          49.951         438.609   10175   30175
37.858          34.639        1502.689   10176   30176
37.885          74.588          18.967   10177   30177
38.246          66.990        1483.347   10178   30178
38.499          78.318        1277.335   10179   30179
38.585           8.752        2863.689   10180   30180
38.594          47.205         642.989   10181   30181
38.907          95.105        1228.705   10182   30182
39.029          14.939        2954.725   10183   30183
39.221          79.252         278.544   10184   30184
39.392           6.316        2411.987   10185   30185
39.789          49.468        3069.435   10186   30186
40.026          12.424         168.053   10187   30187
40.343          57.386           3.875   10188   30188
40.941           5.605        1044.312   10189   30189
41.030          75.582         762.270   10190   30190
41.212          34.527        2745.998   10191   30191
41.549          99.404         291.572   10192   30192
41.628          98.045         301.552   10193   30193
41.692          46.435        1342.851   10194   30194
41.843          38.925        3518.593   10195   30195
41.868          58.770         106.211   10196   30196
41.869          12.000         683.077   10197   30197
42.114          89.579        2537.127   10198   30198
42.442          15.740        1078.723   10199   30199
42.567          99.084        1542.320   10200   30200
42.676          70.814         179.760   10201   30201
42.953          46.329         642.538   10202   30202
42.986          20.602         197.377   10203   30203
43.129          98.444        1235.286   10204   30204
43.193          92.463        2094.669   10205   30205
43.409          23.364         471.165   10206   30206
43.577          13.931         415.298   10207   30207
43.607          70.873         333.440   10208   30208
43.683          95.825        2125.563   10209   30209
43.894          78.892         267.126   10210   30210
44.340          96.746         159.037   10211   30211
44.355          35.425         806.215   10212   30212
44.474          76.330         305.031   10213   30213
44.491          33.180         418.680   10214   30214
44.549          38.263         944.087   10215   30215
44.764          18.731         296.195   10216   30216
44.916          54.210        1141.097   10217   30217
44.930          48.109         730.138   10218   30218
45.197          44.102        2369.800   10219   30219
45.208          21.243         691.315   10220   30220
45.247          68.740        1523.497   10221   30221
45.296          54.827          87.539   10222   30222
45.302          68.685         279.425   10223   30223
45.345          41.855         155.385   10224   30224
45.533          26.217        2523.576   10225   30225
45.636          47.426         329.156   10226   30226
45.642          55.400         205.559   10227   30227
45.690          27.852          15.921   10228   30228
46.205          17.600         732.352   10229   30229
46.504          79.000        1871.450   10230   30230
46.566          59.231        2659.656   10231   30231
46.653          21.100         205.680   10232   30232
46.999          11.952        3776.005   10233   30233
46.999          70.515        1597.022   10234   30234
47.635          37.842         321.719   10235   30235
47.986          51.955         805.914   10236   30236
48.035          43.996         428.187   10237   30237
48.694          55.712        1315.127   10238   30238
48.772          78.891        1206.351   10239   30239
48.797          51.892         106.535   10240   30240
49.073          39.709         520.771   10241   30241
49.109          19.954         276.056   10242   30242
49.133          37.227        2483.693   10243   30243
49.262          48.223          97.039   10244   30244
49.482          51.068         173.657   10245   30245
49.819          95.704        3557.989   10246   30246
49.937          53.672         589.371   10247   30247
50.017          84.968         283.607   10248   30248
50.133          69.364         130.365   10249   30249
50.537          23.161        1854.391   10250   30250
50.785          73.849          46.323   10251   30251
51.027          73.646         598.138   10252   30252
51.295          83.733         175.909   10253   30253
51.412          93.568         835.914   10254   30254
51.504          46.621         379.499   10255   30255
51.919          78.141         241.279   10256   30256
52.056          31.038         358.161   10257   30257
52.058          96.297        2527.698   10258   30258
52.251          95.627         210.577   10259   30259
52.438          24.234        2503.446   10260   30260
52.694          61.188         359.890   10261   30261
52.798          11.024         230.980   10262   30262
52.889          27.791         171.863   10263   30263
52.974          65.654         286.816   10264   30264
