Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.181          97.531         727.882   10008   30008
2.051          81.809         446.306   10009   30009
2.357          45.743         270.943   10010   30010
2.444          31.098           6.431   10011   30011
2.670           7.894         179.290   10012   30012
2.685          74.583        1734.530   10013   30013
2.845          57.934         410.042   10014   30014
3.033          62.337        2221.955   10015   30015
3.429          37.623        2259.218   10016   30016
3.698          64.870          67.695   10017   30017
3.951          35.748        1067.198   10018   30018
5.501          72.488        1039.819   10019   30019
6.225          10.379        1705.480   10020   30020
6.483          45.048         449.088   10021   30021
6.722          63.658        2755.436   10022   30022
6.829          34.343        1012.405   10023   30023
6.934          54.412          12.734   10024   30024
6.995          81.822        3660.535   10025   30025
7.201          85.765        1626.843   10026   30026
7.683          33.245          66.759   10027   30027
7.752          40.302          45.387   10028   30028
7.937          28.651         481.792   10029   30029
8.081          85.202         442.391   10030   30030
8.134          55.075         152.160   10031   30031
8.247          60.037        3536.508   10032   30032
8.308          64.834         531.570   10033   30033
8.317          77.718          51.817   10034   30034
8.661          85.963         916.730   10035   30035
8.863          68.166         103.108   10036   30036
9.029          77.618         894.582   10037   30037
9.170          88.841         842.384   10038   30038
9.262          32.922        1470.603   10039   30039
9.338          82.975         744.632   10040   30040
10.549          81.407         727.776   10041   30041
10.562          43.544         298.961   10042   30042
10.573          21.888        1242.382   10043   30043
10.766          42.703         574.022   10044   30044
10.797          43.785        2336.203   10045   30045
11.172          99.338        2228.545   10046   30046
11.308          41.398        1421.710   10047   30047
11.408          97.437        2392.601   10048   30048
12.434          30.605          77.563   10049   30049
12.447          41.808        1202.366   10050   30050
12.750          72.368          52.178   10051   30051
12.822          45.247         591.307   10052   30052
13.241          40.319         581.489   10053   30053
13.477          91.713         120.718   10054   30054
13.730          61.086         596.601   10055   30055
14.427          13.361          34.257   10056   30056
15.085          19.824         417.662   10057   30057
16.355          79.348         346.141   10058   30058
16.683          43.159         520.795   10059   30059
17.493          90.888        1030.322   10060   30060
