   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   14.288  0x00000011 VoipCall  Ulink   10.478   0.804   0.003    2042    2042   0.000  3001740  2291.761
   14.288  0x00000011 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   18.700  0x00000015 VoipCall  Ulink   13.595   0.715   0.001    1155    1155   0.000  1697850   999.108
   18.700  0x00000015 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   19.620  0x0000001b VoipCall  Ulink   12.686   0.678   0.004     595     595   0.000   874650   551.583
   19.620  0x0000001b VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   19.760  0x00000026 VoipCall  Ulink   10.379   0.621   0.002     325     325   0.000   477750   368.246
   19.760  0x00000026 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   22.727  0x00000018 VoipCall  Ulink   17.077   0.670   0.001     887     887   0.000  1303890   610.844
   22.727  0x00000018 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   23.446  0x00000039 VoipCall  Ulink   10.160   0.942   0.004     199     199   0.000   292530   230.333
   23.446  0x00000039 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   25.467  0x0000001f VoipCall  Ulink   17.195   0.614   0.002    1805    1805   0.000  2653350  1234.486
   25.467  0x0000001f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   27.069  0x0000005e VoipCall  Ulink    5.990   0.984   0.003      91      91   0.000   133770   178.671
   27.069  0x0000005e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   27.310  0x0000004b VoipCall  Ulink   10.753   0.801   0.002     109     109   0.000   160230   119.205
   27.310  0x0000004b VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   29.509  0x0000000f VoipCall  Ulink   25.866   0.647   0.003    1142    1142   0.000  1678740   519.213
   29.509  0x0000000f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   30.105  0x0000003e VoipCall  Ulink   15.891   0.781   0.002     252     252   0.000   370440   186.493
   30.105  0x0000003e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   31.219  0x00000056 VoipCall  Ulink   10.742   0.626   0.020      29      29   0.000    42630    31.748
   31.219  0x00000056 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   31.263  0x00000010 VoipCall  Ulink   21.527   0.661   0.076       7       7   0.000    10290     3.823
   31.263  0x00000010 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.678  0x00000072 VoipCall  Ulink    7.660   0.987   0.003    3209    3209   0.000  4717230  4926.861
   32.678  0x00000072 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   35.349  0x00000050 VoipCall  Ulink   17.201   0.663   0.002     609     609   0.000   895230   416.370
   35.349  0x00000050 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   35.500  0x00000043 VoipCall  Ulink   20.272   0.715   0.013      42      42   0.000    61740    24.364
   35.500  0x00000043 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   36.078  0x0000000e VoipCall  Ulink   32.587   0.632   0.004    5159    5159   0.000  7583730  1861.768
   36.078  0x0000000e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   36.756  0x0000004a VoipCall  Ulink   20.561   0.695   0.003    1093    1093   0.000  1606710   625.149
   36.756  0x0000004a VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   37.023  0x00000035 VoipCall  Ulink   24.351   0.733   0.010      51      51   0.000    74970    24.629
