Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=0 time=0.757999 ms
Reply from 10.0.0.1 seq=1 time=1.238 ms
Reply from 10.0.0.1 seq=2 time=1.318 ms
Reply from 10.0.0.1 seq=3 time=1.518 ms
Reply from 10.0.0.1 seq=4 time=1.518 ms
Reply from 10.0.0.1 seq=5 time=1.598 ms
Reply from 10.0.0.1 seq=6 time=1.798 ms
Reply from 10.0.0.1 seq=7 time=1.798 ms
Reply from 10.0.0.1 seq=8 time=1.798 ms
Reply from 10.0.0.1 seq=9 time=1.798 ms
Reply from 10.0.0.1 seq=10 time=1.798 ms
Reply from 10.0.0.1 seq=11 time=1.678 ms
Reply from 10.0.0.1 seq=12 time=1.678 ms
Reply from 10.0.0.1 seq=13 time=1.678 ms
Reply from 10.0.0.1 seq=14 time=1.878 ms
Reply from 10.0.0.1 seq=15 time=1.878 ms
Reply from 10.0.0.1 seq=16 time=1.878 ms
Reply from 10.0.0.1 seq=17 time=1.8874 ms
Reply from 10.0.0.1 seq=18 time=1.878 ms
Reply from 10.0.0.1 seq=19 time=2.078 ms
Reply from 10.0.0.1 seq=20 time=2.118 ms
Reply from 10.0.0.1 seq=21 time=1.718 ms
Reply from 10.0.0.1 seq=22 time=1.718 ms
Reply from 10.0.0.1 seq=23 time=1.718 ms
Reply from 10.0.0.1 seq=24 time=1.718 ms
Reply from 10.0.0.1 seq=25 time=1.918 ms
Reply from 10.0.0.1 seq=26 time=1.918 ms
Reply from 10.0.0.1 seq=27 time=1.918 ms
Reply from 10.0.0.1 seq=28 time=1.918 ms
Reply from 10.0.0.1 seq=29 time=1.918 ms
Reply from 10.0.0.1 seq=30 time=2.118 ms
Reply from 10.0.0.1 seq=31 time=1.518 ms
Reply from 10.0.0.1 seq=32 time=1.72105 ms
Reply from 10.0.0.1 seq=33 time=1.918 ms
Reply from 10.0.0.1 seq=34 time=1.918 ms
Reply from 10.0.0.1 seq=35 time=1.918 ms
Reply from 10.0.0.1 seq=36 time=1.93092 ms
Reply from 10.0.0.1 seq=37 time=1.918 ms
Reply from 10.0.0.1 seq=38 time=1.918 ms
Reply from 10.0.0.1 seq=39 time=2.13165 ms
Reply from 10.0.0.1 seq=40 time=2.12972 ms
Reply from 10.0.0.1 seq=41 time=1.518 ms
Reply from 10.0.0.1 seq=42 time=1.718 ms
Reply from 10.0.0.1 seq=43 time=1.718 ms
Reply from 10.0.0.1 seq=44 time=1.758 ms
Reply from 10.0.0.1 seq=45 time=1.96312 ms
Reply from 10.0.0.1 seq=46 time=1.96823 ms
Reply from 10.0.0.1 seq=47 time=2.158 ms
Reply from 10.0.0.1 seq=48 time=2.158 ms
Reply from 10.0.0.1 seq=49 time=2.158 ms
Reply from 10.0.0.1 seq=50 time=2.158 ms
Reply from 10.0.0.1 seq=51 time=1.998 ms
Reply from 10.0.0.1 seq=52 time=1.998 ms
Reply from 10.0.0.1 seq=53 time=1.95875 ms
Reply from 10.0.0.1 seq=54 time=2.16546 ms
Reply from 10.0.0.1 seq=55 time=2.198 ms
Reply from 10.0.0.1 seq=56 time=2.21183 ms
Reply from 10.0.0.1 seq=57 time=2.198 ms
Reply from 10.0.0.1 seq=58 time=2.198 ms
Reply from 10.0.0.1 seq=59 time=2.20202 ms
Reply from 10.0.0.1 seq=60 time=2.20985 ms
Reply from 10.0.0.1 seq=61 time=2.158 ms
Reply from 10.0.0.1 seq=62 time=2.17829 ms
Reply from 10.0.0.1 seq=63 time=2.15872 ms
Reply from 10.0.0.1 seq=64 time=2.158 ms
Reply from 10.0.0.1 seq=65 time=2.158 ms
Reply from 10.0.0.1 seq=66 time=2.16948 ms
Reply from 10.0.0.1 seq=67 time=2.158 ms
Reply from 10.0.0.1 seq=68 time=2.15801 ms
Reply from 10.0.0.1 seq=69 time=2.1676 ms
Reply from 10.0.0.1 seq=70 time=2.15969 ms
Reply from 10.0.0.1 seq=71 time=2.158 ms
Reply from 10.0.0.1 seq=72 time=2.16636 ms
Reply from 10.0.0.1 seq=73 time=2.158 ms
Reply from 10.0.0.1 seq=74 time=2.158 ms
Reply from 10.0.0.1 seq=75 time=2.16775 ms
Reply from 10.0.0.1 seq=76 time=2.158 ms
Reply from 10.0.0.1 seq=77 time=2.16621 ms
Reply from 10.0.0.1 seq=78 time=2.17778 ms
Reply from 10.0.0.1 seq=79 time=2.158 ms
Reply from 10.0.0.1 seq=80 time=2.158 ms
Reply from 10.0.0.1 seq=81 time=2.158 ms
Reply from 10.0.0.1 seq=82 time=2.158 ms
Reply from 10.0.0.1 seq=83 time=2.16561 ms
Reply from 10.0.0.1 seq=84 time=2.158 ms
Reply from 10.0.0.1 seq=85 time=2.158 ms
Reply from 10.0.0.1 seq=86 time=2.158 ms
Reply from 10.0.0.1 seq=87 time=2.158 ms
Reply from 10.0.0.1 seq=88 time=2.158 ms
Reply from 10.0.0.1 seq=89 time=2.16527 ms
Reply from 10.0.0.1 seq=90 time=2.36983 ms
Reply from 10.0.0.1 seq=91 time=2.158 ms
Reply from 10.0.0.1 seq=92 time=2.158 ms
Reply from 10.0.0.1 seq=93 time=2.158 ms
Reply from 10.0.0.1 seq=94 time=2.1672 ms
Reply from 10.0.0.1 seq=95 time=2.158 ms
Reply from 10.0.0.1 seq=96 time=2.158 ms
Reply from 10.0.0.1 seq=97 time=2.36742 ms
Reply from 10.0.0.1 seq=98 time=2.37605 ms
Reply from 10.0.0.1 seq=99 time=2.36904 ms
Reply from 10.0.0.1 seq=100 time=2.358 ms
Reply from 10.0.0.1 seq=101 time=2.158 ms
Reply from 10.0.0.1 seq=102 time=2.158 ms
Reply from 10.0.0.1 seq=103 time=2.158 ms
Reply from 10.0.0.1 seq=104 time=2.158 ms
Reply from 10.0.0.1 seq=105 time=2.158 ms
Reply from 10.0.0.1 seq=106 time=2.16743 ms
Reply from 10.0.0.1 seq=107 time=2.158 ms
Reply from 10.0.0.1 seq=108 time=2.158 ms
Reply from 10.0.0.1 seq=109 time=2.158 ms
Reply from 10.0.0.1 seq=110 time=2.16455 ms
Reply from 10.0.0.1 seq=111 time=2.16819 ms
Reply from 10.0.0.1 seq=112 time=2.158 ms
Reply from 10.0.0.1 seq=113 time=2.158 ms
Reply from 10.0.0.1 seq=114 time=2.15842 ms
Reply from 10.0.0.1 seq=115 time=2.158 ms
Reply from 10.0.0.1 seq=116 time=2.16396 ms
Reply from 10.0.0.1 seq=117 time=2.158 ms
Reply from 10.0.0.1 seq=118 time=2.36462 ms
Reply from 10.0.0.1 seq=119 time=2.358 ms
Reply from 10.0.0.1 seq=120 time=2.358 ms
Reply from 10.0.0.1 seq=121 time=2.158 ms
Reply from 10.0.0.1 seq=122 time=2.158 ms
Reply from 10.0.0.1 seq=123 time=2.158 ms
Reply from 10.0.0.1 seq=124 time=2.159 ms
Reply from 10.0.0.1 seq=125 time=2.158 ms
Reply from 10.0.0.1 seq=126 time=2.16405 ms
Reply from 10.0.0.1 seq=127 time=2.358 ms
Reply from 10.0.0.1 seq=128 time=2.36532 ms
Reply from 10.0.0.1 seq=129 time=2.37424 ms
Reply from 10.0.0.1 seq=130 time=2.358 ms
Reply from 10.0.0.1 seq=131 time=2.158 ms
Reply from 10.0.0.1 seq=132 time=2.16155 ms
Reply from 10.0.0.1 seq=133 time=2.158 ms
Reply from 10.0.0.1 seq=134 time=2.358 ms
Reply from 10.0.0.1 seq=135 time=2.358 ms
Reply from 10.0.0.1 seq=136 time=2.36604 ms
Reply from 10.0.0.1 seq=137 time=2.358 ms
Reply from 10.0.0.1 seq=138 time=2.358 ms
Reply from 10.0.0.1 seq=139 time=2.39946 ms
Reply from 10.0.0.1 seq=140 time=2.358 ms
Reply from 10.0.0.1 seq=141 time=2.198 ms
Reply from 10.0.0.1 seq=142 time=2.16494 ms
Reply from 10.0.0.1 seq=143 time=2.398 ms
Reply from 10.0.0.1 seq=144 time=2.358 ms
Reply from 10.0.0.1 seq=145 time=2.358 ms
Reply from 10.0.0.1 seq=146 time=2.358 ms
Reply from 10.0.0.1 seq=147 time=2.358 ms
Reply from 10.0.0.1 seq=148 time=2.358 ms
Reply from 10.0.0.1 seq=149 time=2.358 ms
Reply from 10.0.0.1 seq=150 time=2.36042 ms
Reply from 10.0.0.1 seq=151 time=2.16165 ms
Reply from 10.0.0.1 seq=152 time=2.16408 ms
Reply from 10.0.0.1 seq=153 time=2.158 ms
Reply from 10.0.0.1 seq=154 time=2.158 ms
Reply from 10.0.0.1 seq=155 time=2.158 ms
Reply from 10.0.0.1 seq=156 time=2.158 ms
Reply from 10.0.0.1 seq=157 time=2.158 ms
Reply from 10.0.0.1 seq=158 time=2.158 ms
Reply from 10.0.0.1 seq=159 time=2.158 ms
Reply from 10.0.0.1 seq=160 time=2.16261 ms
Reply from 10.0.0.1 seq=161 time=2.158 ms
Reply from 10.0.0.1 seq=162 time=2.158 ms
Reply from 10.0.0.1 seq=163 time=2.16651 ms
Reply from 10.0.0.1 seq=164 time=2.158 ms
Reply from 10.0.0.1 seq=165 time=2.158 ms
Reply from 10.0.0.1 seq=166 time=2.158 ms
Reply from 10.0.0.1 seq=167 time=2.1689 ms
Reply from 10.0.0.1 seq=168 time=2.358 ms
Reply from 10.0.0.1 seq=169 time=2.36176 ms
Reply from 10.0.0.1 seq=170 time=2.358 ms
Reply from 10.0.0.1 seq=171 time=2.158 ms
Reply from 10.0.0.1 seq=172 time=2.158 ms
Reply from 10.0.0.1 seq=173 time=2.158 ms
Reply from 10.0.0.1 seq=174 time=2.158 ms
Reply from 10.0.0.1 seq=175 time=2.398 ms
Reply from 10.0.0.1 seq=176 time=2.358 ms
Reply from 10.0.0.1 seq=177 time=2.358 ms
Reply from 10.0.0.1 seq=178 time=2.398 ms
Reply from 10.0.0.1 seq=179 time=2.40657 ms
Reply from 10.0.0.1 seq=180 time=2.40531 ms
Reply from 10.0.0.1 seq=181 time=2.198 ms
Reply from 10.0.0.1 seq=182 time=2.19867 ms
Reply from 10.0.0.1 seq=183 time=2.20809 ms
Reply from 10.0.0.1 seq=184 time=2.16876 ms
Reply from 10.0.0.1 seq=185 time=2.158 ms
Reply from 10.0.0.1 seq=186 time=2.36082 ms
Reply from 10.0.0.1 seq=187 time=2.358 ms
Reply from 10.0.0.1 seq=188 time=2.358 ms
Reply from 10.0.0.1 seq=189 time=2.358 ms
Reply from 10.0.0.1 seq=190 time=2.36611 ms
Reply from 10.0.0.1 seq=191 time=2.16789 ms
Reply from 10.0.0.1 seq=192 time=2.398 ms
Reply from 10.0.0.1 seq=193 time=2.358 ms
Reply from 10.0.0.1 seq=194 time=2.398 ms
Reply from 10.0.0.1 seq=195 time=2.40307 ms
Reply from 10.0.0.1 seq=196 time=2.40705 ms
Reply from 10.0.0.1 seq=197 time=2.358 ms
Reply from 10.0.0.1 seq=198 time=2.398 ms
