Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.837          66.991         665.955   10008   30008
2.063          97.890        2734.136   10009   30009
2.491          58.193         436.677   10010   30010
3.125          40.249         960.727   10011   30011
3.464          19.352         174.500   10012   30012
3.528          73.710         295.472   10013   30013
3.562          93.335         387.053   10014   30014
3.579          42.613         351.411   10015   30015
3.680          74.601          74.568   10016   30016
3.696          55.849        1481.781   10017   30017
3.764          85.457          40.126   10018   30018
3.824          84.713        5892.453   10019   30019
4.413          52.516         492.134   10020   30020
4.819          73.059        2088.198   10021   30021
4.936          71.428         405.667   10022   30022
5.351          72.244         227.024   10023   30023
5.380          19.234         333.013   10024   30024
5.395          30.404         643.777   10025   30025
5.666           8.413         392.230   10026   30026
6.176          70.623         541.368   10027   30027
6.185          88.994         108.737   10028   30028
6.615          92.110        1065.148   10029   30029
6.916          81.284         114.823   10030   30030
7.184          79.847         123.640   10031   30031
7.298          86.488         538.576   10032   30032
7.500          18.079          68.278   10033   30033
7.938          45.948         372.130   10034   30034
8.068          22.537         246.413   10035   30035
8.132          38.012         513.445   10036   30036
8.265          78.571         222.928   10037   30037
8.393          82.570         225.225   10038   30038
8.566          64.863        2157.876   10039   30039
8.802          99.424         100.022   10040   30040
8.958           9.330         381.329   10041   30041
9.021          40.298        2453.650   10042   30042
9.132           5.007         780.955   10043   30043
9.144          86.276        1021.480   10044   30044
9.177          82.953         239.924   10045   30045
9.393          46.971         831.663   10046   30046
9.789          19.182        1296.983   10047   30047
9.914          49.834         816.719   10048   30048
10.021           6.405         270.210   10049   30049
10.106          71.106         181.347   10050   30050
10.189          23.825         967.248   10051   30051
10.218          57.557         219.238   10052   30052
10.288          74.052        3085.509   10053   30053
10.578          70.095          78.063   10054   30054
10.902          99.211          43.788   10055   30055
11.424          22.489         736.291   10056   30056
12.038          94.454         943.061   10057   30057
12.278          17.770        1705.600   10058   30058
12.351          35.027         899.005   10059   30059
12.508          85.136         367.583   10060   30060
12.800          10.682        1473.189   10061   30061
12.870          98.418          42.320   10062   30062
13.191          80.427         576.180   10063   30063
13.355          33.418        1011.520   10064   30064
13.676          23.173         707.070   10065   30065
13.914          45.385         299.160   10066   30066
13.955          63.387         426.833   10067   30067
14.145          10.256        1436.042   10068   30068
14.184          83.971         979.576   10069   30069
14.299          56.262        1978.553   10070   30070
14.469          78.398        1248.023   10071   30071
14.806          60.658        4438.912   10072   30072
15.153          53.953         947.449   10073   30073
15.200          99.700         685.522   10074   30074
15.729          34.686         905.489   10075   30075
15.961          89.435        1846.388   10076   30076
16.067           5.894         741.936   10077   30077
16.503          20.041         731.027   10078   30078
16.530          60.175         204.379   10079   30079
16.727          81.891        2705.216   10080   30080
16.914          35.684        1658.003   10081   30081
16.923          35.632         281.705   10082   30082
17.181          97.431         650.986   10083   30083
17.198          95.939         893.825   10084   30084
17.348          34.010        3352.087   10085   30085
17.519          84.466         583.924   10086   30086
17.594           6.006         381.268   10087   30087
17.697          34.757          97.191   10088   30088
17.831          90.772        1046.138   10089   30089
17.962          14.080        1108.534   10090   30090
18.002          64.542         613.083   10091   30091
18.113          39.935          12.837   10092   30092
18.282          31.240         653.058   10093   30093
18.351          30.877         750.413   10094   30094
18.625          69.923         725.162   10095   30095
18.838          51.318        3262.008   10096   30096
18.848          26.004          58.210   10097   30097
19.611          25.567         154.653   10098   30098
19.641          22.171          88.376   10099   30099
19.694          66.662        1374.840   10100   30100
19.704           8.274         227.421   10101   30101
19.969          26.481         326.629   10102   30102
20.198          99.797         105.182   10103   30103
20.258          63.339          16.504   10104   30104
20.443          76.785         543.708   10105   30105
20.600          87.159        1198.788   10106   30106
20.668          63.479         229.355   10107   30107
20.818          47.070        1028.177   10108   30108
21.468          69.520         459.614   10109   30109
21.514          51.471        1920.869   10110   30110
21.633          34.479        4435.227   10111   30111
21.693          10.993         633.572   10112   30112
21.702          91.435         919.730   10113   30113
21.788          44.823        1360.257   10114   30114
22.195          84.038          58.571   10115   30115
22.359          70.499        1129.607   10116   30116
22.383          87.464         683.590   10117   30117
22.937          49.321         966.041   10118   30118
22.952          13.300         454.909   10119   30119
23.183          41.527         313.320   10120   30120
23.502          66.774        1554.906   10121   30121
23.578          62.971        1160.587   10122   30122
23.601          93.697        2916.426   10123   30123
23.685          98.700        1357.927   10124   30124
23.710          43.561        1868.804   10125   30125
23.849          34.579        1172.323   10126   30126
23.954          25.342         241.505   10127   30127
23.964          44.972        1225.309   10128   30128
24.018          78.820         412.165   10129   30129
24.424          95.924         646.163   10130   30130
25.236          15.937         597.442   10131   30131
25.842          35.505         107.337   10132   30132
26.064          47.218          31.421   10133   30133
26.277          99.636         734.924   10134   30134
26.958          73.143        2207.856   10135   30135
27.568          60.501        1631.242   10136   30136
27.712          67.919        1754.743   10137   30137
27.898          19.072         787.245   10138   30138
27.995          73.577          86.945   10139   30139
28.156          57.268        1251.991   10140   30140
28.255          70.726         672.233   10141   30141
28.295          56.402        1613.396   10142   30142
28.365          59.792        1506.126   10143   30143
28.584          47.200         302.520   10144   30144
29.027          25.964         769.644   10145   30145
29.117          12.566          16.809   10146   30146
29.170          54.452         189.553   10147   30147
29.899          56.927         547.645   10148   30148
29.970          50.184         926.762   10149   30149
30.268          94.096        2978.311   10150   30150
30.301          86.064           9.618   10151   30151
30.815          75.617        1308.408   10152   30152
30.926          19.491         834.774   10153   30153
30.948          89.850        1143.414   10154   30154
31.089          65.241         477.452   10155   30155
31.502          28.843         978.958   10156   30156
31.524          66.723         166.656   10157   30157
32.047          90.618         102.681   10158   30158
32.215           5.135        1174.250   10159   30159
32.373          42.182         407.571   10160   30160
33.167          98.165         331.558   10161   30161
33.537          96.813        1729.471   10162   30162
33.878          72.118        1758.650   10163   30163
34.005          98.569        2546.109   10164   30164
34.056          93.363        1057.323   10165   30165
34.323          10.626         922.122   10166   30166
34.767          19.262        1941.963   10167   30167
34.777           5.632         110.498   10168   30168
34.799           7.333         315.199   10169   30169
34.856          76.813        1758.711   10170   30170
34.984          76.620         265.411   10171   30171
34.988          84.898          46.834   10172   30172
35.041           5.290         968.558   10173   30173
35.244          77.228         209.934   10174   30174
36.177          60.563         360.978   10175   30175
36.405           6.361         375.275   10176   30176
36.532          46.410        4130.868   10177   30177
37.065          52.986         591.070   10178   30178
37.319          27.892         376.152   10179   30179
37.537          42.859         228.577   10180   30180
37.738          13.400        3358.773   10181   30181
37.829          51.069         282.317   10182   30182
37.881          72.602        2096.577   10183   30183
37.888           7.546         399.307   10184   30184
38.100          29.228         335.512   10185   30185
38.244          78.115         223.076   10186   30186
38.642          36.143         168.668   10187   30187
38.666          84.745        1848.709   10188   30188
39.026          14.692        1317.778   10189   30189
39.032          53.657         159.692   10190   30190
39.150          57.084         137.508   10191   30191
39.240          74.312        4268.752   10192   30192
39.305          45.794         877.549   10193   30193
39.549          87.899         212.633   10194   30194
39.667          28.709         114.674   10195   30195
39.733          45.113         431.361   10196   30196
40.013          92.539          59.745   10197   30197
40.153          78.158        1717.570   10198   30198
40.179          24.497        6838.803   10199   30199
40.224          37.217           1.604   10200   30200
40.460          99.401         161.630   10201   30201
40.692          97.993         548.055   10202   30202
40.881          68.424         792.035   10203   30203
40.990          90.661         255.200   10204   30204
41.169          37.431        1613.171   10205   30205
41.357          15.741         409.269   10206   30206
41.663          56.970        1110.476   10207   30207
41.681          95.323        1019.530   10208   30208
41.834           8.314        3172.918   10209   30209
41.959          54.719        1244.877   10210   30210
42.292          53.427         381.007   10211   30211
42.358          29.244         739.041   10212   30212
42.578           5.681         464.202   10213   30213
42.788          30.898        1167.788   10214   30214
42.956          70.918          68.333   10215   30215
43.074          69.330         713.622   10216   30216
43.111          51.359         221.042   10217   30217
43.290          42.778         700.628   10218   30218
43.402          83.154         245.703   10219   30219
43.423          45.127        1562.804   10220   30220
43.560          12.349         189.042   10221   30221
43.661          46.144           6.051   10222   30222
43.887          63.581         128.209   10223   30223
44.351          35.539        2051.262   10224   30224
44.872          28.576         773.995   10225   30225
44.914          42.781        1479.032   10226   30226
44.979          65.317          78.568   10227   30227
44.993          80.764         835.080   10228   30228
45.479          95.286        1714.791   10229   30229
45.567          15.761        1231.881   10230   30230
45.574          47.559          58.657   10231   30231
45.642          87.772         388.483   10232   30232
47.103          75.660        1150.896   10233   30233
47.159          69.202        4558.359   10234   30234
47.233          91.091        1122.194   10235   30235
47.260          93.061         519.828   10236   30236
47.262          64.263        1478.272   10237   30237
47.599          94.921           4.338   10238   30238
47.635          62.463        1106.376   10239   30239
48.118          39.589        1680.405   10240   30240
48.946          14.889        1612.057   10241   30241
49.101           8.579         989.314   10242   30242
49.200          14.779        1164.782   10243   30243
50.092          59.274         196.007   10244   30244
50.218          94.963           9.299   10245   30245
50.397          83.617        3034.470   10246   30246
50.745          89.034         113.241   10247   30247
50.853          60.673        3250.761   10248   30248
50.869          23.242         818.385   10249   30249
50.872          46.371         493.198   10250   30250
51.948          98.445         648.514   10251   30251
52.472          38.723         519.067   10252   30252
53.538          99.875         165.733   10253   30253
53.693          59.572         625.324   10254   30254
53.861          31.699        1225.033   10255   30255
53.902          47.497          24.618   10256   30256
54.013           5.523        2033.503   10257   30257
54.065          65.015         352.026   10258   30258
54.252          88.877        1557.106   10259   30259
54.605          28.367        2273.197   10260   30260
54.690          84.960        1546.387   10261   30261
54.752          82.482        4403.477   10262   30262
54.990          84.099        1591.424   10263   30263
55.048          16.516         833.563   10264   30264
55.091          54.033        1103.186   10265   30265
55.144          18.585        2304.585   10266   30266
55.523          38.926        3667.159   10267   30267
55.809           6.620        2333.515   10268   30268
56.007          15.546         310.603   10269   30269
56.161          77.588         281.431   10270   30270
56.314          49.082         694.319   10271   30271
56.554          30.992        1466.712   10272   30272
56.725          27.705         695.175   10273   30273
56.731          17.170         671.938   10274   30274
56.850          87.471         226.185   10275   30275
57.012          43.788         254.883   10276   30276
57.126          43.523         293.548   10277   30277
57.303          68.859        1116.048   10278   30278
57.381          73.605        2110.811   10279   30279
57.652          37.195         697.641   10280   30280
58.393          55.387        1937.324   10281   30281
58.777          31.962        2617.394   10282   30282
58.990          74.688        2627.661   10283   30283
59.102          48.123         591.771   10284   30284
59.119          74.775         453.180   10285   30285
59.281          12.780        1034.807   10286   30286
59.444          68.841         124.066   10287   30287
59.453          29.595         165.825   10288   30288
59.571          75.190        1578.462   10289   30289
59.600          92.797         426.151   10290   30290
59.679           9.293         272.760   10291   30291
59.884          60.530         800.000   10292   30292
59.988          81.591        1296.678   10293   30293
60.185          39.214          13.565   10294   30294
60.698          56.108         285.239   10295   30295
60.947          67.438        2368.828   10296   30296
61.610          67.430         495.362   10297   30297
61.620          39.515        1457.898   10298   30298
61.679          61.370        2503.572   10299   30299
61.755           7.258        1720.474   10300   30300
62.076          48.738         125.502   10301   30301
62.103          10.115         411.789   10302   30302
62.216          17.329         983.263   10303   30303
62.298          52.061        1340.977   10304   30304
62.323          78.083        4766.140   10305   30305
62.427          21.624         256.548   10306   30306
62.612          11.870        1300.519   10307   30307
62.869          82.593        5989.702   10308   30308
62.877          61.456        1570.005   10309   30309
63.027          77.481         287.842   10310   30310
63.133          94.690        2622.694   10311   30311
63.253          59.961         288.456   10312   30312
63.395          61.469        1130.371   10313   30313
63.541          76.610          50.537   10314   30314
63.628          44.652        2284.450   10315   30315
63.854          34.582         244.594   10316   30316
63.975          79.361        1266.467   10317   30317
64.373          28.385         378.180   10318   30318
64.518          77.835         262.108   10319   30319
64.790          33.816         187.849   10320   30320
64.950          24.996        2852.392   10321   30321
65.382          52.778        2556.922   10322   30322
65.865          11.597          28.791   10323   30323
65.880          43.113         620.810   10324   30324
66.129          77.163        2332.159   10325   30325
66.182           8.092         172.624   10326   30326
66.192          50.750        3756.456   10327   30327
66.273          72.021         592.669   10328   30328
66.571          30.665        2113.026   10329   30329
66.870          87.848         167.348   10330   30330
66.975          64.663         230.395   10331   30331
67.028          67.553         278.819   10332   30332
67.844          56.445         207.992   10333   30333
67.929           7.390         360.234   10334   30334
68.016          21.476         723.207   10335   30335
68.050          63.467          65.990   10336   30336
68.592          56.656         714.458   10337   30337
68.668          58.352        3687.652   10338   30338
68.680          68.540         725.879   10339   30339
68.906          25.964         360.699   10340   30340
69.920          50.754        1229.446   10341   30341
69.963           5.829        1624.426   10342   30342
70.014          19.731         139.737   10343   30343
70.039          10.913         129.354   10344   30344
70.658          50.957        1591.469   10345   30345
71.335          39.442        1822.555   10346   30346
71.411          63.955        1351.887   10347   30347
71.429          99.552         577.084   10348   30348
71.446          75.202          78.073   10349   30349
71.668          21.203         443.642   10350   30350
71.669          18.446         283.878   10351   30351
71.670          26.146         840.037   10352   30352
71.825          51.217        1142.499   10353   30353
71.921          61.978        1188.888   10354   30354
71.997          98.974        1442.138   10355   30355
72.034          63.427          36.471   10356   30356
72.099          43.477         109.303   10357   30357
72.526          27.436         782.819   10358   30358
72.659          95.223        4328.104   10359   30359
72.759          97.834         293.792   10360   30360
73.036          74.038         380.733   10361   30361
73.800          11.137        1466.314   10362   30362
74.067          33.478         121.730   10363   30363
74.162          64.804        6432.095   10364   30364
74.522          42.687        2468.901   10365   30365
74.698          76.192        2151.778   10366   30366
74.860          80.961        2148.362   10367   30367
75.267           7.479         211.075   10368   30368
75.415          15.466         932.881   10369   30369
75.524          40.582         733.177   10370   30370
75.639          29.701         810.717   10371   30371
75.814          32.253         884.569   10372   30372
75.836          52.455         740.557   10373   30373
76.009          60.719         830.173   10374   30374
76.243          97.645         265.682   10375   30375
76.244          71.718         820.981   10376   30376
76.441          89.308           1.965   10377   30377
76.458          26.982         587.290   10378   30378
77.493          42.075        1309.524   10379   30379
77.855          87.737         765.218   10380   30380
78.116          20.249        2279.029   10381   30381
78.723          43.545        2278.394   10382   30382
78.734          45.829        1383.278   10383   30383
78.738          24.260         734.060   10384   30384
78.767          84.863        1096.177   10385   30385
78.877          43.328         553.413   10386   30386
79.153          81.790         426.905   10387   30387
79.511          60.597        2445.924   10388   30388
79.646          60.956        2513.169   10389   30389
80.165          16.102        1110.052   10390   30390
80.658          29.535         364.500   10391   30391
80.707          76.177         444.232   10392   30392
80.908          56.915        2255.048   10393   30393
81.026          77.677        2421.857   10394   30394
81.575          30.069         613.794   10395   30395
82.277          10.197         961.535   10396   30396
82.309          47.382        1082.428   10397   30397
82.483          13.986        2145.995   10398   30398
82.792          21.272        1417.731   10399   30399
82.862          96.276         302.826   10400   30400
82.997          69.383         542.441   10401   30401
83.253          30.689         101.111   10402   30402
83.420          36.195        2409.776   10403   30403
83.772          51.918         555.838   10404   30404
83.838          77.146        2134.543   10405   30405
83.915          49.323         220.598   10406   30406
84.495          90.348         803.353   10407   30407
84.504          48.063        1175.543   10408   30408
84.609          48.661         957.388   10409   30409
84.732          24.877         683.903   10410   30410
84.927          66.268         285.976   10411   30411
84.967          17.834          78.287   10412   30412
85.203          64.887        2486.816   10413   30413
85.248          66.057        1780.771   10414   30414
85.274          19.918         734.588   10415   30415
85.283          56.427        3032.981   10416   30416
86.613          41.980        3801.280   10417   30417
86.983          95.574         411.272   10418   30418
87.151          81.694        2946.913   10419   30419
87.395          68.983         883.073   10420   30420
87.590          55.362         308.294   10421   30421
87.664          84.152          73.188   10422   30422
87.746          63.571        2771.796   10423   30423
87.863          67.532        2250.956   10424   30424
87.975          62.576         578.026   10425   30425
88.375          33.103         681.695   10426   30426
88.477          91.557        1682.267   10427   30427
88.511          75.868         264.029   10428   30428
88.603          13.631        3349.063   10429   30429
88.632          52.330         904.624   10430   30430
88.795          89.923         844.372   10431   30431
88.959          72.928          80.061   10432   30432
89.122          31.784         277.963   10433   30433
89.284          67.910         738.598   10434   30434
89.308          54.237         512.841   10435   30435
89.768          89.046        1804.963   10436   30436
89.844          66.279         300.774   10437   30437
89.938          38.496         438.498   10438   30438
90.586          63.335         472.137   10439   30439
90.677          86.970         241.560   10440   30440
90.876          70.255         293.611   10441   30441
91.135          52.705        1507.837   10442   30442
91.350          38.477         735.017   10443   30443
91.412          10.079         289.946   10444   30444
91.598          11.178         431.719   10445   30445
91.682          83.380        1726.589   10446   30446
92.362          96.845        1366.837   10447   30447
92.578          83.970        1675.100   10448   30448
92.591          44.838        1050.806   10449   30449
93.300          37.550         329.251   10450   30450
93.863          53.694        1721.674   10451   30451
94.215          66.721         112.882   10452   30452
94.493          25.783         438.756   10453   30453
94.643           7.488          68.362   10454   30454
94.708          45.212         311.177   10455   30455
95.196          37.952         866.002   10456   30456
95.231          95.431        2701.059   10457   30457
95.308          72.591         196.244   10458   30458
95.616          92.740         494.943   10459   30459
95.938          51.320         245.186   10460   30460
96.010          36.420        2311.285   10461   30461
96.080          54.904        1627.684   10462   30462
96.960          20.294         638.308   10463   30463
97.137          77.100         517.725   10464   30464
97.279          38.662        3564.605   10465   30465
98.000          72.708         935.627   10466   30466
98.183          70.923        2131.558   10467   30467
98.186          51.256        2187.138   10468   30468
98.812           8.784        2496.013   10469   30469
98.976          72.096         490.722   10470   30470
99.224          82.784         302.952   10471   30471
99.317          17.700        1090.769   10472   30472
99.619          49.692         689.848   10473   30473
100.145          75.637          61.171   10474   30474
100.241          67.506        2447.761   10475   30475
100.481          36.894        1331.769   10476   30476
100.538          64.276        2762.843   10477   30477
100.805          62.676         425.803   10478   30478
100.810          57.151         594.257   10479   30479
101.066          16.854         664.996   10480   30480
101.142          65.719         355.713   10481   30481
101.149          90.595          91.328   10482   30482
101.213          82.935        2575.220   10483   30483
101.297          60.136         865.320   10484   30484
101.333          83.555        2517.176   10485   30485
101.373          12.525         545.364   10486   30486
101.396          82.669        1231.752   10487   30487
101.490          77.916         321.502   10488   30488
101.584          78.164          14.477   10489   30489
101.689          80.447        3072.155   10490   30490
101.909          63.986        1731.951   10491   30491
101.927          79.552         370.430   10492   30492
102.147          21.956        1187.872   10493   30493
102.284          94.681         252.815   10494   30494
102.679          88.982         159.965   10495   30495
102.844          35.591        2963.873   10496   30496
102.951          46.240        3141.190   10497   30497
103.642          86.537        3380.320   10498   30498
103.792          70.288         806.068   10499   30499
103.833          16.571        1494.179   10500   30500
104.119          46.797         726.325   10501   30501
104.237          60.368         489.952   10502   30502
104.959          17.945        1277.175   10503   30503
105.038          55.422        1821.190   10504   30504
105.346          78.957         342.721   10505   30505
105.625          45.778        2330.527   10506   30506
105.919          18.339         445.309   10507   30507
105.922          63.664         761.627   10508   30508
105.996          26.865        2086.935   10509   30509
106.094          71.930         496.933   10510   30510
106.232          83.617         591.934   10511   30511
106.451          94.440        2583.498   10512   30512
106.511          21.337         171.517   10513   30513
106.616          34.696         300.489   10514   30514
106.671          36.143         211.124   10515   30515
106.817          15.636        1553.791   10516   30516
106.885          29.031         142.267   10517   30517
106.919          79.161         607.673   10518   30518
107.072          80.521          56.527   10519   30519
107.139          39.323         219.789   10520   30520
108.097          21.587        1782.136   10521   30521
108.129          77.503        1154.368   10522   30522
108.186          95.064          96.889   10523   30523
108.291          24.703         573.518   10524   30524
108.369          67.741         362.238   10525   30525
108.479          71.125         334.031   10526   30526
108.498          58.124        1819.276   10527   30527
108.583          98.155         857.180   10528   30528
108.936          23.189         534.018   10529   30529
109.245          94.589         209.959   10530   30530
109.281          30.132         204.788   10531   30531
109.466          20.509        1600.676   10532   30532
109.533          15.859         218.996   10533   30533
109.580          45.625         155.851   10534   30534
109.691          71.806        2302.592   10535   30535
109.956          75.947         120.500   10536   30536
