Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.181          51.668        1592.058   10008   30008
2.051          12.531         750.392   10009   30009
2.357          58.044         217.651   10010   30010
2.444          45.743         270.943   10011   30011
2.670          99.405          61.038   10012   30012
2.685          21.814        2206.984   10013   30013
2.845          67.543        3575.070   10014   30014
3.033          74.583        1734.530   10015   30015
3.429          68.653        3444.290   10016   30016
3.698          23.211        1053.702   10017   30017
3.951          20.420         517.045   10018   30018
5.501          37.623        2259.218   10019   30019
6.225          93.923         755.097   10020   30020
6.483          37.576         425.732   10021   30021
6.722          62.516        1155.141   10022   30022
6.829          72.488        1039.819   10023   30023
6.934          22.964        3595.730   10024   30024
6.995          93.736         382.922   10025   30025
7.201          47.108         884.541   10026   30026
7.683          63.658        2755.436   10027   30027
7.752          40.347        1086.868   10028   30028
7.937          71.245         445.060   10029   30029
8.081          43.923         669.382   10030   30030
8.134          81.822        3660.535   10031   30031
8.247          24.398        1674.768   10032   30032
8.308          91.868        1716.773   10033   30033
8.317          51.662        1242.077   10034   30034
8.661          40.302          45.387   10035   30035
8.863          64.346        1344.877   10036   30036
9.029          72.353        2816.439   10037   30037
9.170          49.698         173.395   10038   30038
9.262          55.075         152.160   10039   30039
9.338           8.005         511.848   10040   30040
10.549          98.646         645.987   10041   30041
10.562          55.522         473.391   10042   30042
10.573          77.718          51.817   10043   30043
10.766          43.808         898.175   10044   30044
10.797          84.424         329.932   10045   30045
11.172          99.478         417.899   10046   30046
11.308          77.618         894.582   10047   30047
11.408          46.731         205.705   10048   30048
12.434          92.359        2684.402   10049   30049
12.447          14.384        1253.831   10050   30050
12.750          82.975         744.632   10051   30051
12.822          51.673        1165.518   10052   30052
13.241          78.927         616.848   10053   30053
13.477          63.690         923.737   10054   30054
13.730          21.888        1242.382   10055   30055
14.427          59.234        2806.529   10056   30056
15.085          41.677         719.891   10057   30057
16.355          36.855         917.350   10058   30058
16.683          99.338        2228.545   10059   30059
17.493          28.700         492.261   10060   30060
17.566          32.713         582.079   10061   30061
17.943          60.613          28.004   10062   30062
18.311          30.605          77.563   10063   30063
18.529          34.362         306.385   10064   30064
18.559          66.210         477.727   10065   30065
18.919          91.965         351.948   10066   30066
19.102          45.247         591.307   10067   30067
19.563          58.840         166.840   10068   30068
20.275           9.677          82.261   10069   30069
20.963          88.312          93.460   10070   30070
21.216          61.086         596.601   10071   30071
21.674          96.874        3535.109   10072   30072
21.744          54.573         214.737   10073   30073
21.817          76.119        1902.218   10074   30074
22.047          79.348         346.141   10075   30075
22.768          62.128          35.692   10076   30076
22.946          76.921        2988.522   10077   30077
23.264          63.443         103.248   10078   30078
23.412          18.123        1135.860   10079   30079
23.425          34.298        1403.445   10080   30080
23.550          73.447        1219.736   10081   30081
23.671          21.300        1490.999   10082   30082
23.701          56.296        1270.964   10083   30083
24.035          48.764          36.272   10084   30084
24.258          99.351        1665.755   10085   30085
25.311          68.398        4594.927   10086   30086
25.825          30.583        1316.465   10087   30087
26.363          58.025         201.201   10088   30088
26.757          28.632         296.741   10089   30089
27.022           5.587         526.860   10090   30090
27.126          37.383         811.582   10091   30091
27.399          63.887        4703.876   10092   30092
27.459          96.505         493.032   10093   30093
27.732          91.569           2.141   10094   30094
27.853          97.382         286.999   10095   30095
28.129          44.634         706.249   10096   30096
28.131          51.326        1710.999   10097   30097
28.381          70.144         187.480   10098   30098
28.583          95.846         314.824   10099   30099
28.906          15.609         618.519   10100   30100
28.919          17.011         696.530   10101   30101
28.932          27.143         265.375   10102   30102
30.227          92.426        1067.727   10103   30103
30.290          29.012        1097.809   10104   30104
30.822          63.649         161.502   10105   30105
31.255          28.712         373.718   10106   30106
31.954          93.023         186.658   10107   30107
32.283          94.696         258.195   10108   30108
32.294          63.924        1080.707   10109   30109
32.366          38.216          91.467   10110   30110
32.656          77.104          51.851   10111   30111
33.514          39.829         388.186   10112   30112
33.928           7.332        2063.381   10113   30113
34.083          31.864         258.750   10114   30114
35.016          78.332         777.375   10115   30115
35.334           9.689        2453.159   10116   30116
35.674          10.796         426.807   10117   30117
35.676          99.054          68.109   10118   30118
35.739          36.028        1112.001   10119   30119
36.215          78.569         492.728   10120   30120
36.760          15.452         539.361   10121   30121
36.873          42.240        1421.413   10122   30122
38.260          35.071         683.452   10123   30123
38.744          21.217        4911.657   10124   30124
38.829          96.808         710.099   10125   30125
39.174          19.645         753.166   10126   30126
39.707          93.787         198.269   10127   30127
39.980          35.264        1288.114   10128   30128
40.154          40.474        3690.225   10129   30129
40.414          13.323        1471.759   10130   30130
41.316          16.134          50.918   10131   30131
41.512          38.681         835.608   10132   30132
