Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.127          81.167         437.827   10008   30008
1.305          23.041         447.701   10009   30009
1.370          33.671          10.169   10010   30010
1.499          50.492        1742.777   10011   30011
1.639          42.292        2214.229   10012   30012
2.334          73.030        2548.380   10013   30013
2.367          32.121         561.641   10014   30014
2.515          81.329        1976.965   10015   30015
2.818          35.672         185.334   10016   30016
2.847          20.458        4106.917   10017   30017
3.238          18.806         243.970   10018   30018
3.267          33.595         985.244   10019   30019
3.439          36.046         398.218   10020   30020
3.493          47.143          46.793   10021   30021
3.573          51.510        1302.973   10022   30022
4.682          71.819        1514.443   10023   30023
5.282           5.738         237.534   10024   30024
5.700          85.345         352.433   10025   30025
6.144          35.935         796.977   10026   30026
6.156          53.982        1915.617   10027   30027
6.736          77.907         838.932   10028   30028
6.924          89.306          31.126   10029   30029
7.667          88.155        2089.022   10030   30030
7.810          29.439         430.754   10031   30031
7.879          15.197        1123.442   10032   30032
8.005           7.758         803.388   10033   30033
8.056          20.570         666.303   10034   30034
8.305          28.193         890.828   10035   30035
8.388          83.585         558.028   10036   30036
8.392          77.142         679.350   10037   30037
8.675          30.843         898.185   10038   30038
9.080          89.244         204.267   10039   30039
9.082          88.727         255.760   10040   30040
9.148          55.901         665.766   10041   30041
10.553          75.316        1219.691   10042   30042
11.118          35.526           0.809   10043   30043
11.255          98.795         235.320   10044   30044
11.389          57.722          60.232   10045   30045
11.830          49.182         680.575   10046   30046
11.978          80.080         416.866   10047   30047
12.669          30.299          77.593   10048   30048
12.783          10.845         708.205   10049   30049
13.067          53.737        1302.522   10050   30050
13.244          73.377        1314.471   10051   30051
13.765          18.730        3854.291   10052   30052
13.833          27.209        1542.981   10053   30053
14.214          63.948         684.092   10054   30054
14.618          24.998           4.640   10055   30055
15.514          48.135        2161.186   10056   30056
15.802          32.971        2238.764   10057   30057
16.181          90.879         678.821   10058   30058
16.457          74.932         281.108   10059   30059
16.728          32.005          37.190   10060   30060
16.733          58.580          12.213   10061   30061
17.218          91.739        2180.933   10062   30062
17.219          80.380        1171.673   10063   30063
17.757          35.727        2900.116   10064   30064
18.037          42.635        1036.465   10065   30065
18.186          82.199         154.326   10066   30066
18.822          36.913         320.288   10067   30067
19.111          17.114        1471.097   10068   30068
19.134          40.825           7.990   10069   30069
19.148          76.176         933.246   10070   30070
19.829           6.308        1585.943   10071   30071
19.905           9.621        3292.513   10072   30072
20.262          73.866         902.503   10073   30073
20.836          67.928          12.261   10074   30074
21.001          68.390         234.771   10075   30075
21.812          14.708         505.571   10076   30076
22.576          35.585          67.127   10077   30077
23.184          23.631         877.134   10078   30078
23.281          56.693         552.158   10079   30079
23.530          86.786         820.978   10080   30080
23.713          96.644          72.794   10081   30081
24.340          98.972         105.730   10082   30082
24.343          62.156        1012.670   10083   30083
24.501          83.052        1724.680   10084   30084
24.843          62.433         151.768   10085   30085
24.951          67.122         997.761   10086   30086
25.234          15.394        1128.277   10087   30087
25.886           8.147         647.979   10088   30088
25.922          28.187         880.565   10089   30089
26.711          23.067         281.464   10090   30090
27.036          65.025         270.732   10091   30091
27.114          17.459         165.009   10092   30092
27.171          28.758          64.112   10093   30093
27.375          17.828         708.463   10094   30094
27.543           6.501         186.496   10095   30095
28.007          60.023         559.325   10096   30096
28.121          46.815         528.848   10097   30097
28.205          10.469         124.912   10098   30098
28.580          63.884         622.226   10099   30099
28.597          50.761         106.693   10100   30100
28.610          78.907         530.723   10101   30101
28.934           8.294        5940.813   10102   30102
29.032          16.901         167.540   10103   30103
29.038          39.418        4253.182   10104   30104
29.432          36.755         482.157   10105   30105
30.101          89.248         110.057   10106   30106
30.758          68.877        2225.971   10107   30107
31.036          27.186        1305.438   10108   30108
31.271          81.413        2938.864   10109   30109
31.393          46.364        1397.396   10110   30110
