   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   10.265  0x0000000e VoipCall  Ulink    6.432   0.342   0.002      47      47   0.000    69090    85.939
   10.265  0x0000000e VoipCall  Dlink    0.000   0.369   0.023       1       1   0.000     1470 31876.570
   14.858  0x00000016 VoipCall  Ulink    9.752   0.375   0.001     645     645   0.000   948150   777.834
   14.858  0x00000016 VoipCall  Dlink    0.000   0.429   0.027       1       1   0.000     1470 27417.508
   18.405  0x0000001e VoipCall  Ulink   11.734   0.398   0.001     437     437   0.000   642390   437.962
   18.405  0x0000001e VoipCall  Dlink    0.000   0.429   0.027       1       1   0.000     1470 27417.508
   18.998  0x0000003b VoipCall  Ulink    6.719   0.878   0.001     271     271   0.000   398370   474.333
   18.998  0x0000003b VoipCall  Dlink    0.001   0.909   0.057       1       1   0.000     1470 12938.389
   20.790  0x0000002c VoipCall  Ulink   11.570   0.412   0.004     260     260   0.000   382200   264.265
   20.790  0x0000002c VoipCall  Dlink    0.000   0.429   0.027       1       1   0.000     1470 27417.508
   20.852  0x00000035 VoipCall  Ulink   10.007   0.871   0.001     561     561   0.000   824670   659.302
   20.852  0x00000035 VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   21.217  0x0000000d VoipCall  Ulink   17.664   0.798   0.001    2623    2623   0.000  3855810  1746.255
   21.217  0x0000000d VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   21.604  0x00000010 VoipCall  Ulink   17.397   0.393   0.002     132     132   0.000   194040    89.231
   21.604  0x00000010 VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   22.155  0x00000041 VoipCall  Ulink    9.047   0.900   0.001    1382    1381   0.072  2030070  1795.219
   22.155  0x00000041 VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   23.187  0x0000004c VoipCall  Ulink    8.119   0.435   0.002     123     123   0.000   180810   178.156
   23.187  0x0000004c VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   24.151  0x0000000a VoipCall  Ulink   21.363   0.393   0.002    1074    1074   0.000  1578780   591.232
   24.151  0x0000000a VoipCall  Dlink    0.000   0.469   0.029       1       1   0.000     1470 25078.744
   24.631  0x0000001c VoipCall  Ulink   18.149   0.414   0.001     869     869   0.000  1277430   563.098
   24.631  0x0000001c VoipCall  Dlink    0.000   0.469   0.029       1       1   0.000     1470 25078.744
   24.945  0x00000014 VoipCall  Ulink   20.396   0.406   0.002    2176    2176   0.000  3198720  1254.642
   24.945  0x00000014 VoipCall  Dlink    0.000   0.469   0.029       1       1   0.000     1470 25078.744
   29.160  0x0000005f VoipCall  Ulink   10.874   0.975   0.006      67      67   0.000    98490    72.460
   29.160  0x0000005f VoipCall  Dlink    0.001   1.049   0.066       1       1   0.000     1470 11211.499
   30.457  0x00000038 VoipCall  Ulink   18.826   0.449   0.003    1384    1384   0.000  2034480   864.517
   30.457  0x00000038 VoipCall  Dlink    0.000   0.489   0.031       1       1   0.000     1470 24052.867
   32.324  0x0000001a VoipCall  Ulink   26.762   0.433   0.002    5712    5712   0.000  8396640  2510.059
   32.324  0x0000001a VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   33.138  0x00000052 VoipCall  Ulink   17.415   0.467   0.003     959     959   0.000  1409730   647.591
   33.138  0x00000052 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   33.863  0x0000006e VoipCall  Ulink   11.956   0.487   0.001     154     154   0.000   226380   151.472
   33.863  0x0000006e VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   34.169  0x00000030 VoipCall  Ulink   24.073   0.454   0.003     355     355   0.000   521850   173.420
   34.169  0x00000030 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   35.442  0x0000004d VoipCall  Ulink   20.437   0.994   0.003    3060    3060   0.000  4498200  1760.843
   35.442  0x0000004d VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   35.469  0x00000082 VoipCall  Ulink    9.479   0.501   0.003     735     735   0.000  1080450   911.850
   35.469  0x00000082 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   35.758  0x00000032 VoipCall  Ulink   25.490   0.458   0.005    2440    2439   0.041  3585330  1125.243
   35.758  0x00000032 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   36.372  0x00000029 VoipCall  Ulink   27.500   0.954   0.004     489     489   0.000   718830   209.113
   36.372  0x00000029 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   36.432  0x00000033 VoipCall  Ulink   25.951   0.966   0.003    4583    4583   0.000  6737010  2076.876
   36.432  0x00000033 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   36.696  0x0000005a VoipCall  Ulink   19.856   0.477   0.002     814     813   0.123  1195110   481.520
   36.696  0x0000005a VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   37.607  0x00000037 VoipCall  Ulink   26.364   0.976   0.001    1993    1993   0.000  2929710   889.005
   37.607  0x00000037 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   38.883  0x00000018 VoipCall  Ulink   33.439   0.448   0.002     829     829   0.000  1218630   291.546
   38.883  0x00000018 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   39.138  0x00000057 VoipCall  Ulink   22.921   1.011   0.002    1158    1158   0.000  1702260   594.130
   39.138  0x00000057 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   39.733  0x0000001f VoipCall  Ulink   33.054   0.952   0.004    1354    1354   0.000  1990380   481.728
   39.733  0x0000001f VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   40.184  0x0000005c VoipCall  Ulink   22.615   0.484   0.003    2727    2727   0.000  4008690  1418.074
   40.184  0x0000005c VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   40.238  0x00000093 VoipCall  Ulink   11.610   1.068   0.002    2613    2613   0.000  3841110  2646.849
   40.238  0x00000093 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   40.244  0x00000058 VoipCall  Ulink   23.779   0.481   0.003     888     888   0.000  1305360   439.163
   40.244  0x00000058 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   41.029  0x0000006c VoipCall  Ulink   18.613   0.496   0.008      40      40   0.000    58800    25.272
   41.029  0x0000006c VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   41.367  0x00000090 VoipCall  Ulink   10.910   0.509   0.018      11      11   0.000    16170    11.857
   41.367  0x00000090 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   41.665  0x0000006f VoipCall  Ulink   19.856   1.046   0.004    3951    3951   0.000  5807970  2340.005
   41.665  0x0000006f VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   42.707  0x0000008a VoipCall  Ulink   15.379   0.507   0.006    1754    1754   0.000  2578380  1341.205
   42.707  0x0000008a VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   42.913  0x00000022 VoipCall  Ulink   35.824   0.461   0.004     988     988   0.000  1452360   324.332
   42.913  0x00000022 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   43.856  0x00000054 VoipCall  Ulink   28.012   0.484   0.005    6415    6415   0.000  9430050  2693.140
   43.856  0x00000054 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   45.032  0x00000049 VoipCall  Ulink   30.586   1.016   0.004    6547    6546   0.015  9622620  2516.837
   45.032  0x00000049 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   45.217  0x000000a6 VoipCall  Ulink   11.549   0.511   0.003    1466    1466   0.000  2155020  1492.798
   45.217  0x000000a6 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   45.246  0x00000069 VoipCall  Ulink   24.193   1.046   0.005     478     478   0.000   702660   232.351
   45.246  0x00000069 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   45.366  0x00000011 VoipCall  Ulink   41.275   0.947   0.008    6693    6693   0.000  9838710  1906.946
   45.366  0x00000011 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   45.427  0x0000000b VoipCall  Ulink   42.651   0.934   0.004   12151   12150   0.008 17860500  3350.083
   45.427  0x0000000b VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   45.472  0x00000044 VoipCall  Ulink   31.600   0.482   0.004    3760    3760   0.000  5527200  1399.273
   45.472  0x00000044 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   45.527  0x00000050 VoipCall  Ulink   30.173   0.485   0.003     184     184   0.000   270480    71.714
   45.527  0x00000050 VoipCall  Dlink    0.001   0.529   0.033       1       1   0.000     1470 22233.860
   46.099  0x00000081 VoipCall  Ulink   20.429   1.066   0.002    1745    1745   0.000  2565150  1004.498
   46.099  0x00000081 VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   46.587  0x00000059 VoipCall  Ulink   30.083   1.027   0.004    1205    1205   0.000  1771350   471.050
   46.587  0x00000059 VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   46.716  0x0000005d VoipCall  Ulink   29.081   1.032   0.003     977     977   0.000  1436190   395.081
   46.716  0x0000005d VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   46.728  0x000000b1 VoipCall  Ulink   11.160   1.073   0.002    2605    2605   0.000  3829350  2745.057
   46.728  0x000000b1 VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   47.388  0x00000046 VoipCall  Ulink   32.914   0.485   0.004     258     258   0.000   379260    92.181
   47.388  0x00000046 VoipCall  Dlink    0.001   0.529   0.033       1       1   0.000     1470 22233.860
   47.572  0x0000008f VoipCall  Ulink   19.214   1.071   0.005    2609    2609   0.000  3835230  1596.824
   47.572  0x0000008f VoipCall  Dlink    0.001   1.089   0.068       1       1   0.000     1470 10799.661
   47.908  0x000000b7 VoipCall  Ulink   10.819   1.078   0.005     635     635   0.000   933450   690.204
   47.908  0x000000b7 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   48.255  0x0000002f VoipCall  Ulink   38.729   0.996   0.006    4194    4194   0.000  6165180  1273.496
   48.255  0x0000002f VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   49.219  0x00000094 VoipCall  Ulink   20.301   0.513   0.003     337     337   0.000   495390   195.215
   49.219  0x00000094 VoipCall  Dlink    0.001   0.529   0.033       1       1   0.000     1470 22233.860
   49.619  0x0000003a VoipCall  Ulink   37.610   0.483   0.004    2924    2924   0.000  4298280   914.290
   49.619  0x0000003a VoipCall  Dlink    0.001   0.529   0.033       1       1   0.000     1470 22233.860
   50.076  0x00000067 VoipCall  Ulink   30.098   1.057   0.002    1341    1341   0.000  1971270   523.960
   50.076  0x00000067 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   50.454  0x00000015 VoipCall  Ulink   45.596   0.976   0.002    1073    1073   0.000  1577310   276.742
   50.454  0x00000015 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   52.955  0x0000005e VoipCall  Ulink   34.976   0.499   0.002    1574    1574   0.000  2313780   529.222
   52.955  0x0000005e VoipCall  Dlink    0.001   0.529   0.033       1       1   0.000     1470 22233.860
   53.034  0x000000cd VoipCall  Ulink   11.119   1.133   0.005     384     384   0.000   564480   406.134
   53.034  0x000000cd VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   53.161  0x000000b4 VoipCall  Ulink   16.967   0.520   0.006      72      72   0.000   105840    49.904
   53.161  0x000000b4 VoipCall  Dlink    0.001   0.529   0.033       1       1   0.000     1470 22233.860
   53.646  0x00000027 VoipCall  Ulink   46.040   1.009   0.007    2171    2171   0.000  3191370   554.543
   53.646  0x00000027 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   53.880  0x00000085 VoipCall  Ulink   27.435   1.097   0.004     300     300   0.000   441000   128.594
   53.880  0x00000085 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   54.168  0x000000de VoipCall  Ulink    9.637   0.531   0.003     125     125   0.000   183750   152.531
   54.168  0x000000de VoipCall  Dlink    0.001   0.549   0.034       1       1   0.000     1470 21423.769
   54.219  0x00000021 VoipCall  Ulink   47.240   1.008   0.005    2161    2161   0.000  3176670   537.965
   54.219  0x00000021 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   54.282  0x000000c5 VoipCall  Ulink   13.878   1.132   0.005    1386    1386   0.000  2037420  1174.438
   54.282  0x000000c5 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   54.670  0x0000007c VoipCall  Ulink   30.089   0.513   0.005     556     556   0.000   817320   217.307
   54.670  0x0000007c VoipCall  Dlink    0.001   0.549   0.034       1       1   0.000     1470 21423.769
   55.069  0x00000072 VoipCall  Ulink   32.791   0.510   0.003     316     316   0.000   464520   113.328
   55.069  0x00000072 VoipCall  Dlink    0.001   0.549   0.034       1       1   0.000     1470 21423.769
   55.960  0x00000056 VoipCall  Ulink   39.842   0.499   0.005    9415    9415   0.000 13840050  2778.973
   55.960  0x00000056 VoipCall  Dlink    0.001   0.549   0.034       1       1   0.000     1470 21423.769
   56.885  0x000000c1 VoipCall  Ulink   17.230   1.138   0.005    1769    1769   0.000  2600430  1207.395
   56.885  0x000000c1 VoipCall  Dlink    0.001   1.189   0.074       1       1   0.000     1470  9891.304
   57.001  0x000000f0 VoipCall  Ulink    7.727   0.541   0.003     363     363   0.000   533610   552.444
   57.001  0x000000f0 VoipCall  Dlink    0.001   0.549   0.034       1       1   0.000     1470 21423.769
   57.350  0x00000013 VoipCall  Ulink   52.392   1.002   0.008     185     185   0.000   271950    41.525
