   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   10.290  0x0000000d VoipCall  Ulink    7.559   0.804   0.000     155     155   0.000   227850   241.143
   10.290  0x0000000d VoipCall  Dlink    0.001   0.869   0.054       1       1   0.000     1470 13533.995
   12.506  0x00000010 VoipCall  Ulink    9.206   0.837   0.028    1815    1815   0.000  2668050  2318.579
   12.506  0x00000010 VoipCall  Dlink    0.001   0.889   0.056       1       1   0.000     1470 13229.492
   14.105  0x0000001e VoipCall  Ulink    9.140   0.787   0.002     379     379   0.000   557130   487.635
   14.105  0x0000001e VoipCall  Dlink    0.001   0.709   0.044       1       1   0.000     1470 16588.543
   16.449  0x00000011 VoipCall  Ulink   13.112   0.713   0.002    1700    1700   0.000  2499000  1524.686
   16.449  0x00000011 VoipCall  Dlink    0.001   0.909   0.057       1       1   0.000     1470 12938.389
   17.874  0x00000009 VoipCall  Ulink   15.636   0.677   0.001    2845    2845   0.000  4182150  2139.732
   17.874  0x00000009 VoipCall  Dlink    0.001   0.909   0.057       1       1   0.000     1470 12938.389
   18.742  0x00000039 VoipCall  Ulink    7.643   0.860   0.003     657     657   0.000   965790  1010.938
   18.742  0x00000039 VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   19.002  0x0000002a VoipCall  Ulink   12.692   0.647   0.000    1121    1121   0.000  1647870  1038.708
   19.002  0x0000002a VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   20.365  0x00000045 VoipCall  Ulink    6.073   0.892   0.007      37      37   0.000    54390    71.643
   20.365  0x00000045 VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   21.818  0x00000021 VoipCall  Ulink   16.625   0.626   0.004     247     247   0.000   363090   174.722
   21.818  0x00000021 VoipCall  Dlink    0.001   1.029   0.064       1       1   0.000     1470 11429.426
   24.084  0x00000058 VoipCall  Ulink    7.445   0.844   0.006     187     187   0.000   274890   295.363
   24.084  0x00000058 VoipCall  Dlink    0.001   0.849   0.053       1       1   0.000     1470 13852.846
   25.073  0x0000005a VoipCall  Ulink    7.674   0.793   0.002    4171    4171   0.000  6131370  6392.082
   25.073  0x0000005a VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   25.381  0x0000003e VoipCall  Ulink   12.891   0.801   0.003     579     579   0.000   851130   528.207
   25.381  0x0000003e VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   25.945  0x00000008 VoipCall  Ulink   23.805   0.604   0.002     813     813   0.000  1195110   401.629
   25.945  0x00000008 VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   26.404  0x00000053 VoipCall  Ulink   11.100   0.778   0.001    1230    1230   0.000  1808100  1303.123
   26.404  0x00000053 VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   26.671  0x0000005f VoipCall  Ulink    7.829   0.702   0.021      35      35   0.000    51450    52.574
   26.671  0x0000005f VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   27.847  0x0000002d VoipCall  Ulink   19.745   0.550   0.001    1742    1742   0.000  2560740  1037.508
   27.847  0x0000002d VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   28.645  0x00000082 VoipCall  Ulink    5.285   0.933   0.003     889     889   0.000  1306830  1978.263
   28.645  0x00000082 VoipCall  Dlink    0.001   0.969   0.061       1       1   0.000     1470 12137.187
   29.644  0x0000004a VoipCall  Ulink   15.043   0.721   0.003     184     184   0.000   270480   143.839
   29.644  0x0000004a VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   29.903  0x00000051 VoipCall  Ulink   14.635   0.714   0.004    1812    1812   0.000  2663640  1456.029
   29.903  0x00000051 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   30.101  0x0000000e VoipCall  Ulink   27.219   0.592   0.003     927     927   0.000  1362690   400.511
   30.101  0x0000000e VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
