   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   12.986  0x00040000 VoipCall  Ulink    9.446   0.387   0.000     139     139   0.000   204330   173.057
   17.612  0x00030005 VoipCall  Ulink   12.136   0.741   0.000     206     206   0.000   302820   199.611
   18.156  0x00020003 VoipCall  Ulink   10.613   0.751   0.000     360     360   0.000   529200   398.906
   18.380  0x00030001 VoipCall  Ulink   15.499   0.715   0.000     157     157   0.000   230790   119.124
   22.308  0x00020006 VoipCall  Ulink    5.642   0.424   0.001      88      88   0.000   129360   183.408
   24.158  0x00020000 VoipCall  Ulink   20.100   0.411   0.000     795     795   0.000  1168650   465.138
   27.707  0x00010007 VoipCall  Ulink    8.901   0.879   0.000    1704    1704   0.000  2504880  2251.232
   31.439  0x00030007 VoipCall  Ulink   24.587   0.828   0.000    1674    1674   0.000  2460780   800.673
   33.552  0x00030003 VoipCall  Ulink   29.246   0.821   0.001    1649    1649   0.000  2424030   663.069
   33.731  0x00010002 VoipCall  Ulink   29.454   0.430   0.001    4370    4370   0.000  6423900  1744.808
   34.092  0x00020008 VoipCall  Ulink   11.126   0.469   0.001     333     333   0.000   489510   351.970
   35.144  0x00000009 VoipCall  Ulink   14.374   0.922   0.001    1546    1546   0.000  2272620  1264.884
   36.587  0x00010009 VoipCall  Ulink   13.711   0.938   0.001    1908    1908   0.000  2804760  1636.539
   39.997  0x0003000c VoipCall  Ulink   20.962   0.463   0.000     778     778   0.000  1143660   436.477
   41.904  0x00020010 VoipCall  Ulink    6.432   0.469   0.001     392     392   0.000   576240   716.712
   42.461  0x0003000b VoipCall  Ulink   24.836   0.917   0.000    4532    4532   0.000  6662040  2145.945
   44.886  0x0000000e VoipCall  Ulink   21.875   0.470   0.000    2331    2331   0.000  3426570  1253.117
   45.125  0x00030002 VoipCall  Ulink   40.939   0.442   0.002    4245    4245   0.000  6240150  1219.413
   47.009  0x0001000a VoipCall  Ulink   24.072   0.472   0.000    2982    2982   0.000  4383540  1456.818
   47.067  0x00040007 VoipCall  Ulink   26.215   0.937   0.000    4798    4798   0.000  7053060  2152.359
   51.549  0x0002000e VoipCall  Ulink   20.520   0.477   0.000      97      97   0.000   142590    55.589
   53.530  0x0001000c VoipCall  Ulink   23.911   0.478   0.002    1606    1606   0.000  2360820   789.861
   53.537  0x0003000a VoipCall  Ulink   36.570   0.468   0.002    2981    2981   0.000  4382070   958.611
   55.041  0x00000003 VoipCall  Ulink   43.791   0.911   0.001    3373    3373   0.000  4958310   905.815
   55.233  0x0004000f VoipCall  Ulink   16.118   0.964   0.000    1851    1851   0.000  2720970  1350.524
   55.348  0x00040005 VoipCall  Ulink   37.903   0.934   0.001    3358    3358   0.000  4936260  1041.874
   56.355  0x00030000 VoipCall  Ulink   53.883   0.449   0.000    2759    2759   0.000  4055730   602.149
   56.870  0x0004000c VoipCall  Ulink   21.184   0.487   0.000    4435    4435   0.000  6519450  2462.053
   58.428  0x00010013 VoipCall  Ulink   13.096   0.990   0.001     414     414   0.000   608580   371.754
   58.525  0x00000001 VoipCall  Ulink   55.489   0.883   0.000    2253    2253   0.000  3311910   477.489
   58.870  0x00040001 VoipCall  Ulink   54.820   0.891   0.000    2828    2828   0.000  4157160   606.667
   59.148  0x00040008 VoipCall  Ulink   37.676   0.482   0.000    3891    3891   0.000  5719770  1214.507
   59.490  0x00010015 VoipCall  Ulink   10.301   1.008   0.003      76      76   0.000   111720    86.761
   61.038  0x0000001c VoipCall  Ulink    9.501   0.518   0.001      68      68   0.000    99960    84.171
