   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   11.138  0x00050001 VoipCall  Ulink    5.323   0.915   0.000     594     594   0.000   873180  1312.289
   11.881  0x000c0003 VoipCall  Ulink    6.424   0.913   0.010      33      33   0.000    48510    60.412
   13.287  0x00070000 VoipCall  Ulink   10.087   0.475   0.001    1625    1625   0.000  2388750  1894.569
   16.741  0x00110001 VoipCall  Ulink   10.540   0.977   0.000    3315    3315   0.000  4873050  3698.743
   17.162  0x000f0000 VoipCall  Ulink   14.578   0.486   0.001    1263    1263   0.000  1856610  1018.838
   17.541  0x00080003 VoipCall  Ulink    6.789   1.030   0.003      60      60   0.000    88200   103.934
   17.828  0x000e0007 VoipCall  Ulink    9.505   1.017   0.000    1404    1404   0.000  2063880  1737.114
   18.511  0x00040000 VoipCall  Ulink   15.548   0.492   0.000    1287    1287   0.000  1891890   973.475
   18.656  0x00060002 VoipCall  Ulink   10.692   0.514   0.000     687     687   0.000  1009890   755.620
   19.953  0x00030003 VoipCall  Ulink    7.256   1.061   0.001    1060    1060   0.000  1558200  1717.921
   19.979  0x00120009 VoipCall  Ulink    7.624   1.058   0.001     716     716   0.000  1052520  1104.474
   20.426  0x00120002 VoipCall  Ulink   15.746   0.504   0.000    1853    1853   0.000  2723910  1383.929
   20.996  0x00100002 VoipCall  Ulink   15.380   0.509   0.001    1675    1675   0.000  2462250  1280.772
   21.298  0x000f0002 VoipCall  Ulink    9.458   0.528   0.001    2484    2484   0.000  3651480  3088.711
   22.123  0x00120008 VoipCall  Ulink   10.876   0.528   0.001    2013    2013   0.000  2959110  2176.658
   22.575  0x000a0003 VoipCall  Ulink   13.082   1.051   0.003    3483    3483   0.000  5120010  3130.988
   23.449  0x00060007 VoipCall  Ulink    5.990   1.102   0.001     210     210   0.000   308700   412.257
   23.497  0x00030000 VoipCall  Ulink   20.688   0.504   0.001    1320    1320   0.000  1940400   750.363
   24.228  0x00050003 VoipCall  Ulink    5.754   1.108   0.000    2382    2382   0.000  3501540  4868.427
   25.668  0x000c0002 VoipCall  Ulink   21.675   0.516   0.001     951     951   0.000  1397970   515.974
   26.051  0x00000002 VoipCall  Ulink   17.381   0.534   0.001    1826    1826   0.000  2684220  1235.496
   26.058  0x0012000d VoipCall  Ulink    7.442   1.111   0.043       9       9   0.000    13230    14.221
   26.711  0x000a0000 VoipCall  Ulink   23.951   0.514   0.001     657     657   0.000   965790   322.584
   27.033  0x000a0009 VoipCall  Ulink    9.044   1.120   0.002     774     774   0.000  1137780  1006.450
   27.539  0x00060005 VoipCall  Ulink   12.535   1.117   0.001    1754    1754   0.000  2578380  1645.523
   28.035  0x00100007 VoipCall  Ulink   13.383   1.120   0.001    1263    1263   0.000  1856610  1109.810
   28.734  0x00060001 VoipCall  Ulink   23.775   1.044   0.000    1543    1543   0.000  2268210   763.222
   28.851  0x00040004 VoipCall  Ulink    5.887   0.583   0.001     457     457   0.000   671790   912.969
   28.968  0x000b000e VoipCall  Ulink    7.279   0.579   0.000     744     744   0.000  1093680  1201.938
   29.320  0x00110000 VoipCall  Ulink   26.107   0.523   0.001     163     163   0.000   239610    73.423
   29.335  0x000e0000 VoipCall  Ulink   27.008   0.519   0.003     915     915   0.000  1345050   398.415
   29.693  0x0012000c VoipCall  Ulink   13.557   0.560   0.001    3087    3087   0.000  4537890  2677.719
   30.165  0x00130003 VoipCall  Ulink   15.751   1.133   0.002     137     137   0.000   201390   102.286
   30.648  0x00010003 VoipCall  Ulink   20.650   1.104   0.001     574     574   0.000   843780   326.882
   30.931  0x00030004 VoipCall  Ulink   16.583   0.559   0.001     654     654   0.000   961380   463.787
   31.081  0x00110004 VoipCall  Ulink   21.574   0.549   0.003    2565    2565   0.000  3770550  1398.163
   31.898  0x000e0013 VoipCall  Ulink    5.404   1.229   0.001     472     472   0.000   693840  1027.171
   32.632  0x00070006 VoipCall  Ulink   18.821   0.561   0.002    4054    4054   0.000  5959380  2533.012
   32.761  0x0009000a VoipCall  Ulink   14.234   0.572   0.001     953     953   0.000  1400910   787.363
   32.986  0x000e000b VoipCall  Ulink   20.161   1.135   0.003    3878    3878   0.000  5700660  2262.096
   33.091  0x00050002 VoipCall  Ulink   19.361   0.561   0.001    3317    3317   0.000  4875990  2014.717
   33.141  0x000a0008 VoipCall  Ulink   16.141   0.568   0.001    2760    2760   0.000  4057200  2010.916
   33.343  0x0010000f VoipCall  Ulink   11.351   1.190   0.001    1288    1288   0.000  1893360  1334.443
   33.354  0x00020000 VoipCall  Ulink   29.715   0.534   0.001     493     493   0.000   724710   195.107
   33.570  0x000b0000 VoipCall  Ulink   30.885   0.531   0.002    7991    7991   0.000 11746770  3042.751
   33.581  0x000e0008 VoipCall  Ulink   22.146   0.558   0.002    5609    5609   0.000  8245230  2978.512
   33.588  0x00010006 VoipCall  Ulink   18.821   0.564   0.002     260     260   0.000   382200   162.458
   33.778  0x00030009 VoipCall  Ulink   15.817   1.167   0.002    3784    3784   0.000  5562480  2813.374
   33.802  0x000b0001 VoipCall  Ulink   30.488   1.054   0.002    3246    3246   0.000  4771620  1252.051
   34.186  0x00000006 VoipCall  Ulink   20.362   0.563   0.001    1780    1780   0.000  2616600  1028.026
   34.531  0x000c0001 VoipCall  Ulink   30.677   1.064   0.002     604     604   0.000   887880   231.545
   34.589  0x000c0000 VoipCall  Ulink   31.093   0.536   0.001    1639    1639   0.000  2409330   619.909
   34.665  0x000e0005 VoipCall  Ulink   27.829   1.100   0.001     267     267   0.000   392490   112.828
   35.182  0x000e0001 VoipCall  Ulink   32.471   1.051   0.002   22226   22226   0.000 32672220  8049.627
   36.171  0x00000004 VoipCall  Ulink   25.959   0.558   0.003     967     967   0.000  1421490   438.076
   36.195  0x000c0012 VoipCall  Ulink    7.342   0.589   0.000    1062    1062   0.000  1561140  1701.043
   36.272  0x00030006 VoipCall  Ulink   20.246   0.569   0.003    1426    1426   0.000  2096220   828.311
