   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   12.986  0x00040000 VoipCall  Ulink    8.967   0.779   0.000     139     132   5.036   194040   173.115
   17.612  0x00030005 VoipCall  Ulink    6.986   0.807   0.000     206     119  42.233   174930   200.316
   18.156  0x00020003 VoipCall  Ulink    4.937   0.809   0.002     360     168  53.333   246960   400.145
   18.380  0x00030001 VoipCall  Ulink    9.538   0.767   0.000     157      97  38.217   142590   119.595
   22.308  0x00020006 VoipCall  Ulink    5.643   0.804   0.007      88      88   0.000   129360   183.391
   24.158  0x00020000 VoipCall  Ulink    8.430   0.787   0.000     795     334  57.987   490980   465.914
   27.707  0x00010007 VoipCall  Ulink    8.901   0.624   0.000    1704    1704   0.000  2504880  2251.353
   31.439  0x00030007 VoipCall  Ulink    5.644   0.809   0.000    1674     385  77.001   565950   802.195
   33.552  0x00030003 VoipCall  Ulink    8.199   0.790   0.001    1649     463  71.922   680610   664.057
   33.731  0x00010002 VoipCall  Ulink   29.454   0.543   0.001    4370    4370   0.000  6423900  1744.806
   34.092  0x00020008 VoipCall  Ulink    9.518   0.846   0.001     333     285  14.414   418950   352.129
   35.144  0x00000009 VoipCall  Ulink   14.373   0.521   0.001    1546    1546   0.000  2272620  1264.925
   36.587  0x00010009 VoipCall  Ulink   13.710   0.740   0.000    1908    1908   0.000  2804760  1636.593
   39.997  0x0003000c VoipCall  Ulink    3.454   0.845   0.003     778     129  83.419   189630   439.211
   41.904  0x00020010 VoipCall  Ulink    6.432   0.817   0.000     392     392   0.000   576240   716.670
   42.461  0x0003000b VoipCall  Ulink    4.874   0.830   0.000    4532     890  80.362  1308300  2147.549
   44.886  0x0000000e VoipCall  Ulink   21.876   0.645   0.000    2331    2331   0.000  3426570  1253.115
   45.125  0x00030002 VoipCall  Ulink    8.316   0.789   0.001    4245     863  79.670  1268610  1220.436
   47.009  0x0001000a VoipCall  Ulink   24.072   0.634   0.000    2982    2982   0.000  4383540  1456.817
   47.067  0x00040007 VoipCall  Ulink    1.651   0.863   0.000    4798     303  93.685   445410  2157.876
   51.549  0x0002000e VoipCall  Ulink    1.497   0.899   0.039      97       8  91.753    11760    62.838
   53.530  0x0001000c VoipCall  Ulink   23.911   0.545   0.001    1606    1606   0.000  2360820   789.861
   53.537  0x0003000a VoipCall  Ulink    5.535   0.816   0.001    2981     452  84.837   664440   960.263
   55.041  0x00000003 VoipCall  Ulink   43.790   0.562   0.001    3373    3373   0.000  4958310   905.825
