   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   13.771  0x00080000 VoipCall  Ulink    9.613   0.868   0.001     533     471  11.632   692370   576.188
   16.290  0x00080006 VoipCall  Ulink    3.349   0.978   0.001     903     424  53.045   623280  1489.047
   17.351  0x00060006 VoipCall  Ulink    2.043   0.997   0.000    1240     368  70.323   540960  2117.840
   17.400  0x00090004 VoipCall  Ulink    3.044   0.982   0.001     439     169  61.503   248430   652.836
   17.900  0x00090001 VoipCall  Ulink    4.580   0.968   0.007     103      48  53.398    70560   123.245
   19.197  0x00060000 VoipCall  Ulink    9.314   0.876   0.000    2789    1623  41.807  2385810  2049.141
   19.528  0x00020002 VoipCall  Ulink   14.153   0.701   0.001     256     256   0.000   376320   212.718
   19.731  0x00060005 VoipCall  Ulink    2.344   0.991   0.000    1869     458  75.495   673260  2297.483
   20.961  0x00080001 VoipCall  Ulink    9.490   0.872   0.000    1351     715  47.076  1051050   886.043
   22.614  0x00040000 VoipCall  Ulink   18.495   0.670   0.000    2678    2678   0.000  3936660  1702.754
   25.457  0x00060002 VoipCall  Ulink    6.260   0.944   0.029      47      16  65.957    23520    30.057
   25.710  0x00070004 VoipCall  Ulink    4.366   0.970   0.001     642     160  75.078   235200   430.930
   26.061  0x00020000 VoipCall  Ulink   23.794   0.647   0.001    2751    2751   0.000  4043970  1359.643
   26.631  0x0005000c VoipCall  Ulink    3.756   0.975   0.000     284     136  52.113   199920   425.841
   27.524  0x0000000d VoipCall  Ulink    7.719   0.686   0.000     890     890   0.000  1308300  1355.918
   27.667  0x00010005 VoipCall  Ulink   11.406   0.757   0.000     534     534   0.000   784980   550.565
   29.797  0x00090000 VoipCall  Ulink    9.620   0.868   0.000    3252    1163  64.237  1709610  1421.672
   30.319  0x00080004 VoipCall  Ulink    5.146   0.964   0.001    1055     237  77.536   348390   541.575
   30.739  0x00070001 VoipCall  Ulink    9.270   0.877   0.001    4592    1548  66.289  2275560  1963.717
   36.394  0x00060003 VoipCall  Ulink    6.219   0.944   0.001    1061     220  79.265   323400   415.991
   37.574  0x00050012 VoipCall  Ulink    3.189   0.989   0.000     287     111  61.324   163170   409.376
   37.736  0x00000006 VoipCall  Ulink   25.505   0.686   0.001    2635    2635   0.000  3873450  1214.956
   38.837  0x00050002 VoipCall  Ulink    6.405   0.941   0.000    4449     871  80.423  1280370  1599.255
   39.151  0x00080010 VoipCall  Ulink    7.182   0.919   0.000    1234    1234   0.000  1813980  2020.720
   39.711  0x0006000a VoipCall  Ulink   11.103   0.947   0.001     195     119  38.974   174930   126.044
   40.614  0x0006000b VoipCall  Ulink    9.311   0.939   0.001     547     293  46.435   430710   370.078
   40.650  0x00020005 VoipCall  Ulink   11.046   0.749   0.084       2       2   0.000     2940     2.129
   41.158  0x00000010 VoipCall  Ulink   14.573   0.726   0.000    6509    6509   0.000  9568230  5252.524
   42.200  0x00030004 VoipCall  Ulink   32.267   0.557   0.001    1802    1802   0.000  2648940   656.756
   42.598  0x00020008 VoipCall  Ulink   29.918   0.658   0.000    1764    1764   0.000  2593080   693.391
   42.846  0x0004000a VoipCall  Ulink   14.396   0.673   0.000    2797    2797   0.000  4111590  2284.774
   43.162  0x00030005 VoipCall  Ulink   28.123   0.647   0.005      58      58   0.000    85260    24.253
   43.347  0x00020009 VoipCall  Ulink   27.904   0.640   0.003    8784    8784   0.000 12912480  3702.023
   43.568  0x0007000b VoipCall  Ulink    4.222   0.989   0.002     518     144  72.201   211680   401.052
   43.625  0x0004000d VoipCall  Ulink   10.392   0.894   0.001    1183    1183   0.000  1739010  1338.771
   43.988  0x00030002 VoipCall  Ulink   36.565   0.583   0.001    7314    7314   0.000 10751580  2352.307
   44.023  0x00070008 VoipCall  Ulink    3.274   0.977   0.001    1100     146  86.727   214620   524.467
   44.425  0x00050004 VoipCall  Ulink    6.084   0.947   0.002    1139     183  83.933   269010   353.713
   45.770  0x0001000e VoipCall  Ulink   13.622   0.847   0.001     859     859   0.000  1262730   741.598
   46.129  0x0000000e VoipCall  Ulink   23.872   0.718   0.001    1223    1223   0.000  1797810   602.491
   46.180  0x00010009 VoipCall  Ulink   20.554   0.692   0.003     203     203   0.000   298410   116.146
   46.438  0x00020003 VoipCall  Ulink   38.750   0.579   0.001    1427    1427   0.000  2097690   433.074
   46.561  0x00000003 VoipCall  Ulink   39.659   0.585   0.001     970     970   0.000  1425900   287.630
   46.715  0x0005000f VoipCall  Ulink    5.758   0.988   0.001    2176     628  71.140   923160  1282.584
   46.739  0x0008000d VoipCall  Ulink   10.523   0.943   0.000     909     387  57.426   568890   432.502
   47.785  0x00000000 VoipCall  Ulink   45.323   0.598   0.002    1153    1153   0.000  1694910   299.170
   48.080  0x00000005 VoipCall  Ulink   36.983   0.658   0.000    6428    6428   0.000  9449160  2044.002
   48.845  0x00060012 VoipCall  Ulink    6.081   0.984   0.001     923     452  51.029   664440   874.185
   49.072  0x00000002 VoipCall  Ulink   43.136   0.589   0.000    1927    1927   0.000  2832690   525.347
   49.168  0x00090003 VoipCall  Ulink    4.037   0.974   0.001    1736     173  90.035   254310   503.959
   49.571  0x00090010 VoipCall  Ulink    2.044   0.989   0.001    5446     583  89.295   857010  3354.537
   50.471  0x00010000 VoipCall  Ulink   45.326   0.592   0.001    6066    6066   0.000  8917020  1573.837
   50.531  0x00040012 VoipCall  Ulink    8.819   0.919   0.000    1398    1398   0.000  2055060  1864.258
   50.988  0x0002000c VoipCall  Ulink   27.628   0.681   0.001    1695    1695   0.000  2491650   721.482
   51.590  0x00010007 VoipCall  Ulink   29.115   0.686   0.002   11255   11255   0.000 16544850  4546.054
   51.724  0x0003000a VoipCall  Ulink   27.696   0.676   0.002    3761    3761   0.000  5528670  1596.985
   51.806  0x00090013 VoipCall  Ulink    8.602   0.921   0.002      66      66   0.000    97020    90.226
   51.958  0x00000009 VoipCall  Ulink   37.263   0.625   0.001    2017    2017   0.000  2964990   636.548
   52.168  0x00060010 VoipCall  Ulink    7.798   0.963   0.000    1986     887  55.337  1303890  1337.599
   52.207  0x00070000 VoipCall  Ulink   10.462   0.843   0.001    8212    1713  79.140  2518110  1925.597
   52.537  0x0006000c VoipCall  Ulink    6.092   0.982   0.000     627     147  76.555   216090   283.760
   53.157  0x00020006 VoipCall  Ulink   42.841   0.554   0.003    1741    1741   0.000  2559270   477.915
   53.192  0x00060001 VoipCall  Ulink    7.657   0.917   0.002    1674     266  84.110   391020   408.536
   53.262  0x00090007 VoipCall  Ulink    7.831   0.922   0.000    3964     805  79.692  1183350  1208.960
   53.631  0x0008000c VoipCall  Ulink    1.710   0.984   0.000    1923     101  94.748   148470   694.698
   53.722  0x00080007 VoipCall  Ulink    2.405   0.992   0.018     400      23  94.250    33810   112.444
   53.805  0x00030001 VoipCall  Ulink   48.233   0.589   0.001     481     481   0.000   707070   117.276
   54.299  0x00080015 VoipCall  Ulink    2.898   0.989   0.001     554     110  80.144   161700   446.366
   54.590  0x0000000a VoipCall  Ulink   39.636   0.620   0.000    2698    2698   0.000  3966060   800.491
   54.681  0x00060009 VoipCall  Ulink   11.475   0.947   0.000     808     276  65.842   405720   282.850
   56.031  0x00030018 VoipCall  Ulink    5.466   1.009   0.002     229     229   0.000   336630   492.701
   56.645  0x0008000b VoipCall  Ulink    7.090   0.935   0.001    5050     869  82.792  1277430  1441.479
   57.839  0x00050005 VoipCall  Ulink    4.989   0.965   0.001    2291     228  90.048   335160   537.388
   58.247  0x00090014 VoipCall  Ulink   14.540   0.966   0.001    1452    1452   0.000  2134440  1174.386
   58.381  0x00050013 VoipCall  Ulink    1.649   0.989   0.001    1805     109  93.961   160230   777.519
   58.561  0x00060016 VoipCall  Ulink    1.683   0.989   0.003    1678     160  90.465   235200  1117.769
   58.584  0x00000011 VoipCall  Ulink   31.074   0.627   0.002    2937    2937   0.000  4317390  1111.496
   59.209  0x0002001a VoipCall  Ulink   11.622   1.009   0.001     625     625   0.000   918750   632.413
   60.543  0x0001001b VoipCall  Ulink    7.586   1.035   0.000     367     367   0.000   539490   568.964
   60.805  0x00030017 VoipCall  Ulink   11.712   1.028   0.000     748     748   0.000  1099560   751.081
   61.022  0x00090016 VoipCall  Ulink    7.188   1.042   0.000    1165    1165   0.000  1712550  1906.018
   61.283  0x00000012 VoipCall  Ulink   31.367   0.594   0.000    1318    1318   0.000  1937460   494.135
   61.960  0x00010014 VoipCall  Ulink   12.477   1.036   0.001    2194    2194   0.000  3225180  2067.995
   62.814  0x00000019 VoipCall  Ulink   11.211   1.044   0.006      45      45   0.000    66150    47.204
   62.949  0x00060018 VoipCall  Ulink   15.846   1.028   0.000    1603    1603   0.000  2356410  1189.666
   62.983  0x0003001f VoipCall  Ulink    5.110   1.095   0.001     522     522   0.000   767340  1201.338
   63.132  0x00000007 VoipCall  Ulink   50.106   0.617   0.002    1443    1443   0.000  2121210   338.675
   63.722  0x00060008 VoipCall  Ulink    7.297   0.930   0.003     407      62  84.767    91140    99.924
   63.809  0x0009000b VoipCall  Ulink   10.733   0.944   0.000    4424    1130  74.458  1661100  1238.130
   63.902  0x0008000e VoipCall  Ulink    6.603   0.975   0.001    8815    1532  82.621  2252040  2728.703
   64.202  0x00020014 VoipCall  Ulink   27.844   0.657   0.002    4652    4652   0.000  6838440  1964.787
   64.235  0x00050006 VoipCall  Ulink    1.550   1.012   0.001    2582      76  97.057   111720   576.670
   64.370  0x0008000a VoipCall  Ulink    7.422   0.931   0.000   12528    1887  84.938  2773890  2989.826
   64.682  0x00050009 VoipCall  Ulink    6.586   0.941   0.001    8436    1140  86.486  1675800  2035.518
   65.626  0x00010004 VoipCall  Ulink   54.815   0.555   0.001    1012    1012   0.000  1487640   217.114
   65.636  0x0009000d VoipCall  Ulink    7.620   0.963   0.000    1526     286  81.258   420420   441.380
   65.996  0x00010011 VoipCall  Ulink   27.296   0.626   0.001    4042    4042   0.000  5941740  1741.433
   66.184  0x00050014 VoipCall  Ulink    9.686   0.937   0.001    2705     786  70.943  1155420   954.261
   66.858  0x0004000b VoipCall  Ulink   35.211   0.683   0.001    2916    2916   0.000  4286520   973.904
   67.225  0x00050011 VoipCall  Ulink    5.151   0.989   0.002     458      60  86.900    88200   136.991
   67.241  0x0001000b VoipCall  Ulink   36.624   0.586   0.004      73      73   0.000   107310    23.440
   67.678  0x00040001 VoipCall  Ulink   62.560   0.587   0.001    1706    1706   0.000  2507820   320.691
