   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   13.771  0x00080000 VoipCall  Ulink   10.880   0.426   0.000     533     533   0.000   783510   576.084
   16.290  0x00080006 VoipCall  Ulink    7.139   0.465   0.001     903     903   0.000  1327410  1487.555
   17.351  0x00060006 VoipCall  Ulink    6.896   0.469   0.001    1240    1240   0.000  1822800  2114.731
   17.400  0x00090004 VoipCall  Ulink    7.935   0.466   0.000     439     439   0.000   645330   650.641
   17.900  0x00090001 VoipCall  Ulink    9.939   0.895   0.000     103     103   0.000   151410   121.877
   19.197  0x00060000 VoipCall  Ulink   16.009   0.443   0.001    2789    2789   0.000  4099830  2048.781
   19.528  0x00020002 VoipCall  Ulink   14.153   0.455   0.001     256     256   0.000   376320   212.718
   19.731  0x00060005 VoipCall  Ulink    9.579   0.920   0.000    1869    1869   0.000  2747430  2294.488
   20.961  0x00080001 VoipCall  Ulink   17.942   0.846   0.000    1351    1351   0.000  1985970   885.509
   22.614  0x00040000 VoipCall  Ulink   18.495   0.456   0.000    2678    2678   0.000  3936660  1702.756
   25.457  0x00060002 VoipCall  Ulink   19.194   0.472   0.004      47      47   0.000    69090    28.795
   25.710  0x00070004 VoipCall  Ulink   17.599   0.480   0.001     642     642   0.000   943740   428.995
   26.061  0x00020000 VoipCall  Ulink   23.794   0.458   0.000    2751    2751   0.000  4043970  1359.643
   26.631  0x0005000c VoipCall  Ulink    7.872   0.507   0.001     284     284   0.000   417480   424.287
   27.524  0x0000000d VoipCall  Ulink    7.720   1.010   0.000     890     890   0.000  1308300  1355.820
   27.667  0x00010005 VoipCall  Ulink   11.407   0.994   0.001     534     534   0.000   784980   550.538
   29.797  0x00090000 VoipCall  Ulink   26.913   0.470   0.001    3252    3252   0.000  4780440  1421.013
   30.319  0x00080004 VoipCall  Ulink   22.980   0.488   0.001    1055    1055   0.000  1550850   539.899
   30.739  0x00070001 VoipCall  Ulink   27.510   0.918   0.000    4592    4592   0.000  6750240  1963.020
   36.394  0x00060003 VoipCall  Ulink   30.099   0.978   0.001    1061    1061   0.000  1559670   414.545
   37.574  0x00050012 VoipCall  Ulink    8.288   0.529   0.002     287     287   0.000   421890   407.206
   37.736  0x00000006 VoipCall  Ulink   25.505   0.507   0.000    2635    2635   0.000  3873450  1214.957
   38.837  0x00050002 VoipCall  Ulink   32.741   0.496   0.001    4449    4449   0.000  6540030  1598.014
   39.151  0x00080010 VoipCall  Ulink    7.181   0.529   0.001    1234    1234   0.000  1813980  2020.849
   39.711  0x0006000a VoipCall  Ulink   18.253   0.525   0.001     195     195   0.000   286650   125.637
   40.614  0x0006000b VoipCall  Ulink   17.409   1.075   0.001     547     547   0.000   804090   369.507
   40.650  0x00020005 VoipCall  Ulink   11.047   1.029   0.064       2       2   0.000     2940     2.129
   41.158  0x00000010 VoipCall  Ulink   14.573   0.529   0.001    6509    6509   0.000  9568230  5252.532
   42.200  0x00030004 VoipCall  Ulink   32.267   0.507   0.001    1802    1802   0.000  2648940   656.757
   42.598  0x00020008 VoipCall  Ulink   29.918   0.511   0.000    1764    1764   0.000  2593080   693.392
   42.846  0x0004000a VoipCall  Ulink   14.396   0.529   0.000    2797    2797   0.000  4111590  2284.777
   43.162  0x00030005 VoipCall  Ulink   28.124   1.044   0.002      58      58   0.000    85260    24.252
   43.347  0x00020009 VoipCall  Ulink   27.904   1.046   0.003    8784    8784   0.000 12912480  3701.952
   43.568  0x0007000b VoipCall  Ulink   15.263   1.089   0.000     518     518   0.000   761460   399.102
   43.625  0x0004000d VoipCall  Ulink   10.392   1.089   0.001    1183    1183   0.000  1739010  1338.701
   43.988  0x00030002 VoipCall  Ulink   36.565   0.503   0.001    7314    7314   0.000 10751580  2352.309
   44.023  0x00070008 VoipCall  Ulink   24.806   0.523   0.000    1100    1100   0.000  1617000   521.495
   44.425  0x00050004 VoipCall  Ulink   38.037   0.501   0.001    1139    1139   0.000  1674330   352.145
   45.770  0x0001000e VoipCall  Ulink   13.622   0.529   0.001     859     859   0.000  1262730   741.599
   46.129  0x0000000e VoipCall  Ulink   23.872   0.527   0.001    1223    1223   0.000  1797810   602.491
   46.180  0x00010009 VoipCall  Ulink   20.555   1.089   0.003     203     203   0.000   298410   116.143
   46.438  0x00020003 VoipCall  Ulink   38.750   1.015   0.000    1427    1427   0.000  2097690   433.068
   46.561  0x00000003 VoipCall  Ulink   39.660   1.010   0.001     970     970   0.000  1425900   287.626
   46.715  0x0005000f VoipCall  Ulink   19.972   1.089   0.000    2176    2176   0.000  3198720  1281.281
   46.739  0x0008000d VoipCall  Ulink   24.752   1.074   0.001     909     909   0.000  1336230   431.881
   47.785  0x00000000 VoipCall  Ulink   45.323   0.492   0.002    1153    1153   0.000  1694910   299.171
