Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.000          97.008        1079.170   10000   30000
1.031          15.444        1167.174   10000   30000
1.039          87.463         103.256   10000   30000
1.049           6.265         275.412   10000   30000
1.051          81.212         107.453   10000   30000
1.053          27.692        1743.619   10000   30000
1.062          75.350         536.351   10000   30000
1.068          41.781         261.363   10000   30000
1.074          87.102        3175.128   10000   30000
1.138          68.104         327.404   10000   30000
1.146          40.147         646.872   10000   30000
1.238          28.386        1733.542   10000   30000
1.255          93.246         428.783   10000   30000
1.282          59.636         455.297   10000   30000
1.284          66.325         478.940   10000   30000
1.341          83.449          47.733   10000   30000
1.344          69.775         770.866   10000   30000
1.347          67.990        2690.459   10001   30001
1.357          83.895         375.444   10001   30001
1.371          90.979         227.800   10001   30001
1.404          84.971        1987.397   10000   30000
1.415          96.592         272.020   10000   30000
1.458          34.121         103.396   10000   30000
1.467          25.084          53.379   10000   30000
1.468          63.631          43.460   10000   30000
1.472          17.956         194.367   10000   30000
1.541          33.889         740.262   10000   30000
1.549          76.169         704.726   10000   30000
1.549           8.046         287.730   10000   30000
1.552          53.624         120.366   10000   30000
1.593           8.679          47.250   10000   30000
1.593          53.090         313.909   10000   30000
1.625          48.265         402.458   10001   30001
1.637          49.177         212.298   10000   30000
1.639          84.456         193.862   10000   30000
1.650          11.304         343.952   10002   30002
1.651          90.260        2164.889   10000   30000
1.671           7.260         369.472   10000   30000
1.675          24.592         963.211   10000   30000
1.692          33.214        2994.620   10001   30001
1.700          27.881         372.783   10000   30000
1.711          31.858        2204.317   10001   30001
1.725          39.830         101.241   10000   30000
1.730          28.007         253.748   10000   30000
1.735          83.711         268.905   10000   30000
1.749          22.654        2164.466   10000   30000
1.771          56.537        1560.075   10000   30000
1.783          72.947         139.202   10000   30000
1.788          37.837        1227.798   10000   30000
1.831           7.348        2687.786   10001   30001
1.867          70.806        1696.651   10000   30000
1.879          40.773        2621.764   10000   30000
1.889          76.037         486.048   10001   30001
1.899          83.547        2575.153   10000   30000
1.928           8.019         773.208   10001   30001
1.933          64.970        1893.631   10000   30000
1.937          81.424         113.755   10001   30001
1.945          82.485        1784.375   10001   30001
1.976          47.720         676.896   10000   30000
1.982          32.542          28.787   10000   30000
2.010          61.473        2951.548   10001   30001
2.031          93.027          63.873   10000   30000
2.065          34.277         288.396   10002   30002
2.083          98.257         247.167   10000   30000
2.118          54.746         875.955   10001   30001
2.160          64.806        2646.205   10001   30001
2.210          50.793        1849.102   10001   30001
2.215          24.713         376.918   10000   30000
2.229          13.096        1698.124   10001   30001
2.231          79.181         282.767   10002   30002
2.264          37.469        2787.208   10000   30000
2.295          72.089        1024.394   10001   30001
2.354          23.019        5290.636   10000   30000
2.367          61.507        4448.289   10001   30001
2.374          95.104           6.726   10000   30000
2.386          10.645        2593.361   10000   30000
2.397          13.316        4822.891   10000   30000
2.440          20.493         116.201   10001   30001
2.455          15.350        2191.744   10001   30001
2.473          53.824        1937.646   10001   30001
2.474          51.242        2140.327   10000   30000
2.476          89.352        1140.539   10001   30001
2.486          33.559         588.985   10001   30001
2.517          67.583          36.663   10001   30001
2.545          16.464         899.635   10001   30001
2.597          96.829         217.913   10002   30002
2.604          47.667         439.619   10000   30000
2.625          12.111         461.807   10001   30001
2.678          60.377         139.473   10000   30000
2.734          75.345        1755.922   10001   30001
2.766          26.482        1263.836   10000   30000
2.836          12.151        1740.199   10001   30001
2.864          39.821         526.464   10000   30000
2.895          57.687        6959.555   10001   30001
2.914          17.591         490.812   10002   30002
2.914          23.773        2234.965   10002   30002
2.937          99.876         514.194   10003   30003
2.943           8.748         329.703   10002   30002
2.948          78.777         581.382   10001   30001
2.990          28.636         831.704   10000   30000
3.023          85.346         376.125   10002   30002
3.025          84.199        1000.885   10001   30001
3.032          45.487         112.752   10001   30001
3.037          11.224        4324.012   10000   30000
3.052          79.318        1839.323   10002   30002
3.059          78.760        1693.697   10000   30000
3.074          16.355          36.312   10001   30001
3.087          26.094         183.766   10001   30001
3.114          70.220        1823.007   10000   30000
3.117          69.741          20.598   10002   30002
3.167          14.479         600.568   10000   30000
