Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.069          83.014        1256.940   10000   30000
1.083          60.578        3469.094   10000   30000
1.089          75.695        4461.700   10000   30000
1.133          64.921         499.512   10000   30000
1.137          64.114         584.867   10000   30000
1.137          94.361        4033.728   10001   30001
1.184          74.708         470.283   10000   30000
1.221          66.374         527.511   10000   30000
1.237          76.462        1505.282   10000   30000
1.314           6.657        1686.064   10001   30001
1.316          54.533         753.331   10000   30000
1.385          20.276         277.943   10000   30000
1.441          29.732         266.299   10001   30001
1.447          28.215         957.092   10000   30000
1.461          10.277        1746.699   10000   30000
1.482          22.613         110.667   10001   30001
1.516          75.427         381.046   10000   30000
1.573          86.133         673.969   10000   30000
1.583          87.484        1489.676   10000   30000
1.781          25.068        1806.371   10000   30000
1.790          59.197         663.660   10000   30000
1.796          87.329         464.611   10002   30002
1.841          51.253         681.705   10000   30000
1.848          23.203         737.326   10000   30000
1.849          78.328        3561.593   10000   30000
1.852          61.271         234.755   10001   30001
1.863          85.550        3779.516   10002   30002
1.901          53.435         813.432   10002   30002
1.929          91.305         347.929   10003   30003
1.935          63.278        2270.806   10001   30001
1.968          59.143        2644.111   10001   30001
1.980          71.244         411.266   10002   30002
1.986          75.629        1187.329   10000   30000
2.014          32.950         997.003   10000   30000
2.033          22.888        1593.217   10001   30001
2.054          12.286        1292.928   10000   30000
2.229          12.866         139.145   10000   30000
2.239          64.714         155.473   10001   30001
2.289          23.682         145.712   10002   30002
2.446          44.936        1464.230   10000   30000
2.540          56.615         131.885   10000   30000
2.555          85.962         286.418   10001   30001
2.561          72.263        1542.306   10004   30004
2.635          47.002         236.422   10000   30000
2.668          15.461        1723.093   10001   30001
2.810          93.879        6292.535   10001   30001
2.818          34.604        1230.526   10002   30002
2.889          66.832        1152.789   10002   30002
2.976          99.216        1860.390   10001   30001
3.019          54.256         376.122   10000   30000
3.037          57.119        1240.915   10001   30001
3.044          39.639         435.236   10002   30002
3.072          27.001         984.750   10000   30000
3.105          11.506         468.070   10001   30001
3.147          55.751         627.600   10000   30000
3.167          15.802        2772.360   10001   30001
3.193          44.446        2726.774   10002   30002
3.288          88.149         875.249   10003   30003
3.337          75.450        1662.613   10001   30001
3.342          39.562        1400.575   10000   30000
3.342          94.855         321.183   10000   30000
3.397          26.506         642.073   10001   30001
3.475          13.048          24.530   10000   30000
3.493          67.641        2831.436   10001   30001
3.584           9.524        1010.423   10001   30001
3.585          62.241          95.150   10001   30001
