Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.032          42.605         524.636   10000   30000
1.146          45.426         326.687   10000   30000
1.277          27.058         394.740   10000   30000
1.301          47.611          29.871   10000   30000
1.563          14.599        1009.758   10000   30000
1.674          57.955        1283.988   10000   30000
1.680          30.890        3017.592   10000   30000
1.706          24.005         319.472   10000   30000
1.710          32.472        7983.860   10001   30001
1.790          20.707         743.695   10000   30000
1.839          48.775        1439.036   10002   30002
1.932          26.388          72.379   10000   30000
1.943          15.568         964.811   10000   30000
2.015          60.753         324.860   10000   30000
2.192          10.096        1878.045   10000   30000
2.264          34.424         617.458   10000   30000
2.302          30.499        1241.498   10001   30001
2.461          31.129         614.485   10000   30000
2.536          29.818         193.126   10000   30000
2.615          57.379        1635.130   10000   30000
2.758          30.773         229.284   10001   30001
2.958          21.710         511.238   10002   30002
3.181          76.064        1058.485   10002   30002
3.270          40.454         178.049   10001   30001
3.280          81.162        4277.283   10001   30001
3.450          51.492         401.806   10000   30000
3.474          73.095         132.941   10000   30000
3.600          84.527         552.811   10001   30001
3.660          70.786        1269.542   10001   30001
3.672          15.754        1371.937   10002   30002
3.868          44.762         423.154   10001   30001
3.936          23.798         756.541   10001   30001
4.001          57.643        1532.575   10001   30001
4.089          50.656         689.740   10000   30000
4.229           6.653          58.113   10003   30003
4.457          68.046        2578.608   10001   30001
4.602          15.394        1269.604   10002   30002
4.611          82.576        2744.521   10004   30004
4.782          47.507          89.576   10003   30003
4.803          79.487         675.739   10003   30003
4.807           5.331        1299.627   10001   30001
4.861          57.642         463.669   10002   30002
5.124          44.852        1765.764   10004   30004
5.153          52.616         135.449   10001   30001
5.196          10.545        3667.821   10001   30001
5.284          53.681         193.289   10003   30003
5.332          80.199         568.581   10002   30002
5.438          53.604        1377.711   10001   30001
5.442          46.527        1489.648   10002   30002
5.608          55.482         353.366   10003   30003
5.637          28.028         111.493   10005   30005
5.819          88.935         231.510   10003   30003
5.864          68.749          87.632   10004   30004
5.988          91.245         170.970   10002   30002
6.167          49.254         365.941   10003   30003
6.244          81.163         109.878   10002   30002
6.293          46.798         422.260   10001   30001
6.359          50.910        1362.598   10004   30004
6.397          89.560          89.959   10005   30005
6.673          38.810        2261.364   10005   30005
6.714          68.311           4.006   10004   30004
6.821          57.399         343.427   10005   30005
6.881          76.581        3070.136   10004   30004
6.944          10.712         748.398   10002   30002
6.975          36.397         252.073   10003   30003
7.010          84.693         250.607   10006   30006
7.056          29.585        1274.046   10006   30006
7.084          59.170        1089.632   10001   30001
7.162          73.246         722.580   10005   30005
7.168          39.386          32.814   10001   30001
7.212          93.206         576.479   10002   30002
7.217          69.735         109.970   10002   30002
7.312           9.516        1721.904   10007   30007
7.629          29.763         674.927   10002   30002
7.655          17.396        1224.781   10002   30002
7.916          75.535        1715.872   10004   30004
7.950          89.795         918.992   10003   30003
8.071          40.377        1222.955   10005   30005
8.130          98.736         392.292   10006   30006
8.151          41.801          26.177   10006   30006
8.227          94.146        1549.836   10007   30007
8.292          93.564        3071.956   10003   30003
8.300          98.983        1417.690   10001   30001
8.488          13.087        3104.805   10003   30003
8.499          21.583        1386.247   10004   30004
8.636          26.983         691.288   10003   30003
8.733          28.837        1722.267   10004   30004
8.824          69.643        1798.709   10007   30007
8.929          67.087        1686.053   10004   30004
8.937          20.711         323.668   10003   30003
8.977          72.175          52.320   10004   30004
9.169          26.002         434.061   10004   30004
9.290          90.052         991.368   10005   30005
9.314          29.691        2256.838   10006   30006
9.617           6.924         101.384   10003   30003
9.618          49.057         457.804   10005   30005
9.749          43.661         143.506   10001   30001
9.834          72.818        1287.617   10006   30006
9.882          62.572         248.246   10005   30005
9.938          34.412         625.315   10004   30004
9.941          80.909        2211.188   10007   30007
10.125          72.495        1678.254   10005   30005
10.238          10.885        2157.926   10008   30008
10.319          64.191         184.403   10008   30008
10.429          22.152        2953.750   10008   30008
10.453          86.361        2422.867   10002   30002
10.537          36.463        1079.426   10009   30009
10.837           9.461        3062.442   10002   30002
11.066          72.314         580.265   10003   30003
11.336           7.642        1094.085   10009   30009
11.384          85.441         722.809   10005   30005
11.494          65.698         548.612   10007   30007
11.663          40.102         465.284   10010   30010
11.684           7.269        1702.546   10003   30003
11.803          46.632         538.059   10006   30006
11.819          20.166        2243.189   10011   30011
11.825          86.309         187.126   10012   30012
11.971          71.929         994.493   10005   30005
12.169          80.300        1136.974   10002   30002
12.205          80.897        1390.138   10008   30008
12.433          42.225        2002.084   10007   30007
12.693          54.560         301.909   10008   30008
12.720          19.371        1997.729   10002   30002
12.804          18.828        2511.793   10006   30006
12.811          20.375        1019.091   10006   30006
12.889          55.041        2103.453   10013   30013
12.993          28.701          60.575   10009   30009
13.104          40.485         374.072   10006   30006
13.151          34.917        1872.912   10008   30008
13.251          15.914         100.719   10003   30003
13.322          16.609         459.314   10004   30004
13.373          97.251          40.530   10009   30009
13.403          55.991        1171.906   10009   30009
13.591          37.701         441.624   10002   30002
13.641          13.393        1099.980   10007   30007
13.660          47.046         197.456   10010   30010
13.670          18.918         160.518   10006   30006
13.870          64.176        1270.462   10004   30004
13.886          66.477        1264.528   10010   30010
13.887          80.420         433.687   10008   30008
13.903          86.836        1040.738   10004   30004
13.984          61.974        1142.802   10010   30010
13.994          12.545        1631.320   10005   30005
14.282          98.895         117.705   10007   30007
14.304          67.828        1765.288   10005   30005
14.330          34.877         272.316   10005   30005
14.355          34.939         391.111   10007   30007
14.415          45.020         476.507   10011   30011
14.594          34.181         818.847   10005   30005
