Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.356          98.646         645.987   10000   30000
1.443          53.913         597.023   10000   30000
1.731          78.072         546.411   10000   30000
1.771          15.608         117.406   10001   30001
1.963          83.169        2571.206   10001   30001
2.003          55.522         473.391   10001   30001
2.446           9.540         170.417   10000   30000
3.021          54.849         601.514   10001   30001
3.025          20.132         460.772   10000   30000
3.171          40.954        1209.189   10002   30002
3.271          29.460        1730.196   10002   30002
3.272          29.279         657.279   10003   30003
3.358          81.487        4332.753   10004   30004
4.390          86.640         234.493   10002   30002
4.416          12.195         197.034   10005   30005
4.630          63.491        1381.179   10006   30006
5.003          84.904         144.173   10001   30001
5.264          77.718          51.817   10002   30002
5.828          24.611         793.694   10007   30007
6.476          62.718         156.426   10002   30002
6.506          10.650         394.581   10003   30003
7.112          64.847        1920.624   10008   30008
8.033          59.469         818.763   10003   30003
8.072          83.318        3741.371   10003   30003
8.823          74.776         277.296   10004   30004
10.233          43.808         898.175   10003   30003
10.838          84.424         329.932   10004   30004
11.539          67.685          45.923   10005   30005
12.537          99.478         417.899   10005   30005
12.935          64.116         544.845   10004   30004
12.986          96.168        2958.017   10009   30009
15.334          52.028         755.770   10005   30005
15.568           5.740         179.858   10006   30006
15.845          77.618         894.582   10006   30006
15.952          36.586         950.480   10010   30010
16.119          86.686          75.810   10004   30004
16.427          37.921        1033.089   10005   30005
16.620          24.841        2128.039   10011   30011
16.788          50.685         199.846   10007   30007
16.860          89.756        1129.289   10006   30006
17.333          46.731         205.705   10007   30007
17.476          97.459         318.685   10006   30006
17.800           8.907        2231.782   10007   30007
18.001          20.996         432.368   10012   30012
18.270          83.206        1281.126   10013   30013
19.092          92.359        2684.402   10008   30008
19.760          14.384        1253.831   10009   30009
19.844          26.224        2134.423   10007   30007
19.891          82.975         744.632   10010   30010
20.149          95.744         227.908   10014   30014
20.301          51.673        1165.518   10011   30011
20.462          37.686        1204.300   10008   30008
20.604          78.927         616.848   10012   30012
20.857          87.224          69.563   10015   30015
20.946          50.113        1788.120   10008   30008
21.129          72.720         115.601   10016   30016
21.351          63.690         923.737   10013   30013
21.864          13.723        1622.441   10009   30009
21.917          11.175         348.064   10008   30008
21.929          24.080        1444.471   10010   30010
21.998          21.888        1242.382   10014   30014
23.057          59.234        2806.529   10015   30015
23.293          81.209        1065.620   10011   30011
23.649          93.175         605.071   10017   30017
24.540          84.066         363.242   10009   30009
26.375          54.107        1530.391   10009   30009
27.480          68.069        4211.884   10010   30010
27.546          49.065         388.693   10010   30010
27.608          53.500        1463.595   10011   30011
27.886          69.246        1028.326   10012   30012
28.164          41.677         719.891   10016   30016
28.183          72.579        1598.965   10013   30013
28.259          51.897         301.771   10018   30018
28.596          23.934         782.942   10012   30012
28.647          46.981         983.887   10019   30019
28.928          70.154          43.734   10011   30011
29.358          80.734         339.671   10013   30013
29.628          20.922          54.569   10014   30014
30.537          61.489        1303.956   10014   30014
30.580          47.424        1320.479   10020   30020
31.215          36.855         917.350   10017   30017
31.502          89.726        1254.282   10015   30015
33.272          99.338        2228.545   10018   30018
33.635          85.742         285.388   10015   30015
34.116          68.537        1583.667   10021   30021
