Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.036          26.175         597.928   10008   30008
1.298           8.634         228.335   10009   30009
1.299          16.630         240.741   10010   30010
2.102          57.587         377.900   10011   30011
2.170          43.966         738.940   10012   30012
2.354          56.791          22.382   10013   30013
2.416          20.657          91.318   10014   30014
2.720          62.478        2667.274   10015   30015
2.837          99.699        2502.183   10016   30016
3.207          15.330         150.631   10017   30017
3.585          10.424        3018.884   10018   30018
3.789          48.426        2657.532   10019   30019
4.448          47.573         393.142   10020   30020
4.505          41.124         125.440   10021   30021
4.811          63.363         718.233   10022   30022
4.825          53.674          85.487   10023   30023
4.839          57.608         202.767   10024   30024
4.870          72.648        2135.423   10025   30025
5.050          44.061         511.033   10026   30026
5.151          60.729         969.275   10027   30027
5.227          48.535        2917.624   10028   30028
5.262          18.279         593.483   10029   30029
5.310          13.968         984.160   10030   30030
5.311          33.754         205.721   10031   30031
5.405          79.555         389.747   10032   30032
5.626           7.476        1921.291   10033   30033
5.999          21.191        2459.044   10034   30034
6.151          54.275          22.431   10035   30035
6.500           6.719         347.451   10036   30036
6.539          44.024        3033.183   10037   30037
6.687          99.974        1067.397   10038   30038
6.727          32.278         134.974   10039   30039
6.807          17.712        1524.656   10040   30040
6.989          83.602         330.305   10041   30041
7.168          16.512         150.962   10042   30042
7.285          97.728        1704.214   10043   30043
7.398          28.723        2626.285   10044   30044
7.615          75.643        1275.751   10045   30045
8.048          26.206        1386.705   10046   30046
8.170           8.045          93.824   10047   30047
8.181          95.532        1720.389   10048   30048
8.362           9.718        9087.550   10049   30049
8.541          74.934        2418.917   10050   30050
8.601          93.501         339.729   10051   30051
8.783          15.085        1057.556   10052   30052
8.890          97.804        1592.351   10053   30053
9.003          37.498         345.728   10054   30054
9.067          36.357         979.704   10055   30055
9.177          65.524         762.694   10056   30056
9.597          81.088          78.418   10057   30057
10.132          77.801         152.131   10058   30058
10.147          13.373          80.135   10059   30059
10.499          42.618         159.484   10060   30060
10.512          58.111         679.022   10061   30061
10.654          84.356        1102.522   10062   30062
10.657          33.950         317.818   10063   30063
11.083          85.887        2164.549   10064   30064
11.250          11.155         196.648   10065   30065
11.409          41.014         415.313   10066   30066
11.833          97.836         324.851   10067   30067
11.863          37.637         353.748   10068   30068
11.886          48.064          64.102   10069   30069
11.966          87.062        1334.823   10070   30070
12.043          79.629         630.967   10071   30071
12.444          40.077         366.103   10072   30072
12.934          75.941          67.397   10073   30073
13.165          56.878           4.146   10074   30074
13.379          89.730         541.089   10075   30075
13.462          84.731         496.522   10076   30076
13.679          56.830         106.104   10077   30077
13.709          45.419        2302.698   10078   30078
14.081          39.470           7.112   10079   30079
14.268          68.512         215.210   10080   30080
14.291          32.113         334.613   10081   30081
14.310          20.488         491.621   10082   30082
14.475          54.194         905.846   10083   30083
15.430          26.701         489.252   10084   30084
15.673          18.305         314.462   10085   30085
15.769          97.221         110.670   10086   30086
16.062          26.549         809.074   10087   30087
16.138          51.683        1198.340   10088   30088
16.159          97.315         337.236   10089   30089
16.233          64.436         472.060   10090   30090
16.283          38.706        1011.585   10091   30091
16.492          13.494        1914.531   10092   30092
16.618          73.576         858.450   10093   30093
16.625          85.053          42.936   10094   30094
16.826          20.998         981.882   10095   30095
16.893          47.959          38.267   10096   30096
16.977          16.064         362.963   10097   30097
17.057          45.067         793.822   10098   30098
17.256          41.521         788.346   10099   30099
17.390          12.060          95.881   10100   30100
17.510          27.654        1088.712   10101   30101
17.553          68.833         151.339   10102   30102
17.659          66.194        2952.682   10103   30103
17.972           6.311         145.389   10104   30104
18.367          40.221        1940.318   10105   30105
18.435          47.870         425.316   10106   30106
18.556          14.785        2153.741   10107   30107
18.657          63.842        1453.714   10108   30108
18.738          54.108         361.966   10109   30109
18.813          37.380        3694.535   10110   30110
19.025          16.564        4230.420   10111   30111
19.208          78.219        1484.361   10112   30112
19.422          12.620        5459.786   10113   30113
19.462           5.805         692.021   10114   30114
19.504          69.473         402.020   10115   30115
20.130          14.103         398.072   10116   30116
20.136          68.630         113.414   10117   30117
20.287          61.846         157.294   10118   30118
20.383          11.014         745.695   10119   30119
20.728          79.517         832.717   10120   30120
21.046          65.575        1021.601   10121   30121
21.085          46.327         416.849   10122   30122
21.161          34.307        1234.658   10123   30123
21.647          69.757        1420.081   10124   30124
22.330          50.675        1155.886   10125   30125
23.030          64.046         568.430   10126   30126
23.161          95.704         858.756   10127   30127
23.218          77.859         686.090   10128   30128
23.360          57.358         515.191   10129   30129
23.672          76.035         721.173   10130   30130
23.804          13.621         310.543   10131   30131
23.960          50.819         506.935   10132   30132
24.179          18.081          41.845   10133   30133
24.212           7.974         137.156   10134   30134
24.374          40.801        1547.217   10135   30135
24.451          44.551         182.594   10136   30136
24.675          71.852         485.559   10137   30137
24.898          41.361        4127.421   10138   30138
25.030           8.123         474.016   10139   30139
25.040          33.758         654.118   10140   30140
25.172          44.952         549.340   10141   30141
25.280          42.575         242.320   10142   30142
25.359          87.147        2979.788   10143   30143
25.653          91.616        1072.967   10144   30144
25.808          62.184         654.775   10145   30145
25.957          39.012        1575.639   10146   30146
26.142          53.687        1241.407   10147   30147
26.158          39.844        1046.148   10148   30148
26.188          70.858          10.179   10149   30149
26.275          49.817        1811.454   10150   30150
26.504          75.505         437.320   10151   30151
26.850          89.590        2331.863   10152   30152
26.948          41.240         621.899   10153   30153
27.187          24.201        1605.741   10154   30154
28.010          54.051          95.314   10155   30155
28.015          17.434         530.512   10156   30156
28.114          85.545          41.404   10157   30157
28.334          52.791        1164.018   10158   30158
28.365          55.180        1463.992   10159   30159
28.459          48.570         191.627   10160   30160
28.523          56.045         755.809   10161   30161
28.617          52.289        1906.636   10162   30162
28.788          85.093        1775.296   10163   30163
