Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.085          86.525        1537.103   10008   30008
1.139          42.673        3341.872   10009   30009
1.775          50.800        2150.653   10010   30010
2.098          84.831         605.601   10011   30011
2.431          36.009         912.568   10012   30012
2.930          59.890         621.215   10013   30013
3.223          32.596        1846.245   10014   30014
3.426          25.891         514.536   10015   30015
3.559          27.557           3.251   10016   30016
3.706          10.484        2272.046   10017   30017
3.772          33.747        2931.774   10018   30018
4.698          70.001         801.603   10019   30019
5.063          57.164         821.908   10020   30020
5.639          13.607         990.133   10021   30021
5.987          77.167         498.884   10022   30022
6.357          77.628         684.791   10023   30023
6.428          17.108         605.194   10024   30024
6.499          97.387         347.709   10025   30025
6.731          99.263         910.089   10026   30026
8.358          12.715         546.184   10027   30027
8.984          91.176         799.027   10028   30028
9.277          68.768        2014.905   10029   30029
9.764          64.784        2416.832   10030   30030
10.389          17.208        1223.770   10031   30031
10.564          61.441         248.160   10032   30032
10.972          94.221        3734.861   10033   30033
11.023          65.685        1811.910   10034   30034
11.450          35.104         672.213   10035   30035
11.724          56.461        4108.430   10036   30036
11.912          52.975         911.048   10037   30037
12.009          10.421         364.135   10038   30038
12.356          44.744        1277.749   10039   30039
12.773          59.958        2059.617   10040   30040
13.836          94.908         194.030   10041   30041
13.960          93.944        2161.098   10042   30042
13.963          99.963          24.791   10043   30043
14.076          26.341        1420.739   10044   30044
14.370          70.634         303.346   10045   30045
15.347          28.197        1535.597   10046   30046
15.465          79.777        3522.957   10047   30047
15.569          45.778          49.329   10048   30048
15.812          60.205        3074.578   10049   30049
15.972          59.083         313.674   10050   30050
16.148          29.903          72.558   10051   30051
16.194          42.684        2296.699   10052   30052
16.249          24.857          23.950   10053   30053
16.446          48.133        1098.445   10054   30054
16.524          63.934        1135.050   10055   30055
16.727          55.829         461.664   10056   30056
17.810          10.239         227.317   10057   30057
18.081          52.303         272.534   10058   30058
18.283          79.197        2487.157   10059   30059
18.383          64.617         948.637   10060   30060
19.106          94.464         595.456   10061   30061
19.145          16.008         184.244   10062   30062
19.193          61.061        1216.833   10063   30063
19.461          75.293         164.682   10064   30064
19.569          28.113        2802.261   10065   30065
19.802          83.585         993.256   10066   30066
20.063          20.792          23.591   10067   30067
20.384          24.045        1094.075   10068   30068
20.979          36.147         810.186   10069   30069
21.121          29.544         149.919   10070   30070
21.398          28.272         247.146   10071   30071
21.511          60.001        1020.253   10072   30072
21.823          77.186         299.043   10073   30073
22.245          20.593         619.496   10074   30074
22.546          10.946         117.154   10075   30075
22.997          50.829         179.418   10076   30076
23.813          82.736         620.449   10077   30077
24.461          41.579         875.092   10078   30078
24.956          76.209        1038.112   10079   30079
25.152          17.247         412.307   10080   30080
25.288          22.992        1283.938   10081   30081
25.627          65.214        1857.315   10082   30082
26.287          79.766         673.906   10083   30083
26.684          25.597        1511.943   10084   30084
27.677          24.972        2012.899   10085   30085
27.704          11.416          30.405   10086   30086
27.992          86.703        1519.166   10087   30087
28.173          28.920         727.554   10088   30088
28.709          90.750          29.363   10089   30089
28.777          46.395         480.232   10090   30090
28.855          79.281        1061.077   10091   30091
29.324          60.193        2472.476   10092   30092
29.348          52.039         333.757   10093   30093
29.503           6.067         175.294   10094   30094
29.558          40.461        1824.171   10095   30095
30.180          44.463         812.671   10096   30096
30.223          77.492        2201.811   10097   30097
30.693          85.192         884.043   10098   30098
30.816          17.664         978.946   10099   30099
31.031          84.217        2661.773   10100   30100
31.538          85.888        1467.923   10101   30101
32.013          50.737         407.143   10102   30102
32.247          93.115         450.380   10103   30103
32.280          87.674        4385.660   10104   30104
32.638          33.054        1016.045   10105   30105
32.646          82.171         814.795   10106   30106
32.722          96.770        2327.553   10107   30107
33.205          73.282         490.520   10108   30108
33.868          42.880         675.701   10109   30109
33.925          69.835        1102.158   10110   30110
34.111          87.794        2156.513   10111   30111
34.851          41.008         266.665   10112   30112
35.420          69.825        2583.601   10113   30113
35.521           7.663        4885.481   10114   30114
35.578          42.203         396.936   10115   30115
35.890          56.238        2401.606   10116   30116
36.806          93.937         410.405   10117   30117
37.094          92.471         525.847   10118   30118
37.505          91.602        2826.046   10119   30119
37.533          20.158         248.684   10120   30120
38.187          71.498         460.800   10121   30121
38.561          54.327         852.341   10122   30122
38.602          41.072        1204.281   10123   30123
38.675          48.902         392.431   10124   30124
39.393          80.926         749.894   10125   30125
39.517          13.687         486.973   10126   30126
39.599          58.909          47.384   10127   30127
39.866          66.829         271.717   10128   30128
40.805          53.638         610.074   10129   30129
41.081          48.332         297.679   10130   30130
41.816          25.939        2457.300   10131   30131
41.929          65.357         746.671   10132   30132
41.951          41.420        2030.309   10133   30133
42.354          92.370        3547.203   10134   30134
42.699           9.167         999.312   10135   30135
43.044          19.651         897.309   10136   30136
43.627          19.551         359.824   10137   30137
43.861          15.738         983.429   10138   30138
43.981          68.710        3497.197   10139   30139
44.160          87.705        1223.623   10140   30140
44.524          76.289         886.994   10141   30141
44.716          64.702         949.811   10142   30142
44.929          23.922         148.850   10143   30143
44.994          70.847          94.613   10144   30144
45.362          85.412         519.777   10145   30145
45.604          62.934        1051.809   10146   30146
45.775          92.278         684.501   10147   30147
45.867          30.144        1027.082   10148   30148
46.193          64.194         375.164   10149   30149
46.384          20.654         769.314   10150   30150
46.665          93.138         305.354   10151   30151
46.844          32.420         118.841   10152   30152
46.878          91.660         986.828   10153   30153
46.948          37.606        1637.303   10154   30154
46.981           7.203         676.886   10155   30155
47.176          18.535        2082.268   10156   30156
47.341          55.210         169.023   10157   30157
47.420          88.674         703.519   10158   30158
47.512          26.055         653.585   10159   30159
47.583          25.469         798.219   10160   30160
47.777          14.620         636.078   10161   30161
47.861          69.843         714.330   10162   30162
47.957          34.125         174.790   10163   30163
48.313          69.299         754.115   10164   30164
48.714          56.838        3016.112   10165   30165
49.003          63.638         208.751   10166   30166
49.089          82.609         634.240   10167   30167
49.687          66.273          74.969   10168   30168
49.755          87.953          35.954   10169   30169
50.349          66.989          16.176   10170   30170
50.362          96.420         395.248   10171   30171
50.367          25.786         130.300   10172   30172
50.463          58.197         552.903   10173   30173
50.534          79.785          96.044   10174   30174
50.630          24.373          49.133   10175   30175
50.681          36.628        2878.519   10176   30176
50.702          18.693         165.968   10177   30177
51.235          54.344          87.289   10178   30178
51.505          53.173         278.034   10179   30179
51.883          14.119         270.136   10180   30180
52.020          10.273        1985.601   10181   30181
52.734          37.328           8.615   10182   30182
53.046          38.368         568.220   10183   30183
53.662          50.788         858.091   10184   30184
54.306          70.037         193.295   10185   30185
54.498          42.081         376.502   10186   30186
54.550          76.018        1679.123   10187   30187
54.865          24.888         568.723   10188   30188
54.999          41.271         482.032   10189   30189
55.704          47.516        2070.617   10190   30190
56.432          97.141        1004.469   10191   30191
56.665          44.957         604.681   10192   30192
56.700          80.196        3498.558   10193   30193
56.831           8.112         777.669   10194   30194
56.866          37.150         148.851   10195   30195
56.958          78.493          31.019   10196   30196
57.018          11.666         103.275   10197   30197
57.238          58.374         162.219   10198   30198
57.575          33.301         513.477   10199   30199
57.732          45.879         337.571   10200   30200
57.869          64.263        1149.340   10201   30201
57.923           7.380        2915.978   10202   30202
58.514          16.497        1279.283   10203   30203
58.541           9.242        2018.340   10204   30204
58.683          68.884         557.172   10205   30205
59.902          66.922         324.040   10206   30206
59.928          66.654        1065.248   10207   30207
60.206          85.294        2951.259   10208   30208
60.434           6.114          58.046   10209   30209
60.543          47.395        3470.643   10210   30210
60.591          92.667        3280.370   10211   30211
61.052          60.290         475.155   10212   30212
61.147          64.497        1144.825   10213   30213
61.241          62.393        1753.079   10214   30214
61.302          19.347        1441.248   10215   30215
62.991          60.986        1968.987   10216   30216
63.019          96.645         361.972   10217   30217
63.050          87.578         381.154   10218   30218
63.454           6.198          13.400   10219   30219
63.572          49.952         272.983   10220   30220
63.739          75.163        1143.093   10221   30221
64.627          90.690         643.562   10222   30222
64.693          66.927          79.248   10223   30223
66.006          77.191         661.919   10224   30224
66.158          45.957         535.736   10225   30225
66.257          25.579         579.048   10226   30226
66.352          44.401         684.323   10227   30227
66.860          46.217        2092.362   10228   30228
66.960          69.941         637.985   10229   30229
67.450          89.868          19.066   10230   30230
67.903          74.514         876.630   10231   30231
68.236          40.341         204.126   10232   30232
69.221          63.421         801.932   10233   30233
69.371          64.961           2.630   10234   30234
69.379          68.309        2020.244   10235   30235
69.463          39.092         222.996   10236   30236
69.514          57.398         320.765   10237   30237
69.679          96.002        2600.695   10238   30238
69.850          74.808         637.593   10239   30239
70.684          38.874        4026.925   10240   30240
71.337          35.068         270.988   10241   30241
71.690          87.450        1718.277   10242   30242
71.982          18.491         643.171   10243   30243
72.138          46.462         660.255   10244   30244
72.558          92.135        2420.947   10245   30245
72.725          87.706        1829.912   10246   30246
72.802          20.855          32.115   10247   30247
72.953          67.966         228.702   10248   30248
72.992          18.472         105.248   10249   30249
73.035          71.467         326.584   10250   30250
73.173          64.074        1143.688   10251   30251
73.795          48.624         681.928   10252   30252
74.020          44.247        1105.824   10253   30253
74.322          62.651         106.431   10254   30254
75.028          24.457         787.207   10255   30255
75.683          86.622        1310.371   10256   30256
75.863          46.622        2896.814   10257   30257
75.880          74.495         645.615   10258   30258
76.682          85.060        2008.350   10259   30259
76.994          50.890         422.976   10260   30260
77.047          32.690        1006.382   10261   30261
77.130          44.732         913.553   10262   30262
77.173          40.077        2985.399   10263   30263
77.331          32.581         145.870   10264   30264
77.421          50.111        2612.709   10265   30265
78.055          57.069        1198.185   10266   30266
78.245          76.116         513.397   10267   30267
78.712          63.182         229.684   10268   30268
78.814          81.189         632.666   10269   30269
78.947          87.069         652.789   10270   30270
79.141          37.610        1909.717   10271   30271
79.216          18.558        1250.453   10272   30272
79.249          27.458         123.207   10273   30273
79.386          99.987         344.662   10274   30274
79.448          62.392        2857.837   10275   30275
80.119           8.696         644.902   10276   30276
80.425          90.740         282.795   10277   30277
82.048          10.340        1403.442   10278   30278
82.374          70.623         860.543   10279   30279
82.598          53.903        1704.740   10280   30280
83.986          17.918          58.903   10281   30281
84.147          32.133        1437.873   10282   30282
84.229          46.647         197.486   10283   30283
84.458           8.709         311.878   10284   30284
84.654          42.974         691.145   10285   30285
84.826          22.662        1535.771   10286   30286
85.167          89.542         372.023   10287   30287
85.707          91.295          31.389   10288   30288
85.836          72.440        1543.282   10289   30289
86.065          76.652         458.815   10290   30290
