Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.054          26.175         597.928   10008   30008
1.446           8.634         228.335   10009   30009
1.448          16.630         240.741   10010   30010
2.653          57.587         377.900   10011   30011
2.755          43.966         738.940   10012   30012
3.031          56.791          22.382   10013   30013
3.124          20.657          91.318   10014   30014
3.580          62.478        2667.274   10015   30015
3.755          99.699        2502.183   10016   30016
4.311          15.330         150.631   10017   30017
4.878          10.424        3018.884   10018   30018
5.183          48.426        2657.532   10019   30019
6.171          47.573         393.142   10020   30020
6.258          41.124         125.440   10021   30021
6.716          63.363         718.233   10022   30022
6.738          53.674          85.487   10023   30023
6.759          57.608         202.767   10024   30024
6.805          72.648        2135.423   10025   30025
7.075          44.061         511.033   10026   30026
7.226          60.729         969.275   10027   30027
7.340          48.535        2917.624   10028   30028
7.393          18.279         593.483   10029   30029
7.465          13.968         984.160   10030   30030
7.467          33.754         205.721   10031   30031
7.607          79.555         389.747   10032   30032
7.939           7.476        1921.291   10033   30033
8.499          21.191        2459.044   10034   30034
8.726          54.275          22.431   10035   30035
9.249           6.719         347.451   10036   30036
9.309          44.024        3033.183   10037   30037
9.531          99.974        1067.397   10038   30038
9.590          32.278         134.974   10039   30039
9.711          17.712        1524.656   10040   30040
9.983          83.602         330.305   10041   30041
10.252          16.512         150.962   10042   30042
10.427          97.728        1704.214   10043   30043
10.596          28.723        2626.285   10044   30044
10.922          75.643        1275.751   10045   30045
11.572          26.206        1386.705   10046   30046
11.754           8.045          93.824   10047   30047
11.771          95.532        1720.389   10048   30048
12.042           9.718        9087.550   10049   30049
12.311          74.934        2418.917   10050   30050
12.401          93.501         339.729   10051   30051
12.675          15.085        1057.556   10052   30052
12.835          97.804        1592.351   10053   30053
13.004          37.498         345.728   10054   30054
13.100          36.357         979.704   10055   30055
13.266          65.524         762.694   10056   30056
13.895          81.088          78.418   10057   30057
14.698          77.801         152.131   10058   30058
14.720          13.373          80.135   10059   30059
15.249          42.618         159.484   10060   30060
15.268          58.111         679.022   10061   30061
15.482          84.356        1102.522   10062   30062
15.486          33.950         317.818   10063   30063
16.124          85.887        2164.549   10064   30064
16.375          11.155         196.648   10065   30065
16.613          41.014         415.313   10066   30066
17.249          97.836         324.851   10067   30067
17.295          37.637         353.748   10068   30068
17.328          48.064          64.102   10069   30069
17.449          87.062        1334.823   10070   30070
17.564          79.629         630.967   10071   30071
18.166          40.077         366.103   10072   30072
18.900          75.941          67.397   10073   30073
19.248          56.878           4.146   10074   30074
19.568          89.730         541.089   10075   30075
19.693          84.731         496.522   10076   30076
20.018          56.830         106.104   10077   30077
20.064          45.419        2302.698   10078   30078
20.621          39.470           7.112   10079   30079
20.902          68.512         215.210   10080   30080
20.937          32.113         334.613   10081   30081
20.965          20.488         491.621   10082   30082
21.213          54.194         905.846   10083   30083
22.645          26.701         489.252   10084   30084
23.009          18.305         314.462   10085   30085
23.153          97.221         110.670   10086   30086
23.593          26.549         809.074   10087   30087
23.706          51.683        1198.340   10088   30088
23.739          97.315         337.236   10089   30089
23.849          64.436         472.060   10090   30090
23.924          38.706        1011.585   10091   30091
24.237          13.494        1914.531   10092   30092
24.428          73.576         858.450   10093   30093
24.437          85.053          42.936   10094   30094
24.738          20.998         981.882   10095   30095
24.840          47.959          38.267   10096   30096
24.966          16.064         362.963   10097   30097
25.085          45.067         793.822   10098   30098
25.385          41.521         788.346   10099   30099
25.585          12.060          95.881   10100   30100
25.766          27.654        1088.712   10101   30101
25.830          68.833         151.339   10102   30102
25.988          66.194        2952.682   10103   30103
26.459           6.311         145.389   10104   30104
27.050          40.221        1940.318   10105   30105
27.152          47.870         425.316   10106   30106
27.333          14.785        2153.741   10107   30107
27.485          63.842        1453.714   10108   30108
27.607          54.108         361.966   10109   30109
27.719          37.380        3694.535   10110   30110
28.038          16.564        4230.420   10111   30111
28.313          78.219        1484.361   10112   30112
28.633          12.620        5459.786   10113   30113
28.694           5.805         692.021   10114   30114
28.756          69.473         402.020   10115   30115
29.695          14.103         398.072   10116   30116
29.704          68.630         113.414   10117   30117
29.931          61.846         157.294   10118   30118
30.075          11.014         745.695   10119   30119
30.591          79.517         832.717   10120   30120
31.068          65.575        1021.601   10121   30121
31.127          46.327         416.849   10122   30122
31.242          34.307        1234.658   10123   30123
31.970          69.757        1420.081   10124   30124
32.994          50.675        1155.886   10125   30125
34.044          64.046         568.430   10126   30126
34.242          95.704         858.756   10127   30127
34.327          77.859         686.090   10128   30128
34.541          57.358         515.191   10129   30129
35.007          76.035         721.173   10130   30130
35.206          13.621         310.543   10131   30131
35.441          50.819         506.935   10132   30132
35.768          18.081          41.845   10133   30133
35.817           7.974         137.156   10134   30134
36.061          40.801        1547.217   10135   30135
36.176          44.551         182.594   10136   30136
