   Time:s    ILoad   IMeter   IQueue    TLoad   TMeter   TQueue
    1.000        0        0        0        0        0        0
    2.000        0        0        0        0        0        0
    3.000        0        0        0        0        0        0
    4.000        0        0        0        0        0        0
    5.000        0        0        0        0        0        0
    6.000        0        0        0        0        0        0
    7.000        0        0        0        0        0        0
    8.000        0        0        0        0        0        0
    9.000        0        0        0        0        0        0
   10.000        0        0        0        0        0        0
   11.000        0        0        0        0        0        0
   12.000        0        0        0        0        0        0
   13.000        0        0        0        0        0        0
   14.000        0        0        0        0        0        0
   15.000        0        0        0        0        0        0
   16.000        0        0        0        0        0        0
   17.000        0        0        0        0        0        0
   18.000        0        0        0        0        0        0
   19.000        0        0        0        0        0        0
   20.000        0        0        0        0        0        0
   21.000        0        0        0        0        0        0
   22.000        0        0        0        0        0        0
   23.000        0        0        0        0        0        0
   24.000        0        0        0        0        0        0
   25.000        0        0        0        0        0        0
   26.000        0        0        0        0        0        0
   27.000        0        0        0        0        0        0
   28.000        0        0        0        0        0        0
   29.000        0        0        0        0        0        0
   30.000        0        0        0        0        0        0
   31.000        0        0        0        0        0        0
   32.000        0        0        0        0        0        0
   33.000        0        0        0        0        0        0
   34.000        0        0        0        0        0        0
   35.000        0        0        0        0        0        0
   36.000        0        0        0        0        0        0
   37.000        0        0        0        0        0        0
   38.000        0        0        0        0        0        0
   39.000        0        0        0        0        0        0
   40.000     4354        0        0     4354        0        0
   41.000    11692        0        0    16046        0        0
   42.000    12542        0        0    28588        0        0
   43.000    12960        0        0    41548        0        0
   44.000    14089        0        0    55637        0        0
   45.000    16993        0        0    72630        0        0
   46.000    18322        0        0    90952        0        0
   47.000    19010        0        0   109962        0        0
   48.000    19913        0        0   129875        0        0
   49.000    21535        0        0   151410        0        0
   50.000    22713        0        0   174123        0        0
   51.000    24147        0        0   198270        0        0
   52.000    24859        0        0   223129        0        0
   53.000    26834        0        0   249963        0        0
   54.000    28815        0        0   278778        0        0
   55.000    30893        0        0   309671        0        0
   56.000    31670        0        0   341341        0        0
   57.000    32993        0        0   374334        0        0
   58.000    32418        0        0   406752        0        0
   59.000    33105        0        0   439857        0        0
   60.000    34564        0        0   474421        0        0
   61.000    34559        0        0   508980        0        0
   62.000    34273        0        0   543253        0        0
   63.000    35192        0        0   578445        0        0
   64.000    36344        0        0   614789        0        0
   65.000    37292        0        0   652081        0        0
