Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=0 time=0.757999 ms
Reply from 10.0.0.1 seq=1 time=1.518 ms
Reply from 10.0.0.1 seq=2 time=1.798 ms
Reply from 10.0.0.1 seq=3 time=1.798 ms
Reply from 10.0.0.1 seq=4 time=2.078 ms
Reply from 10.0.0.1 seq=5 time=2.078 ms
Reply from 10.0.0.1 seq=6 time=2.078 ms
Reply from 10.0.0.1 seq=7 time=2.158 ms
Reply from 10.0.0.1 seq=8 time=2.36173 ms
Reply from 10.0.0.1 seq=9 time=2.358 ms
Reply from 10.0.0.1 seq=10 time=2.358 ms
Reply from 10.0.0.1 seq=11 time=2.358 ms
Reply from 10.0.0.1 seq=12 time=2.158 ms
Reply from 10.0.0.1 seq=13 time=2.238 ms
Reply from 10.0.0.1 seq=14 time=2.2501 ms
Reply from 10.0.0.1 seq=15 time=2.25983 ms
Reply from 10.0.0.1 seq=16 time=2.438 ms
Reply from 10.0.0.1 seq=17 time=2.438 ms
Reply from 10.0.0.1 seq=18 time=2.44552 ms
Reply from 10.0.0.1 seq=19 time=2.438 ms
Reply from 10.0.0.1 seq=20 time=2.438 ms
Reply from 10.0.0.1 seq=21 time=2.438 ms
Reply from 10.0.0.1 seq=22 time=2.438 ms
Reply from 10.0.0.1 seq=23 time=2.64032 ms
Reply from 10.0.0.1 seq=24 time=2.64638 ms
Reply from 10.0.0.1 seq=25 time=2.66345 ms
Reply from 10.0.0.1 seq=26 time=2.6865 ms
Reply from 10.0.0.1 seq=27 time=2.68065 ms
Reply from 10.0.0.1 seq=28 time=2.678 ms
Reply from 10.0.0.1 seq=29 time=2.70158 ms
Reply from 10.0.0.1 seq=30 time=2.68594 ms
Reply from 10.0.0.1 seq=31 time=2.678 ms
Reply from 10.0.0.1 seq=32 time=2.678 ms
Reply from 10.0.0.1 seq=33 time=2.678 ms
Reply from 10.0.0.1 seq=34 time=2.678 ms
Reply from 10.0.0.1 seq=35 time=2.68913 ms
Reply from 10.0.0.1 seq=36 time=2.68886 ms
Reply from 10.0.0.1 seq=37 time=2.68326 ms
Reply from 10.0.0.1 seq=38 time=2.678 ms
Reply from 10.0.0.1 seq=39 time=2.68365 ms
Reply from 10.0.0.1 seq=40 time=2.69477 ms
Reply from 10.0.0.1 seq=41 time=2.68618 ms
Reply from 10.0.0.1 seq=42 time=2.678 ms
Reply from 10.0.0.1 seq=43 time=2.69246 ms
Reply from 10.0.0.1 seq=44 time=2.69249 ms
Reply from 10.0.0.1 seq=45 time=2.6879 ms
Reply from 10.0.0.1 seq=46 time=2.68329 ms
Reply from 10.0.0.1 seq=47 time=2.678 ms
Reply from 10.0.0.1 seq=48 time=2.68397 ms
Reply from 10.0.0.1 seq=49 time=2.678 ms
Reply from 10.0.0.1 seq=50 time=2.678 ms
Reply from 10.0.0.1 seq=51 time=2.678 ms
Reply from 10.0.0.1 seq=52 time=2.67964 ms
Reply from 10.0.0.1 seq=53 time=2.68647 ms
Reply from 10.0.0.1 seq=54 time=2.6828 ms
Reply from 10.0.0.1 seq=55 time=2.678 ms
Reply from 10.0.0.1 seq=56 time=2.69042 ms
Reply from 10.0.0.1 seq=57 time=2.71737 ms
Reply from 10.0.0.1 seq=58 time=2.678 ms
Reply from 10.0.0.1 seq=59 time=2.69801 ms
Reply from 10.0.0.1 seq=60 time=2.678 ms
Reply from 10.0.0.1 seq=61 time=2.678 ms
Reply from 10.0.0.1 seq=62 time=2.68343 ms
Reply from 10.0.0.1 seq=63 time=2.678 ms
Reply from 10.0.0.1 seq=64 time=2.718 ms
Reply from 10.0.0.1 seq=65 time=2.73052 ms
Reply from 10.0.0.1 seq=66 time=2.718 ms
Reply from 10.0.0.1 seq=67 time=2.71938 ms
Reply from 10.0.0.1 seq=68 time=2.718 ms
Reply from 10.0.0.1 seq=69 time=2.94311 ms
Reply from 10.0.0.1 seq=70 time=2.878 ms
Reply from 10.0.0.1 seq=71 time=2.89065 ms
Reply from 10.0.0.1 seq=72 time=2.678 ms
Reply from 10.0.0.1 seq=73 time=2.68405 ms
Reply from 10.0.0.1 seq=74 time=2.878 ms
Reply from 10.0.0.1 seq=75 time=2.918 ms
Reply from 10.0.0.1 seq=76 time=2.92028 ms
Reply from 10.0.0.1 seq=77 time=2.9269 ms
Reply from 10.0.0.1 seq=78 time=2.93223 ms
Reply from 10.0.0.1 seq=79 time=2.918 ms
Reply from 10.0.0.1 seq=80 time=2.9241 ms
Reply from 10.0.0.1 seq=81 time=2.918 ms
Reply from 10.0.0.1 seq=82 time=2.92985 ms
Reply from 10.0.0.1 seq=83 time=2.93065 ms
Reply from 10.0.0.1 seq=84 time=2.9285 ms
Reply from 10.0.0.1 seq=85 time=2.93307 ms
Reply from 10.0.0.1 seq=86 time=2.92869 ms
Reply from 10.0.0.1 seq=87 time=2.918 ms
Reply from 10.0.0.1 seq=88 time=2.93651 ms
Reply from 10.0.0.1 seq=89 time=2.92341 ms
Reply from 10.0.0.1 seq=90 time=2.93525 ms
Reply from 10.0.0.1 seq=91 time=2.918 ms
Reply from 10.0.0.1 seq=92 time=2.92739 ms
Reply from 10.0.0.1 seq=93 time=2.95607 ms
Reply from 10.0.0.1 seq=94 time=2.92334 ms
Reply from 10.0.0.1 seq=95 time=2.918 ms
Reply from 10.0.0.1 seq=96 time=2.92941 ms
Reply from 10.0.0.1 seq=97 time=2.92251 ms
Reply from 10.0.0.1 seq=98 time=2.93347 ms
Reply from 10.0.0.1 seq=99 time=2.918 ms
Reply from 10.0.0.1 seq=100 time=2.9291 ms
Reply from 10.0.0.1 seq=101 time=2.92713 ms
Reply from 10.0.0.1 seq=102 time=2.92929 ms
Reply from 10.0.0.1 seq=103 time=2.93481 ms
Reply from 10.0.0.1 seq=104 time=2.918 ms
Reply from 10.0.0.1 seq=105 time=2.92215 ms
Reply from 10.0.0.1 seq=106 time=2.918 ms
Reply from 10.0.0.1 seq=107 time=2.93706 ms
Reply from 10.0.0.1 seq=108 time=2.92923 ms
Reply from 10.0.0.1 seq=109 time=2.92735 ms
Reply from 10.0.0.1 seq=110 time=2.918 ms
Reply from 10.0.0.1 seq=111 time=2.918 ms
Reply from 10.0.0.1 seq=112 time=2.918 ms
Reply from 10.0.0.1 seq=113 time=2.92964 ms
Reply from 10.0.0.1 seq=114 time=2.91879 ms
Reply from 10.0.0.1 seq=115 time=2.93884 ms
Reply from 10.0.0.1 seq=116 time=2.94408 ms
Reply from 10.0.0.1 seq=117 time=2.92723 ms
Reply from 10.0.0.1 seq=118 time=2.92617 ms
Reply from 10.0.0.1 seq=119 time=2.93279 ms
Reply from 10.0.0.1 seq=120 time=2.918 ms
Reply from 10.0.0.1 seq=121 time=2.918 ms
Reply from 10.0.0.1 seq=122 time=2.9419 ms
Reply from 10.0.0.1 seq=123 time=2.92946 ms
