Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.181          80.932        2292.309   10008   30008
1.982          76.735         456.656   10009   30009
2.755          98.298         350.889   10010   30010
3.082          77.957           7.418   10011   30011
3.203          76.542        2378.621   10012   30012
3.516          76.463         145.291   10013   30013
3.762          59.370        2517.175   10014   30014
3.787          94.795         145.110   10015   30015
3.961          23.167         152.780   10016   30016
4.006          44.214          11.190   10017   30017
4.257          66.687        2437.059   10018   30018
4.869          15.060        1275.596   10019   30019
5.167          34.573        4437.152   10020   30020
5.231          54.991        2556.841   10021   30021
5.483          38.845         738.036   10022   30022
5.992          73.365        1041.927   10023   30023
6.916          62.952         953.682   10024   30024
6.998          21.555        1069.356   10025   30025
7.379          52.800        4173.983   10026   30026
7.957          58.880         127.200   10027   30027
8.353          54.428         142.932   10028   30028
8.483          10.523          56.020   10029   30029
8.869          92.174         619.968   10030   30030
8.907          20.985        4970.716   10031   30031
9.277          37.268         333.925   10032   30032
9.500          90.468        1875.616   10033   30033
9.642          78.342        1793.823   10034   30034
10.053          76.339           9.482   10035   30035
10.275           7.720        1626.458   10036   30036
10.525          39.003         437.143   10037   30037
10.721          63.821        1520.363   10038   30038
10.849          68.873        2469.898   10039   30039
10.871           7.736         375.444   10040   30040
11.995          68.648        1110.979   10041   30041
12.042          25.083         491.370   10042   30042
12.376          14.104         111.001   10043   30043
12.415          58.870          10.425   10044   30044
12.438          14.660         597.843   10045   30045
12.506          49.041         701.857   10046   30046
12.552          15.685         825.764   10047   30047
12.770          16.459          55.282   10048   30048
12.798          16.819        1432.236   10049   30049
12.960          69.888        2166.745   10050   30050
13.127          11.594        1780.717   10051   30051
13.403          55.746         282.913   10052   30052
13.574          52.391         486.966   10053   30053
13.697          81.843         607.776   10054   30054
13.874          25.401        1064.201   10055   30055
14.069          20.805        2265.703   10056   30056
14.126          79.794        1912.974   10057   30057
14.376          87.093         483.516   10058   30058
14.740          82.788          11.398   10059   30059
14.966          58.306         187.847   10060   30060
15.062          56.553         496.395   10061   30061
15.179           8.654         222.972   10062   30062
15.276          27.280         568.464   10063   30063
15.315          16.582         437.705   10064   30064
15.795          84.732         141.376   10065   30065
16.342          33.895         730.263   10066   30066
16.593          20.216        2629.046   10067   30067
16.800          53.197          40.517   10068   30068
17.026          57.532        1777.811   10069   30069
17.097          46.879        1217.236   10070   30070
17.207          20.497          32.178   10071   30071
17.721          60.042          63.861   10072   30072
17.890          81.055         675.155   10073   30073
17.958          31.565           3.252   10074   30074
18.037          81.476        1136.630   10075   30075
18.411           7.351         817.871   10076   30076
18.512           6.837           0.940   10077   30077
18.521          23.338         504.818   10078   30078
18.643          54.904         374.549   10079   30079
18.711          64.526         251.323   10080   30080
18.727           6.884         439.336   10081   30081
18.756          78.776         913.074   10082   30082
19.050          65.221        3623.263   10083   30083
19.262          11.239        1251.669   10084   30084
19.324          54.470         244.686   10085   30085
19.583          48.921        3175.838   10086   30086
19.820          81.387         508.001   10087   30087
20.039          68.494         294.721   10088   30088
20.161          38.726         471.061   10089   30089
20.540          57.480         744.819   10090   30090
20.626          41.985         739.154   10091   30091
20.646          31.897         312.922   10092   30092
20.798          17.047         382.259   10093   30093
20.812          71.271         673.932   10094   30094
20.930          18.023        2186.462   10095   30095
21.057          41.276        3004.915   10096   30096
21.057          26.363         183.662   10097   30097
21.121          72.169         934.917   10098   30098
21.313          28.684        1596.360   10099   30099
21.335          40.327         104.621   10100   30100
21.359          27.191         635.285   10101   30101
21.428           6.230        1179.756   10102   30102
21.440          22.402        2036.539   10103   30103
21.540          14.813         136.359   10104   30104
21.660          88.811         312.677   10105   30105
21.984          60.362        1154.432   10106   30106
22.270          93.563         422.279   10107   30107
22.395           9.024         287.603   10108   30108
22.449          15.040        1630.618   10109   30109
22.806           5.198         575.018   10110   30110
22.849          66.106         656.576   10111   30111
23.103          85.597          49.143   10112   30112
