Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
1.004161	78.275461	40.053267	8501	4001
1.258791	76.136369	1318.216400	8502	4002
1.444050	23.815972	2730.020501	8503	4003
4.510062	13.392282	2208.581846	8504	4004
6.184684	5.375085	1371.062812	8505	4005
6.529820	63.189976	2443.375903	8506	4006
7.311895	92.188542	2394.717367	8507	4007
8.433163	18.506155	892.643013	8508	4008
9.394888	46.974152	1087.145115	8509	4009
10.313780	53.748133	2007.328967	8510	4010
12.706824	81.496204	1408.446690	8511	4011
13.064500	35.327428	181.097770	8512	4012
13.112531	15.828514	3369.679048	8513	4013
14.823376	64.497279	1514.931654	8514	4014
15.256705	23.900016	3712.780928	8515	4015
17.410323	76.691531	670.262034	8516	4016
17.908774	35.923606	344.454354	8517	4017
18.072649	13.878736	3287.033437	8518	4018
22.464765	41.490873	5514.303767	8519	4019
22.754281	48.348932	3341.365896	8520	4020
23.519048	61.750307	4452.804723	8521	4021
23.960941	61.069129	76.541560	8522	4022
24.362493	12.563244	696.205324	8523	4023
24.923722	78.513878	77.888854	8524	4024
25.348900	34.918053	1932.827588	8525	4025
26.789611	9.094249	4048.353692	8526	4026
27.719944	88.419181	1032.243821	8527	4027
28.024048	53.779330	1739.813126	8528	4028
28.385107	33.582774	49.140337	8529	4029
29.218683	27.997208	1557.588818	8530	4030
29.285091	50.137564	661.698311	8531	4031
29.968384	97.987819	792.789202	8532	4032
30.351510	97.822669	1110.094447	8533	4033
32.275205	54.380714	1648.470024	8534	4034
33.798232	11.469241	1193.008770	8535	4035
33.836032	73.267267	1684.509981	8536	4036
34.192321	38.312357	1581.973789	8537	4037
34.365715	53.671745	2137.717906	8538	4038
34.480075	9.795379	787.324243	8539	4039
34.934781	21.995767	4144.778844	8540	4040
35.047814	25.783088	2666.988816	8541	4041
35.959754	75.737308	1211.843903	8542	4042
36.995594	19.023918	388.462674	8543	4043
37.777373	9.619661	545.942543	8544	4044
40.331408	26.543468	917.401775	8545	4045
41.093843	92.908903	1597.600737	8546	4046
41.944882	6.411702	7281.195691	8547	4047
44.043182	80.216915	1574.845206	8548	4048
44.203977	60.498604	2356.779721	8549	4049
44.314484	45.702820	2261.078974	8550	4050
45.021687	46.762498	347.169793	8551	4051
46.631469	82.808407	180.357437	8552	4052
46.852241	58.687004	1699.916113	8553	4053
46.890522	46.431234	670.104841	8554	4054
48.256481	7.915060	1152.682042	8555	4055
48.440491	57.943064	928.866889	8556	4056
49.967036	84.634825	1745.592989	8557	4057
51.485996	85.608372	1765.278538	8558	4058
52.874151	63.495003	40.859456	8559	4059
53.593894	21.724003	1171.667435	8560	4060
53.786040	50.981985	3553.316969	8561	4061
55.143454	6.390313	3607.826166	8562	4062
55.267578	48.386266	1030.242251	8563	4063
56.525763	37.174518	189.937382	8564	4064
57.378554	12.323113	440.463520	8565	4065
59.005995	32.913998	2036.670406	8566	4066
60.684333	38.365283	187.368093	8567	4067
62.682963	79.562338	954.841836	8568	4068
64.451408	41.482923	568.161916	8569	4069
65.485151	74.956357	1353.169542	8570	4070
68.864966	25.252724	4317.688162	8571	4071
69.236441	35.115148	3832.572327	8572	4072
69.440550	7.400075	96.352721	8573	4073
71.889106	11.558167	568.605680	8574	4074
73.549268	48.495704	266.455568	8575	4075
75.492997	43.329635	47.245903	8576	4076
75.932700	31.058008	2358.460772	8577	4077
76.705210	80.459361	3556.179760	8578	4078
77.179450	58.113219	249.617324	8579	4079
79.402878	45.730996	1367.215360	8580	4080
80.979235	33.520008	964.383708	8581	4081
82.813364	44.166227	390.412907	8582	4082
87.315704	59.080783	118.284037	8583	4083
87.774612	26.734322	1821.638574	8584	4084
89.496192	81.263714	1886.477018	8585	4085
90.415116	32.384048	613.685076	8586	4086
90.720830	94.158849	2346.615450	8587	4087
94.402238	16.621913	1172.408400	8588	4088
94.450105	69.654566	410.165002	8589	4089
96.209803	95.501174	3736.932629	8590	4090
98.882232	96.570550	1745.043582	8591	4091
99.347493	18.943037	231.097644	8592	4092
100.363701	77.823212	739.825800	8593	4093
100.775821	5.876005	1497.611892	8594	4094
101.260527	90.312309	5396.255525	8595	4095
101.321150	42.631190	4346.678493	8596	4096
101.412136	43.511032	266.375970	8597	4097
102.289340	79.476607	693.768812	8598	4098
103.208019	88.454287	4062.352109	8599	4099
103.561107	66.296636	111.343075	8600	4100
105.185697	70.718588	400.189966	8601	4101
105.381454	53.902556	2704.314851	8602	4102
